,s,t,o,h,l,c,v
0,ok,2015-08-13,1490.0,1498.0,1415.5,1415.5,51626
1,ok,2015-08-16,1351.05,1414.0,1344.75,1344.75,57870
2,ok,2015-08-17,1315.0,1411.95,1281.0,1411.95,41166
3,ok,2015-08-18,1438.0,1470.0,1372.0,1444.7,25130
4,ok,2015-08-19,1440.0,1464.0,1376.0,1383.05,10550
5,ok,2015-08-20,1380.0,1394.3,1313.9,1348.5,12149
6,ok,2015-08-23,1283.0,1308.0,1281.1,1281.1,8528
7,ok,2015-08-24,1220.25,1290.0,1217.05,1257.6,20622
8,ok,2015-08-25,1260.0,1320.45,1220.0,1276.5,10271
9,ok,2015-08-26,1295.0,1300.0,1248.6,1260.35,24913
10,ok,2015-08-27,1304.0,1370.0,1142.0,1168.15,101919
11,ok,2015-08-30,1160.0,1243.0,1032.2,1211.75,143410
12,ok,2015-08-31,1209.95,1248.0,1094.6,1125.3,44946
13,ok,2015-09-01,1135.15,1171.0,1081.15,1090.6,23856
14,ok,2015-09-02,1120.0,1167.0,1101.15,1111.7,32456
15,ok,2015-09-03,1130.0,1130.0,1046.4,1083.5,45693
16,ok,2015-09-06,1069.0,1113.0,1069.0,1076.5,26751
17,ok,2015-09-07,1075.0,1109.9,1060.0,1078.7,23541
18,ok,2015-09-08,1090.0,1134.0,1084.0,1093.0,22331
19,ok,2015-09-09,1097.0,1097.0,1062.05,1075.25,11640
20,ok,2015-09-10,1065.1,1130.0,1065.1,1085.35,25313
21,ok,2015-09-13,1085.0,1195.0,1075.0,1172.8,58126
22,ok,2015-09-14,1176.0,1240.0,1150.0,1207.95,73173
23,ok,2015-09-15,1220.0,1220.0,1145.3,1150.8,17499
24,ok,2015-09-17,1150.5,1195.0,1064.15,1093.5,43680
25,ok,2015-09-20,1080.0,1080.95,1037.65,1061.55,26533
26,ok,2015-09-21,1078.0,1082.0,1025.5,1034.75,16076
27,ok,2015-09-22,1011.0,1096.4,1010.05,1064.7,28228
28,ok,2015-09-23,1060.0,1111.1,1015.0,1049.7,34116
29,ok,2015-09-27,1068.0,1084.5,1024.0,1029.55,22826
30,ok,2015-09-28,1035.0,1039.75,997.3,1028.6,29732
31,ok,2015-09-29,1040.0,1055.95,1006.0,1021.1,15398
32,ok,2015-09-30,1030.0,1075.0,1011.0,1045.8,66561
33,ok,2015-10-04,1051.0,1073.0,1035.55,1047.3,24093
34,ok,2015-10-05,1050.5,1109.4,1037.1,1074.65,83315
35,ok,2015-10-06,1055.0,1117.0,1050.0,1067.7,53991
36,ok,2015-10-07,1070.0,1083.0,1040.0,1047.3,23573
37,ok,2015-10-08,1064.95,1066.15,1017.6,1027.2,37982
38,ok,2015-10-11,1040.95,1058.65,1016.0,1044.35,17290
39,ok,2015-10-12,1040.05,1065.0,1035.3,1054.65,27808
40,ok,2015-10-13,1052.05,1100.0,1052.05,1084.05,57218
41,ok,2015-10-14,1110.0,1164.0,1076.25,1081.9,99277
42,ok,2015-10-15,1094.0,1119.0,1065.0,1078.0,27429
43,ok,2015-10-18,1082.4,1125.0,1070.0,1108.6,32815
44,ok,2015-10-19,1087.05,1120.75,1076.25,1091.85,17686
45,ok,2015-10-20,1090.5,1144.0,1089.9,1115.85,37761
46,ok,2015-10-22,1124.0,1169.0,1119.0,1125.8,39787
47,ok,2015-10-25,1132.0,1149.0,1119.0,1120.45,11548
48,ok,2015-10-26,1119.0,1140.0,1101.6,1119.3,37931
49,ok,2015-10-27,1115.0,1127.75,1080.0,1091.9,11779
50,ok,2015-10-28,1098.95,1103.3,1075.0,1081.5,9790
51,ok,2015-10-29,1089.5,1104.0,1065.25,1075.8,13764
52,ok,2015-11-01,1078.0,1083.0,1040.0,1051.6,15969
53,ok,2015-11-02,1057.65,1075.95,1015.0,1026.4,20052
54,ok,2015-11-03,1030.0,1154.0,1030.0,1118.85,122156
55,ok,2015-11-04,1111.15,1150.0,1047.0,1054.75,60266
56,ok,2015-11-05,987.0,987.0,875.0,933.15,163554
57,ok,2015-11-08,920.0,932.0,890.0,923.95,34845
58,ok,2015-11-09,931.8,975.0,930.0,935.65,35337
59,ok,2015-11-10,943.7,951.0,936.25,945.75,3378
60,ok,2015-11-12,931.0,933.0,903.4,910.3,10791
61,ok,2015-11-15,911.0,919.3,875.0,899.85,51664
62,ok,2015-11-16,910.95,911.0,885.0,893.3,51769
63,ok,2015-11-17,899.0,916.0,880.0,903.3,25316
64,ok,2015-11-18,910.0,959.0,903.5,951.75,36246
65,ok,2015-11-19,958.0,977.0,935.2,942.3,18357
66,ok,2015-11-22,951.0,965.0,915.5,919.0,12139
67,ok,2015-11-23,928.0,952.8,924.45,930.05,33956
68,ok,2015-11-25,931.0,952.45,931.0,944.35,20654
69,ok,2015-11-26,934.95,970.0,934.95,951.0,27831
70,ok,2015-11-29,933.4,980.0,933.4,962.05,25361
71,ok,2015-11-30,951.0,1005.0,951.0,971.25,59225
72,ok,2015-12-01,976.0,996.4,952.4,956.8,15067
73,ok,2015-12-02,955.0,969.0,924.0,940.55,13061
74,ok,2015-12-03,940.1,960.0,925.0,944.75,22353
75,ok,2015-12-06,922.0,958.0,922.0,926.15,10983
76,ok,2015-12-07,915.0,955.8,915.0,939.2,24504
77,ok,2015-12-08,958.0,977.0,925.5,940.8,40258
78,ok,2015-12-09,957.0,973.0,935.0,964.6,34727
79,ok,2015-12-10,953.0,980.0,940.0,950.75,16204
80,ok,2015-12-13,945.65,974.0,940.3,960.15,15761
81,ok,2015-12-14,955.3,964.5,955.0,961.6,8075
82,ok,2015-12-15,965.5,1029.9,965.5,991.7,48810
83,ok,2015-12-16,999.0,1095.0,998.0,1075.35,76127
