,s,t,o,h,l,c,v
0,ok,2022-11-21,778.0,786.0,675.1,689.95,15636034
1,ok,2022-11-22,702.0,719.7,690.5,715.6,2346053
2,ok,2022-11-23,716.0,739.8,705.1,730.1,1689717
3,ok,2022-11-24,724.85,767.9,722.0,745.15,1915106
4,ok,2022-11-27,745.0,764.0,734.55,749.9,759905
5,ok,2022-11-28,753.7,754.75,731.15,733.95,462934
6,ok,2022-11-29,735.0,738.0,722.15,725.15,347873
7,ok,2022-11-30,728.25,745.25,728.25,739.45,279131
8,ok,2022-12-01,738.95,747.95,724.0,740.2,328645
9,ok,2022-12-04,740.2,751.0,734.95,741.95,238342
10,ok,2022-12-05,735.0,744.95,729.0,739.9,155237
11,ok,2022-12-06,735.0,796.75,735.0,759.55,1160261
12,ok,2022-12-07,759.95,772.0,741.0,746.15,212406
13,ok,2022-12-08,749.9,763.0,724.95,727.15,299354
14,ok,2022-12-11,728.65,735.9,715.25,730.8,171216
15,ok,2022-12-12,733.8,735.45,724.0,726.0,144431
16,ok,2022-12-13,729.6,738.0,726.0,734.85,141865
17,ok,2022-12-14,730.0,734.95,718.25,721.95,90870
18,ok,2022-12-15,715.0,724.45,701.1,705.25,91513
19,ok,2022-12-18,708.5,709.0,691.2,694.25,145490
20,ok,2022-12-19,693.95,709.0,688.55,700.6,159281
21,ok,2022-12-20,701.0,722.65,696.55,703.15,237160
22,ok,2022-12-21,705.0,707.0,667.25,702.25,200700
23,ok,2022-12-22,690.0,697.0,672.95,680.25,177531
24,ok,2022-12-25,670.5,713.6,666.8,703.85,133235
25,ok,2022-12-26,705.0,724.95,704.95,721.7,123539
26,ok,2022-12-27,720.0,745.5,712.4,737.75,196026
27,ok,2022-12-28,729.95,756.0,724.65,747.45,172325
28,ok,2022-12-29,750.0,754.0,736.25,750.95,130907
29,ok,2023-01-01,750.0,757.4,738.05,741.45,67794
30,ok,2023-01-02,744.0,747.7,731.75,738.35,43130
31,ok,2023-01-03,739.0,755.95,734.35,753.05,143152
32,ok,2023-01-04,755.0,758.0,741.15,746.35,65554
33,ok,2023-01-05,746.6,784.9,744.1,754.6,487821
34,ok,2023-01-08,758.4,782.45,758.4,772.5,153238
35,ok,2023-01-09,775.0,789.0,756.0,760.05,189874
36,ok,2023-01-10,761.95,766.45,757.0,764.7,52191
37,ok,2023-01-11,768.55,768.55,750.0,757.0,35001
38,ok,2023-01-12,757.0,764.0,755.0,760.4,40097
39,ok,2023-01-15,764.25,780.0,756.0,770.85,102004
40,ok,2023-01-16,774.75,806.4,761.6,768.7,465856
41,ok,2023-01-17,772.55,798.0,772.55,794.0,213125
