,s,t,o,h,l,c,v
0,ok,2006-03-09,85.0,98.0,81.12,84.37,25265785
1,ok,2006-03-12,68.0,91.94,68.0,86.03,8643445
2,ok,2006-03-13,86.4,92.4,86.3,90.11,10651310
3,ok,2006-03-15,90.8,94.95,90.43,93.95,5348945
4,ok,2006-03-16,95.0,100.16,93.2,97.98,5215525
5,ok,2006-03-19,99.0,101.8,97.7,99.43,3648605
6,ok,2006-03-20,99.7,100.8,94.22,97.23,1809625
7,ok,2006-03-21,97.4,97.4,93.2,93.91,902965
8,ok,2006-03-22,94.2,95.0,91.2,91.85,632655
9,ok,2006-03-23,91.96,95.85,91.4,95.24,1083825
10,ok,2006-03-26,95.98,97.6,90.83,91.8,1109450
11,ok,2006-03-27,91.94,93.17,84.6,87.07,1086005
12,ok,2006-03-28,88.0,90.54,87.2,88.23,380435
13,ok,2006-03-29,89.0,90.79,87.0,87.82,457090
14,ok,2006-03-30,88.94,88.99,85.63,86.71,470925
15,ok,2006-04-02,88.0,91.88,86.81,88.12,814690
16,ok,2006-04-03,88.62,89.2,86.22,86.86,355780
17,ok,2006-04-04,88.6,88.6,86.0,86.37,380465
18,ok,2006-04-06,87.98,87.98,83.56,84.45,1299875
19,ok,2006-04-09,84.6,86.0,79.95,82.18,1131380
20,ok,2006-04-11,82.6,82.6,80.25,80.93,1190285
21,ok,2006-04-12,80.93,81.8,77.62,80.37,756945
22,ok,2006-04-16,81.8,82.2,79.54,80.25,375215
23,ok,2006-04-17,81.2,83.58,80.4,81.54,724950
24,ok,2006-04-18,81.8,82.58,80.84,81.99,260490
25,ok,2006-04-19,83.0,92.18,82.04,89.89,1160590
26,ok,2006-04-20,92.4,92.4,88.4,91.47,1212710
27,ok,2006-04-23,90.0,92.4,89.66,90.88,289795
28,ok,2006-04-24,91.0,96.8,89.4,92.32,2123330
29,ok,2006-04-25,92.4,92.8,88.45,90.04,565950
30,ok,2006-04-26,90.3,91.4,86.0,87.1,476775
31,ok,2006-04-27,87.2,87.2,82.4,84.91,534505
32,ok,2006-04-28,85.96,87.0,84.21,85.74,155565
33,ok,2006-05-01,86.2,87.6,82.9,84.08,428660
34,ok,2006-05-02,85.4,85.4,82.0,83.09,401950
35,ok,2006-05-03,82.52,85.5,82.4,82.98,332630
36,ok,2006-05-04,84.0,84.0,81.0,81.35,581895
37,ok,2006-05-07,83.0,84.25,81.8,83.38,815580
38,ok,2006-05-08,83.6,84.5,83.03,83.98,382875
39,ok,2006-05-09,84.2,85.0,82.6,83.17,238260
40,ok,2006-05-10,80.4,84.0,77.01,82.91,278300
41,ok,2006-05-11,78.0,83.0,78.0,81.97,134055
42,ok,2006-05-14,80.0,83.8,80.0,82.16,491020
43,ok,2006-05-15,80.0,82.17,66.56,80.5,302765
44,ok,2006-05-16,81.8,83.19,81.65,82.41,342390
45,ok,2006-05-17,81.6,81.6,76.6,78.02,257620
46,ok,2006-05-18,80.2,80.2,71.6,72.8,190510
47,ok,2006-05-21,74.0,74.0,65.03,71.64,248785
48,ok,2006-05-22,75.8,75.8,68.0,74.04,80285
49,ok,2006-05-23,74.4,76.96,72.2,74.83,122270
50,ok,2006-05-24,62.45,75.0,62.45,74.01,97160
51,ok,2006-05-25,75.99,75.99,71.2,71.81,82750
52,ok,2006-05-28,72.6,74.0,70.02,70.56,440480
53,ok,2006-05-29,73.0,73.0,67.0,69.04,635165
54,ok,2006-05-30,67.5,70.56,61.6,64.05,811255
55,ok,2006-05-31,67.2,70.78,63.4,66.68,735830
56,ok,2006-06-01,61.25,68.55,61.25,66.75,921930
57,ok,2006-06-04,66.6,66.6,61.2,61.97,113510
58,ok,2006-06-05,60.0,60.0,57.0,59.55,295265
59,ok,2006-06-06,61.8,61.8,51.6,54.86,363825
60,ok,2006-06-07,53.6,53.6,43.89,49.87,412105
61,ok,2006-06-08,45.25,49.6,45.25,47.11,1035065
62,ok,2006-06-11,47.41,49.0,45.0,46.3,460070
63,ok,2006-06-12,46.0,46.0,41.33,44.07,167030
64,ok,2006-06-13,45.73,46.98,43.4,45.67,158305
65,ok,2006-06-14,47.6,54.0,47.0,48.3,123300
66,ok,2006-06-15,53.4,57.8,48.6,55.18,244285
67,ok,2006-06-18,59.4,59.4,51.4,58.26,126680
68,ok,2006-06-19,54.64,61.4,54.64,60.37,141765
69,ok,2006-06-20,60.98,64.6,60.8,62.99,267505
70,ok,2006-06-21,65.6,65.6,58.66,59.58,232795
71,ok,2006-06-22,58.2,59.78,56.6,56.93,169810
72,ok,2006-06-24,63.8,63.8,57.2,59.97,31805
73,ok,2006-06-25,60.4,62.5,52.0,52.98,1237770
74,ok,2006-06-26,53.2,55.38,50.22,51.25,463180
75,ok,2006-06-27,50.6,53.0,48.7,52.51,565625
76,ok,2006-06-28,53.94,54.0,52.3,52.69,197330
77,ok,2006-06-29,53.8,54.8,50.25,52.6,403065
78,ok,2006-07-02,52.98,53.67,52.0,52.24,132780
79,ok,2006-07-03,52.8,53.18,52.0,52.62,148455
80,ok,2006-07-04,52.99,53.2,52.39,52.92,201120
81,ok,2006-07-05,52.8,53.0,52.01,52.39,54635
82,ok,2006-07-06,52.4,53.39,51.48,52.7,264385
83,ok,2006-07-09,51.8,53.04,51.2,52.46,53005
84,ok,2006-07-10,52.6,53.0,52.0,52.05,34895
85,ok,2006-07-11,51.01,51.8,50.0,51.07,159220
86,ok,2006-07-12,50.42,51.8,50.42,51.0,40710
87,ok,2006-07-13,50.01,50.4,47.5,50.15,114085
88,ok,2006-07-16,51.0,51.0,48.0,48.34,46160
89,ok,2006-07-17,48.4,49.0,47.0,47.85,40875
90,ok,2006-07-18,48.6,48.79,46.41,46.93,66570
91,ok,2006-07-19,48.76,48.78,45.6,46.18,122790
92,ok,2006-07-20,46.72,50.14,44.12,44.88,2048845
93,ok,2006-07-23,45.0,47.0,43.0,43.11,317250
94,ok,2006-07-24,43.82,46.4,43.53,44.98,258680
95,ok,2006-07-25,45.0,47.0,43.31,46.61,444880
96,ok,2006-07-26,46.6,48.0,46.2,47.41,432580
97,ok,2006-07-27,47.0,49.36,46.5,48.63,693835
98,ok,2006-07-30,49.0,50.4,46.02,46.43,550755
99,ok,2006-07-31,46.6,47.2,44.8,46.63,312800
100,ok,2006-08-01,46.8,46.8,40.0,46.56,245650
101,ok,2006-08-02,46.99,48.6,46.4,48.06,473715
102,ok,2006-08-03,47.8,48.0,46.41,47.51,103510
103,ok,2006-08-06,46.62,47.38,46.4,46.64,38175
104,ok,2006-08-07,46.6,47.53,46.6,47.26,73135
105,ok,2006-08-08,47.0,50.18,46.73,49.45,848140
106,ok,2006-08-09,50.0,51.97,49.81,51.03,202460
107,ok,2006-08-10,51.0,55.38,50.96,53.34,918080
108,ok,2006-08-13,54.78,54.78,53.0,53.37,534960
109,ok,2006-08-15,54.0,55.8,53.6,55.14,418820
110,ok,2006-08-16,55.8,56.39,52.8,53.43,306205
111,ok,2006-08-17,53.0,53.2,52.2,52.29,83725
112,ok,2006-08-20,53.6,53.99,52.25,52.73,102500
113,ok,2006-08-21,53.6,56.4,51.4,52.75,722645
114,ok,2006-08-22,53.18,54.6,52.41,52.96,306960
115,ok,2006-08-23,52.02,54.0,52.02,53.5,123795
116,ok,2006-08-24,54.0,54.8,53.75,54.18,206815
117,ok,2006-08-27,54.94,55.2,54.2,54.74,216530
118,ok,2006-08-28,55.0,55.6,53.6,53.92,138700
119,ok,2006-08-29,54.2,54.6,53.11,53.38,50045
