,s,t,o,h,l,c,v
0,ok,2000-01-03,10.0,10.0,10.0,10.0,100
1,ok,2000-01-04,10.0,10.0,10.0,10.0,200
2,ok,2000-01-05,9.0,10.5,9.0,10.5,1300
3,ok,2000-01-06,10.0,10.0,10.0,10.0,900
4,ok,2000-01-10,10.0,10.0,10.0,10.0,100
5,ok,2000-01-12,10.0,10.0,10.0,10.0,100
6,ok,2000-01-17,10.25,10.25,10.25,10.25,100
7,ok,2000-01-18,10.0,10.0,9.05,9.05,1100
8,ok,2000-01-19,9.95,10.0,9.9,9.9,1100
9,ok,2000-01-20,8.0,10.4,8.0,9.95,600
10,ok,2000-01-23,9.0,9.0,9.0,9.0,100
11,ok,2000-01-24,8.5,8.5,8.3,8.3,1000
12,ok,2000-01-26,9.0,9.0,9.0,9.0,200
13,ok,2000-01-27,9.95,9.95,9.95,9.95,200
14,ok,2000-01-30,9.25,9.25,9.25,9.25,100
15,ok,2000-01-31,8.0,9.95,8.0,9.95,300
16,ok,2000-02-01,7.0,7.0,7.0,7.0,100
17,ok,2000-02-02,7.4,9.95,7.3,8.4,1100
18,ok,2000-02-03,8.0,8.5,7.05,7.55,900
19,ok,2000-02-06,9.9,9.9,9.4,9.45,1200
20,ok,2000-02-08,9.0,9.0,9.0,9.0,500
21,ok,2000-02-09,9.4,9.4,9.4,9.4,300
22,ok,2000-02-13,7.05,9.0,7.05,9.0,200
23,ok,2000-02-15,8.0,9.0,7.5,8.5,1500
24,ok,2000-02-16,9.75,9.8,7.3,8.5,5600
25,ok,2000-02-17,8.5,8.5,7.6,7.6,2200
26,ok,2000-02-20,10.0,10.0,7.4,9.45,1300
27,ok,2000-02-21,9.25,9.25,8.15,8.15,900
28,ok,2000-02-22,9.0,9.0,9.0,9.0,1300
29,ok,2000-02-23,7.0,8.45,7.0,8.45,2000
30,ok,2000-02-24,8.45,8.45,8.45,8.45,100
31,ok,2000-02-27,8.05,8.2,8.05,8.2,500
32,ok,2000-02-28,8.5,9.3,8.1,8.1,300
33,ok,2000-03-01,8.25,8.25,8.25,8.25,100
34,ok,2000-03-02,7.7,7.7,7.65,7.65,200
35,ok,2000-03-05,8.5,8.5,7.15,7.15,300
36,ok,2000-03-06,9.1,9.1,9.1,9.1,600
37,ok,2000-03-07,8.3,8.75,8.3,8.75,2400
38,ok,2000-03-08,8.6,9.9,8.55,9.75,1700
39,ok,2000-03-09,10.0,10.2,8.85,8.85,700
40,ok,2000-03-12,8.8,8.8,8.35,8.35,400
41,ok,2000-03-13,8.15,8.15,8.15,8.15,100
42,ok,2000-03-14,6.7,10.5,6.7,10.5,400
43,ok,2000-03-15,8.15,8.5,8.1,8.5,800
44,ok,2000-03-22,7.6,7.6,7.6,7.6,400
45,ok,2000-03-23,7.0,7.0,7.0,7.0,500
46,ok,2000-03-28,7.5,7.5,7.5,7.5,300
47,ok,2000-04-03,7.5,8.0,7.5,8.0,500
48,ok,2000-04-04,8.0,8.0,8.0,8.0,200
49,ok,2000-04-09,7.15,7.15,7.05,7.05,1300
50,ok,2000-04-11,7.2,7.2,7.2,7.2,300
51,ok,2000-04-17,8.0,8.0,7.05,7.3,600
52,ok,2000-05-22,6.85,6.85,6.85,6.85,100
53,ok,2000-05-24,6.85,6.85,6.8,6.8,700
54,ok,2000-05-25,6.0,6.0,6.0,6.0,100
55,ok,2000-05-28,7.0,7.0,7.0,7.0,100
56,ok,2000-05-29,6.0,6.0,6.0,6.0,300
57,ok,2000-06-04,5.5,5.5,5.5,5.5,100
