,s,t,o,h,l,c,v
0,ok,2000-01-02,39.1,42.25,39.0,40.65,49100
1,ok,2000-01-03,37.75,37.75,37.4,37.4,8400
2,ok,2000-01-04,34.95,34.95,34.45,34.45,6200
3,ok,2000-01-05,31.7,32.0,31.7,31.7,8800
4,ok,2000-01-06,30.0,30.0,29.2,29.2,4100
5,ok,2000-01-09,29.2,30.5,26.9,26.9,4400
6,ok,2000-01-10,24.9,24.9,24.75,24.75,1700
7,ok,2000-01-11,22.8,22.8,22.8,22.8,1700
8,ok,2000-01-12,21.0,21.0,21.0,21.0,2700
9,ok,2000-01-13,19.35,19.35,19.35,19.35,1900
10,ok,2000-01-16,14.55,24.2,14.55,19.75,27300
11,ok,2000-01-17,21.9,21.9,17.0,17.8,28700
12,ok,2000-03-08,49.9,49.9,47.2,48.1,5000
13,ok,2000-03-09,45.0,51.4,44.3,44.3,12900
14,ok,2000-03-12,42.0,42.0,40.8,40.8,1100
15,ok,2000-03-13,39.0,39.0,37.55,37.55,2200
16,ok,2000-03-14,34.55,34.55,34.55,34.55,600
17,ok,2000-03-15,32.0,32.0,31.8,31.9,2000
18,ok,2000-03-20,29.35,29.35,29.35,29.35,200
19,ok,2000-03-21,28.0,28.0,27.0,27.0,1200
20,ok,2000-03-22,24.85,24.85,24.85,24.85,100
21,ok,2000-03-23,23.0,24.8,22.9,24.75,4900
22,ok,2000-03-26,24.5,25.95,23.0,24.75,13700
23,ok,2000-03-27,23.0,24.7,22.95,23.8,5000
24,ok,2000-03-28,25.0,25.7,24.0,25.5,8000
25,ok,2000-03-29,24.3,26.25,24.3,26.25,6400
26,ok,2000-03-30,26.0,28.25,25.0,25.45,2400
27,ok,2000-04-02,24.0,26.0,23.5,23.6,3200
28,ok,2000-04-03,23.6,23.6,21.75,21.75,1400
29,ok,2000-04-04,20.9,20.9,20.9,20.9,400
30,ok,2000-04-05,20.05,20.05,20.05,20.05,700
31,ok,2000-04-06,21.25,21.65,21.05,21.65,6200
32,ok,2000-04-09,22.15,23.4,22.15,23.35,5900
33,ok,2000-04-11,21.5,23.1,21.2,21.45,3900
34,ok,2000-04-12,21.0,22.05,20.0,20.85,1000
35,ok,2000-04-16,19.85,19.85,19.85,19.85,100
36,ok,2000-04-17,19.85,19.85,15.75,15.9,3100
37,ok,2000-04-18,16.7,16.7,14.3,14.3,3100
38,ok,2000-04-19,14.0,14.0,13.1,13.1,500
39,ok,2000-04-23,12.4,13.0,12.4,13.0,1100
40,ok,2000-04-24,13.25,14.95,11.5,12.6,2500
41,ok,2000-04-25,14.25,14.25,14.0,14.1,3200
42,ok,2000-04-26,14.25,14.25,13.0,13.0,900
43,ok,2000-04-27,13.0,14.05,11.05,11.05,2600
44,ok,2000-05-01,12.5,12.5,8.5,10.0,800
45,ok,2000-05-02,8.1,8.1,8.1,8.1,100
46,ok,2000-05-03,11.45,11.55,10.75,11.5,4700
47,ok,2000-05-04,11.6,13.0,11.5,13.0,6500
48,ok,2000-05-07,13.0,13.0,11.55,11.9,2000
49,ok,2000-05-08,10.2,10.9,10.0,10.55,3000
50,ok,2000-05-09,11.0,11.95,10.75,11.95,8200
51,ok,2000-05-10,11.4,11.5,10.3,10.3,4000
52,ok,2000-05-11,10.0,10.3,10.0,10.2,1200
53,ok,2000-05-14,9.5,9.5,9.5,9.5,1200
54,ok,2000-05-15,9.9,10.2,9.8,9.8,400
55,ok,2000-05-16,11.25,11.25,10.0,10.5,2300
56,ok,2000-05-17,10.25,10.25,10.25,10.25,1400
57,ok,2000-05-18,10.0,10.0,9.0,9.05,700
58,ok,2000-05-21,9.2,9.5,8.55,8.75,800
59,ok,2000-05-22,9.0,9.0,7.7,8.0,5000
60,ok,2000-05-23,8.75,8.75,8.0,8.4,500
61,ok,2000-05-24,9.0,9.0,8.5,8.5,200
62,ok,2000-05-25,10.2,10.2,8.0,8.25,1100
63,ok,2000-05-28,8.0,8.35,8.0,8.35,700
64,ok,2000-05-29,8.25,9.0,8.25,9.0,1800
65,ok,2000-05-30,9.95,10.6,9.95,10.55,4800
66,ok,2000-05-31,10.75,10.75,10.35,10.5,3100
67,ok,2000-06-01,10.4,10.7,10.4,10.7,3000
68,ok,2000-06-04,12.0,12.0,9.0,10.8,9300
69,ok,2000-06-05,9.1,10.7,9.0,10.4,5800
70,ok,2000-06-06,10.75,11.0,10.35,10.75,3200
71,ok,2000-06-07,10.95,11.0,10.5,11.0,4800
72,ok,2000-06-08,10.5,11.4,10.5,10.9,1600
73,ok,2000-06-11,10.6,10.6,10.3,10.3,700
74,ok,2000-06-12,9.65,10.0,9.5,10.0,6300
75,ok,2000-06-13,10.6,10.6,10.5,10.5,2100
76,ok,2000-06-14,10.5,10.5,10.05,10.05,1100
77,ok,2000-06-15,9.1,10.75,9.1,10.75,600
78,ok,2000-06-18,10.75,10.75,10.0,10.25,1200
79,ok,2000-06-19,10.05,10.2,10.05,10.2,600
80,ok,2000-06-20,9.5,10.5,9.5,10.5,500
81,ok,2000-06-21,10.4,10.5,9.8,10.5,1700
82,ok,2000-06-22,10.4,10.5,10.4,10.5,3100
83,ok,2000-06-25,10.0,10.0,9.6,10.0,1300
84,ok,2000-06-26,10.0,10.0,9.5,9.5,700
85,ok,2000-06-27,9.1,9.1,9.1,9.1,500
86,ok,2000-06-28,9.5,9.5,9.1,9.1,1100
87,ok,2000-07-02,9.4,9.5,9.4,9.5,600
88,ok,2000-07-03,8.75,8.75,8.5,8.55,2200
89,ok,2000-07-04,8.7,8.7,8.6,8.6,500
90,ok,2000-07-05,8.05,8.5,8.05,8.5,300
91,ok,2000-07-10,8.3,8.3,7.8,7.85,1100
92,ok,2000-07-11,7.75,8.0,7.75,7.75,500
93,ok,2000-07-12,7.1,7.1,7.1,7.1,1000
94,ok,2000-07-13,7.5,7.8,7.5,7.75,800
95,ok,2000-07-16,7.0,7.9,7.0,7.8,600
96,ok,2000-07-17,7.1,7.2,7.0,7.2,1300
97,ok,2000-07-18,6.65,7.5,6.65,6.65,800
98,ok,2000-07-19,7.0,7.0,7.0,7.0,300
99,ok,2000-07-23,6.5,6.5,6.0,6.0,3500
100,ok,2000-07-24,6.5,6.5,6.5,6.5,100
101,ok,2000-07-25,6.5,7.5,6.0,6.65,2600
102,ok,2000-07-26,6.75,6.75,6.75,6.75,200
103,ok,2000-07-27,7.0,7.0,7.0,7.0,200
104,ok,2000-07-30,6.8,6.8,6.8,6.8,200
105,ok,2000-07-31,7.0,7.0,6.5,6.5,800
106,ok,2000-08-01,6.75,6.75,6.5,6.55,700
107,ok,2000-08-02,6.05,6.5,6.05,6.5,700
108,ok,2000-08-03,6.05,6.05,5.6,5.6,1100
109,ok,2000-08-06,6.3,6.35,6.3,6.35,700
110,ok,2000-08-07,6.1,6.1,5.55,5.55,400
111,ok,2000-08-15,6.95,7.0,6.3,7.0,1800
112,ok,2000-08-16,7.25,8.0,6.75,7.85,2500
113,ok,2000-08-20,8.25,9.0,8.25,9.0,2700
114,ok,2000-08-21,9.0,9.5,8.5,8.85,3300
115,ok,2000-08-22,9.0,9.0,9.0,9.0,400
116,ok,2000-08-23,8.25,8.25,8.25,8.25,300
117,ok,2000-08-24,8.0,8.85,8.0,8.25,1200
118,ok,2000-08-27,8.4,8.45,8.4,8.45,300
119,ok,2000-08-28,8.65,9.0,8.65,8.85,1700
120,ok,2000-08-29,9.0,9.0,9.0,9.0,200
121,ok,2000-08-30,9.0,9.2,9.0,9.2,700
122,ok,2000-09-03,9.65,9.65,9.2,9.2,1400
123,ok,2000-09-04,9.4,9.5,9.0,9.5,500
124,ok,2000-09-05,9.25,10.0,9.25,10.0,500
125,ok,2000-09-06,9.4,9.5,9.25,9.5,2500
126,ok,2000-09-07,10.2,10.25,9.65,9.65,2200
127,ok,2000-09-10,10.0,10.0,10.0,10.0,300
128,ok,2000-09-11,9.0,9.75,8.0,8.55,600
129,ok,2000-09-12,9.05,9.05,9.05,9.05,100
130,ok,2000-09-13,8.15,8.15,8.15,8.15,1000
131,ok,2000-09-17,8.0,8.0,7.2,7.95,300
132,ok,2000-09-18,7.5,7.6,7.5,7.5,900
133,ok,2000-09-19,9.25,9.5,8.1,9.0,2500
134,ok,2000-09-20,8.25,8.95,8.2,8.35,1600
135,ok,2000-09-24,8.25,8.25,7.6,7.6,400
136,ok,2000-09-25,7.45,7.8,6.75,7.75,2500
137,ok,2000-09-27,8.0,8.0,8.0,8.0,100
138,ok,2000-09-28,6.8,6.8,6.6,6.6,500
139,ok,2000-10-02,7.0,7.2,7.0,7.2,400
140,ok,2000-10-08,7.3,7.3,7.25,7.25,500
141,ok,2000-10-12,7.0,7.0,7.0,7.0,500
142,ok,2000-10-17,7.0,7.0,7.0,7.0,100
143,ok,2000-10-19,6.5,6.5,6.5,6.5,100
144,ok,2000-10-23,6.85,6.9,6.85,6.9,300
145,ok,2000-10-24,9.0,10.35,9.0,10.35,1600
146,ok,2000-10-25,10.8,10.8,10.0,10.0,600
147,ok,2000-10-26,9.05,10.35,9.05,10.35,300
148,ok,2000-10-29,10.35,10.45,8.2,8.2,1100
149,ok,2000-10-30,9.5,11.5,9.5,10.5,1250
150,ok,2000-10-31,11.0,11.0,10.1,10.1,120
151,ok,2000-11-01,8.45,11.0,8.45,11.0,121
152,ok,2000-11-02,11.0,13.7,10.1,13.45,401
153,ok,2000-11-05,16.85,16.85,12.9,15.7,923
154,ok,2000-11-06,15.0,16.1,13.1,15.8,862
155,ok,2000-11-07,14.0,15.5,14.0,14.45,311
156,ok,2000-11-08,15.0,15.0,14.0,14.0,131
157,ok,2000-11-09,15.0,15.0,12.4,15.0,12
158,ok,2000-11-12,17.5,17.5,14.95,15.45,1204
159,ok,2000-11-13,19.0,19.0,13.05,15.3,236
160,ok,2000-11-14,18.0,18.0,12.0,13.8,2536
161,ok,2000-11-15,13.0,13.0,13.0,13.0,100
162,ok,2000-11-16,13.5,13.9,13.5,13.9,236
163,ok,2000-11-19,14.0,14.0,13.6,13.6,290
164,ok,2000-11-20,11.55,14.6,11.5,13.65,1020
165,ok,2000-11-21,12.05,14.0,12.05,14.0,110
166,ok,2000-11-22,13.5,13.5,13.5,13.5,10
167,ok,2000-11-26,13.4,13.45,13.4,13.45,301
168,ok,2000-11-27,15.6,15.6,14.0,14.5,220
169,ok,2000-11-28,15.9,15.9,11.7,12.9,1427
170,ok,2000-11-29,11.5,13.0,11.5,13.0,1174
171,ok,2000-11-30,11.5,13.9,11.5,13.4,303
172,ok,2000-12-03,13.5,13.5,12.5,13.35,610
173,ok,2000-12-04,12.3,12.45,11.75,12.0,2126
174,ok,2000-12-05,13.25,13.25,12.0,12.0,400
175,ok,2000-12-07,11.55,12.1,11.5,12.1,400
176,ok,2000-12-10,11.1,12.0,11.0,12.0,1800
177,ok,2000-12-11,11.6,11.75,11.0,11.0,2050
178,ok,2000-12-12,12.85,12.85,11.1,11.25,1700
179,ok,2000-12-13,11.5,12.0,11.25,11.5,1501
180,ok,2000-12-14,11.2,11.2,10.5,10.7,550
181,ok,2000-12-17,10.0,10.0,9.65,9.65,500
182,ok,2000-12-18,10.05,11.75,10.0,10.2,3649
183,ok,2000-12-20,9.5,10.25,9.5,10.25,1025
184,ok,2000-12-21,10.5,10.6,10.5,10.55,75
185,ok,2000-12-25,10.0,10.0,10.0,10.0,10
186,ok,2000-12-26,9.0,9.0,8.55,8.6,1500
187,ok,2000-12-27,9.55,9.55,8.7,9.3,165
188,ok,2000-12-31,8.4,8.4,8.25,8.25,200
189,ok,2001-01-01,8.05,8.5,8.0,8.5,300
190,ok,2001-01-02,8.1,8.1,8.1,8.1,300
191,ok,2001-01-04,8.0,8.9,8.0,8.9,1100
192,ok,2001-01-07,8.5,8.5,8.5,8.5,200
193,ok,2001-01-08,8.3,8.3,8.25,8.25,300
194,ok,2001-01-09,8.5,8.5,8.05,8.25,901
195,ok,2001-01-10,8.25,8.25,8.0,8.0,926
196,ok,2001-01-11,8.0,8.0,8.0,8.0,374
197,ok,2001-01-14,9.75,9.75,9.75,9.75,100
198,ok,2001-01-15,9.75,9.75,8.0,8.1,1050
199,ok,2001-01-18,7.85,8.75,7.85,8.75,400
200,ok,2001-01-21,8.8,8.8,8.1,8.1,450
201,ok,2001-01-22,8.1,8.1,8.1,8.1,410
202,ok,2001-01-23,10.4,10.4,8.2,8.25,355
203,ok,2001-01-24,8.5,8.6,8.25,8.25,844
204,ok,2001-01-28,7.55,8.15,7.55,8.15,1000
205,ok,2001-01-29,7.65,8.0,7.65,7.95,1100
206,ok,2001-01-30,7.5,8.0,7.5,7.55,2300
207,ok,2001-01-31,7.25,7.8,7.25,7.8,600
208,ok,2001-02-01,7.95,7.95,7.95,7.95,500
209,ok,2001-02-05,7.95,9.0,7.95,8.25,1002
210,ok,2001-02-06,8.65,8.65,8.65,8.65,200
211,ok,2001-02-08,7.8,7.8,7.8,7.8,400
212,ok,2001-02-11,7.05,8.3,7.05,8.3,1100
213,ok,2001-02-12,7.9,8.05,7.9,8.05,2100
214,ok,2001-02-13,8.0,8.0,7.9,7.9,200
215,ok,2001-02-15,8.1,8.1,7.55,7.65,690
216,ok,2001-02-18,8.05,8.1,7.1,7.2,1225
217,ok,2001-02-19,6.75,7.1,6.75,6.8,3560
218,ok,2001-02-20,6.0,7.2,6.0,6.7,1875
219,ok,2001-02-21,6.75,7.85,6.75,7.35,1125
220,ok,2001-02-22,7.25,7.25,6.75,6.75,1000
221,ok,2001-02-25,6.3,6.3,6.25,6.25,900
222,ok,2001-02-26,6.0,6.0,5.35,5.35,700
223,ok,2001-02-28,6.55,6.55,6.55,6.55,50
224,ok,2001-03-01,6.35,6.35,6.35,6.35,100
225,ok,2001-03-04,5.85,5.85,4.6,4.6,1600
226,ok,2001-03-07,5.0,5.6,5.0,5.6,200
227,ok,2001-03-08,5.0,5.0,5.0,5.0,200
228,ok,2001-03-11,4.2,4.2,4.2,4.2,100
229,ok,2001-03-12,3.0,5.0,3.0,5.0,800
230,ok,2001-03-13,5.5,5.5,5.0,5.0,600
231,ok,2001-03-15,4.1,5.9,4.0,4.5,2280
232,ok,2001-03-18,4.5,4.5,4.5,4.5,125
233,ok,2001-03-19,4.05,4.05,4.05,4.05,200
234,ok,2001-03-21,5.5,5.5,3.95,4.1,206
235,ok,2001-03-22,4.2,4.75,4.2,4.3,1213
236,ok,2001-03-26,3.8,5.85,3.1,5.35,410
237,ok,2001-03-27,4.55,4.55,4.0,4.25,225
238,ok,2001-03-28,4.0,4.0,3.25,3.25,202
239,ok,2001-03-29,4.0,4.0,4.0,4.0,200
240,ok,2001-04-01,4.4,4.5,4.4,4.5,300
241,ok,2001-04-02,4.15,4.4,4.15,4.35,282
242,ok,2001-04-05,4.4,4.4,4.4,4.4,200
243,ok,2001-04-09,4.3,4.3,4.3,4.3,50
244,ok,2001-04-10,3.55,3.55,3.3,3.3,900
245,ok,2001-04-15,4.6,4.6,4.6,4.6,1
246,ok,2001-04-16,4.0,4.75,4.0,4.75,601
247,ok,2001-04-18,4.0,4.0,4.0,4.0,200
248,ok,2001-04-19,4.55,4.55,4.55,4.55,200
249,ok,2001-04-22,4.6,4.6,4.05,4.5,306
250,ok,2001-04-23,4.25,5.5,4.25,5.5,542
251,ok,2001-04-24,4.5,4.5,4.0,4.0,650
252,ok,2001-04-25,4.45,5.0,4.45,4.5,1200
253,ok,2001-04-26,4.0,5.3,4.0,5.3,401
254,ok,2001-04-29,4.45,4.45,4.45,4.45,300
255,ok,2001-05-07,4.5,4.75,4.5,4.5,1082
256,ok,2001-05-08,4.4,4.4,4.4,4.4,80
257,ok,2001-05-14,4.0,5.15,4.0,5.15,402
258,ok,2001-05-16,4.1,4.1,4.05,4.05,300
259,ok,2001-05-21,4.3,4.3,4.3,4.3,143
260,ok,2001-05-22,4.95,5.0,4.95,5.0,200
261,ok,2001-05-24,4.75,4.75,4.75,4.75,630
262,ok,2001-05-27,4.25,4.9,4.25,4.7,771
263,ok,2001-05-28,5.2,5.2,5.2,5.2,1
264,ok,2001-05-29,5.0,5.2,4.8,4.85,459
265,ok,2001-05-30,4.8,4.8,2.5,3.3,107902
266,ok,2001-05-31,3.35,3.35,2.75,3.2,48901
267,ok,2001-06-03,2.85,3.0,2.6,2.8,11000
268,ok,2001-06-04,2.8,3.15,2.8,2.85,11940
269,ok,2001-06-05,3.0,3.05,2.95,3.0,3820
270,ok,2001-06-06,2.8,2.8,2.8,2.8,1
271,ok,2001-06-07,2.8,3.05,2.8,3.05,2
272,ok,2001-06-10,3.25,3.25,2.95,3.05,412
273,ok,2001-06-11,3.1,3.1,2.85,3.1,1302
274,ok,2001-06-12,3.2,3.2,3.0,3.05,3100
275,ok,2001-06-14,2.95,3.0,2.9,3.0,2294
276,ok,2001-06-17,2.9,2.9,2.9,2.9,700
277,ok,2001-06-18,2.95,3.0,2.95,3.0,2700
278,ok,2001-06-19,2.95,3.0,2.95,3.0,200
279,ok,2001-06-20,3.0,3.0,3.0,3.0,100
280,ok,2001-06-21,2.95,2.95,2.95,2.95,5000
281,ok,2001-06-24,2.8,2.8,2.55,2.55,500
282,ok,2001-06-25,2.95,2.95,2.9,2.9,700
283,ok,2001-06-26,3.25,3.25,2.65,2.65,200
284,ok,2001-06-27,2.7,2.7,2.5,2.6,600
285,ok,2001-06-28,2.5,2.9,2.5,2.9,200
286,ok,2001-07-01,3.0,3.0,3.0,3.0,5
287,ok,2001-07-02,3.25,3.25,3.25,3.25,5
