,s,t,o,h,l,c,v
0,ok,2000-01-02,90.0,90.0,89.5,90.0,2000
1,ok,2000-01-03,87.5,97.2,87.5,97.2,5500
2,ok,2000-01-04,104.65,104.65,100.0,101.93,2000
3,ok,2000-01-05,108.75,110.09,108.25,110.09,2700
4,ok,2000-01-06,112.5,115.0,111.0,115.0,1600
5,ok,2000-01-09,115.0,115.0,110.0,112.61,2200
6,ok,2000-01-10,110.0,112.45,110.0,110.0,2800
7,ok,2000-01-11,111.0,113.0,111.0,112.33,2300
8,ok,2000-01-12,110.0,112.75,110.0,110.0,1200
9,ok,2000-01-13,107.5,107.5,105.5,105.5,300
10,ok,2000-01-16,113.73,113.75,110.0,112.4,6600
11,ok,2000-01-17,112.05,115.0,111.5,113.28,4300
12,ok,2000-01-18,121.5,121.53,121.5,121.53,3400
13,ok,2000-01-19,131.25,131.25,131.25,131.25,10700
14,ok,2000-01-20,141.35,141.75,130.0,137.64,25700
15,ok,2000-01-23,142.25,142.4,128.1,129.95,6300
16,ok,2000-01-24,132.0,132.0,119.56,123.54,3000
17,ok,2000-01-26,125.0,125.0,121.25,122.63,3300
18,ok,2000-01-27,122.25,122.25,118.75,118.75,5500
19,ok,2000-01-30,121.0,127.45,120.75,127.45,7400
20,ok,2000-01-31,129.95,129.95,122.5,122.85,3900
21,ok,2000-02-01,121.0,121.0,118.75,118.76,500
22,ok,2000-02-02,120.0,120.0,113.5,116.5,1400
23,ok,2000-02-03,112.75,115.05,112.05,112.1,1200
24,ok,2000-02-06,103.55,107.5,103.5,105.05,2200
25,ok,2000-02-07,100.05,101.25,99.5,99.7,4300
26,ok,2000-02-08,99.5,99.5,95.8,99.5,1700
27,ok,2000-02-09,99.5,99.5,97.55,97.6,2000
28,ok,2000-02-10,97.5,105.41,97.5,105.41,5000
29,ok,2000-02-13,113.85,113.85,110.0,112.07,3900
30,ok,2000-02-14,110.0,110.0,103.11,103.11,5700
31,ok,2000-02-15,105.0,109.5,105.0,109.5,200
32,ok,2000-02-16,105.5,105.5,105.5,105.5,100
33,ok,2000-02-17,100.0,105.0,100.0,100.0,3100
34,ok,2000-02-20,100.25,100.5,100.03,100.1,2100
35,ok,2000-02-21,100.05,100.05,96.25,97.53,3600
36,ok,2000-02-22,90.75,90.75,89.75,89.99,4300
37,ok,2000-02-23,90.0,92.5,89.0,89.02,3700
38,ok,2000-02-24,90.15,90.15,87.5,89.95,9800
39,ok,2000-02-27,89.85,91.25,85.0,86.21,3700
40,ok,2000-02-28,86.25,88.05,83.75,83.75,13800
41,ok,2000-02-29,83.6,89.0,83.6,84.09,62700
42,ok,2000-03-01,88.5,88.5,82.5,83.26,11100
43,ok,2000-03-02,85.0,85.7,81.4,84.93,21500
44,ok,2000-03-05,83.4,83.5,83.0,83.0,600
45,ok,2000-03-06,83.75,83.8,80.0,83.63,9500
46,ok,2000-03-07,78.75,85.05,78.75,83.75,900
47,ok,2000-03-08,85.0,85.0,85.0,85.0,300
48,ok,2000-03-09,85.0,87.5,85.0,87.5,900
49,ok,2000-03-12,87.5,89.5,87.5,89.5,1300
50,ok,2000-03-13,82.5,85.75,82.5,85.21,3000
51,ok,2000-03-14,83.8,90.0,83.75,86.5,30300
52,ok,2000-03-15,89.25,89.45,87.0,89.19,1400
53,ok,2000-03-20,85.25,89.15,85.25,88.6,9100
54,ok,2000-03-21,86.0,88.0,85.0,85.92,9300
55,ok,2000-03-22,85.0,86.25,85.0,85.0,11400
56,ok,2000-03-23,86.19,87.25,85.0,85.05,33700
57,ok,2000-03-26,86.5,88.0,85.0,85.36,16700
58,ok,2000-03-27,86.25,87.5,85.25,85.25,19100
59,ok,2000-03-28,85.5,85.5,85.05,85.05,4800
60,ok,2000-03-29,85.0,85.0,80.1,80.5,3600
61,ok,2000-03-30,84.0,85.0,82.0,84.81,8900
62,ok,2000-04-02,83.5,85.0,82.5,82.5,2700
63,ok,2000-04-03,85.0,85.0,77.7,78.34,8400
64,ok,2000-04-04,80.0,84.25,80.0,82.9,700
65,ok,2000-04-05,81.25,83.2,81.25,83.2,500
66,ok,2000-04-06,84.5,84.5,80.0,83.75,3400
67,ok,2000-04-09,80.38,80.38,80.0,80.0,3300
68,ok,2000-04-11,80.0,82.5,80.0,82.5,700
69,ok,2000-04-12,83.75,83.75,83.75,83.75,400
70,ok,2000-04-16,82.35,84.75,82.35,84.75,800
71,ok,2000-04-17,82.5,84.9,82.5,84.7,1300
72,ok,2000-04-18,86.75,86.75,84.45,84.45,800
73,ok,2000-04-19,85.0,87.49,84.1,85.23,14800
74,ok,2000-04-23,87.5,87.5,83.75,86.13,10600
75,ok,2000-04-24,85.55,85.55,81.35,82.25,21300
76,ok,2000-04-25,85.5,88.75,85.45,88.75,17000
77,ok,2000-04-26,92.25,95.5,90.3,94.82,26300
78,ok,2000-04-27,91.42,94.0,87.5,91.51,78300
79,ok,2000-05-01,96.0,96.0,84.25,89.18,4700
80,ok,2000-05-02,85.5,91.75,85.5,87.88,1300
81,ok,2000-05-03,82.55,94.4,81.6,87.93,9600
82,ok,2000-05-04,92.5,94.4,91.75,94.0,6700
