,s,t,o,h,l,c,v
0,ok,2000-01-02,29.0,30.0,28.05,28.75,1400
1,ok,2000-01-03,28.0,28.0,26.55,26.55,1200
2,ok,2000-01-04,27.0,27.5,25.5,25.5,1900
3,ok,2000-01-05,27.45,27.45,25.0,25.0,800
4,ok,2000-01-06,24.8,24.8,24.8,24.8,300
5,ok,2000-01-09,23.0,23.0,23.0,23.0,100
6,ok,2000-01-10,21.25,21.25,21.25,21.25,500
7,ok,2000-01-11,20.1,20.1,20.0,20.0,200
8,ok,2000-01-12,18.5,18.5,18.5,18.5,200
9,ok,2000-01-13,15.3,20.0,15.3,20.0,400
10,ok,2000-01-16,18.5,18.5,18.5,18.5,100
11,ok,2000-01-17,19.5,19.5,16.65,16.65,600
12,ok,2000-01-19,19.5,20.75,19.5,20.75,1900
13,ok,2000-01-20,19.1,19.1,19.1,19.1,400
14,ok,2000-01-23,18.5,18.5,18.5,18.5,100
15,ok,2000-01-24,18.0,18.5,16.75,17.5,500
16,ok,2000-01-26,20.25,20.6,18.5,18.5,2100
17,ok,2000-01-27,21.0,22.5,18.4,18.5,700
18,ok,2000-01-30,18.5,18.5,15.55,16.15,2700
19,ok,2000-02-01,17.0,19.6,17.0,19.6,500
20,ok,2000-02-02,22.0,22.0,20.7,21.6,2200
21,ok,2000-02-03,21.0,22.95,21.0,22.5,2500
22,ok,2000-02-06,23.85,23.85,21.0,22.5,2100
23,ok,2000-02-07,21.5,22.3,21.5,22.1,3200
24,ok,2000-02-08,23.3,23.3,21.0,21.0,2200
25,ok,2000-02-09,21.0,21.5,20.0,20.15,600
26,ok,2000-02-10,18.55,18.65,18.55,18.65,200
27,ok,2000-02-13,18.5,18.5,16.75,16.75,700
28,ok,2000-02-14,17.75,17.9,17.0,17.0,4100
29,ok,2000-02-15,17.0,17.75,17.0,17.75,400
30,ok,2000-02-16,18.9,22.05,18.9,18.9,1600
31,ok,2000-02-17,16.0,19.95,16.0,19.55,900
32,ok,2000-02-20,22.0,22.0,20.0,20.05,4700
33,ok,2000-02-21,20.0,20.5,19.1,19.9,2900
34,ok,2000-02-22,20.5,22.0,20.5,22.0,2200
35,ok,2000-02-23,21.0,21.0,20.5,20.9,600
36,ok,2000-02-24,19.35,21.0,19.35,20.25,2100
37,ok,2000-02-27,19.1,21.5,19.1,21.4,2000
38,ok,2000-02-28,20.05,20.05,19.8,19.8,1600
39,ok,2000-02-29,22.0,22.0,21.0,21.0,400
40,ok,2000-03-01,20.5,21.0,20.5,21.0,200
41,ok,2000-03-02,19.55,19.55,19.55,19.55,100
42,ok,2000-03-05,20.0,20.0,20.0,20.0,1000
43,ok,2000-03-06,20.0,21.0,20.0,21.0,900
44,ok,2000-03-07,20.25,22.0,20.25,21.0,1400
45,ok,2000-03-08,20.95,20.95,19.4,20.8,4500
46,ok,2000-03-15,19.5,21.0,19.5,19.5,2800
47,ok,2000-03-20,20.0,20.0,19.0,19.95,1600
48,ok,2000-03-21,18.25,20.9,18.25,20.9,3400
49,ok,2000-03-22,19.25,20.0,19.25,20.0,1900
50,ok,2000-03-23,19.0,19.0,19.0,19.0,200
51,ok,2000-03-27,15.0,15.0,15.0,15.0,100
52,ok,2000-03-29,12.0,12.0,12.0,12.0,100
53,ok,2000-03-30,15.0,15.0,15.0,15.0,100
54,ok,2000-04-05,12.5,12.5,12.5,12.5,100
55,ok,2000-04-06,15.5,15.5,13.25,15.5,400
56,ok,2000-04-09,16.0,17.0,16.0,17.0,200
57,ok,2000-04-12,15.0,15.0,15.0,15.0,300
58,ok,2000-04-17,17.9,17.9,14.0,14.0,500
59,ok,2000-04-26,14.95,15.0,14.95,15.0,200
60,ok,2000-04-27,13.5,13.5,13.5,13.5,100
61,ok,2000-05-01,13.0,13.0,12.5,12.6,600
62,ok,2000-05-02,12.5,12.55,12.5,12.55,200
63,ok,2000-05-08,12.5,12.6,12.5,12.6,1200
64,ok,2000-05-11,14.95,14.95,14.95,14.95,100
65,ok,2000-05-17,14.8,17.5,14.8,17.45,600
66,ok,2000-05-18,14.05,14.05,14.0,14.0,600
67,ok,2000-05-21,17.4,17.4,17.4,17.4,400
68,ok,2000-05-22,15.0,15.0,15.0,15.0,200
69,ok,2000-05-25,14.75,14.75,14.5,14.5,1100
70,ok,2000-05-28,15.0,15.0,15.0,15.0,100
71,ok,2000-05-29,15.0,16.5,14.0,14.1,1400
72,ok,2000-05-30,15.0,15.9,15.0,15.9,200
73,ok,2000-05-31,14.5,17.5,14.4,14.4,2200
74,ok,2000-06-04,15.0,15.0,15.0,15.0,500
75,ok,2000-06-05,16.7,17.45,16.7,17.45,1800
76,ok,2000-06-06,15.0,21.0,15.0,21.0,400
77,ok,2000-06-11,19.35,19.35,19.35,19.35,1000
78,ok,2000-06-12,19.0,21.0,19.0,21.0,1100
79,ok,2000-06-13,21.0,21.0,19.95,21.0,2200
80,ok,2000-06-14,20.0,20.0,20.0,20.0,300
