,s,t,o,h,l,c,v
0,ok,2021-06-27,1009.0,1059.0,950.0,996.95,13385295
1,ok,2021-06-28,996.45,1013.0,965.0,968.9,1718095
2,ok,2021-06-29,969.65,976.8,938.1,947.05,802615
3,ok,2021-06-30,944.6,1009.9,937.55,992.5,1558442
4,ok,2021-07-01,995.0,1028.6,975.0,1018.25,1033806
5,ok,2021-07-04,1028.25,1136.0,1015.0,1094.4,2783374
6,ok,2021-07-05,1093.0,1111.0,1062.15,1066.55,740940
7,ok,2021-07-06,1069.0,1114.15,1065.1,1101.55,787947
8,ok,2021-07-07,1105.0,1152.4,1095.3,1128.35,1155280
9,ok,2021-07-08,1135.0,1142.8,1111.8,1122.35,306534
10,ok,2021-07-11,1132.4,1211.0,1125.05,1164.05,1280205
11,ok,2021-07-12,1182.0,1200.0,1171.3,1192.4,364654
12,ok,2021-07-13,1203.0,1274.0,1179.0,1253.4,940219
13,ok,2021-07-14,1265.0,1325.0,1264.0,1295.85,907243
14,ok,2021-07-15,1307.55,1322.0,1255.6,1281.5,422670
15,ok,2021-07-18,1268.0,1305.0,1257.55,1297.7,471816
16,ok,2021-07-19,1309.9,1319.0,1260.1,1283.6,327498
17,ok,2021-07-21,1293.25,1296.1,1243.3,1251.5,170159
18,ok,2021-07-22,1261.9,1261.9,1203.3,1217.2,379837
19,ok,2021-07-25,1215.0,1232.7,1146.7,1196.25,1673782
20,ok,2021-07-26,1200.0,1247.0,1199.0,1221.85,465929
21,ok,2021-07-27,1225.0,1231.95,1189.95,1199.4,332685
22,ok,2021-07-28,1200.0,1234.0,1197.05,1215.55,642744
23,ok,2021-07-29,1210.0,1227.2,1197.9,1205.45,448787
24,ok,2021-08-01,1208.0,1305.0,1200.0,1274.4,684320
25,ok,2021-08-02,1282.0,1328.0,1274.0,1287.2,720269
26,ok,2021-08-03,1295.0,1320.0,1256.0,1264.7,328843
27,ok,2021-08-04,1270.95,1282.0,1215.15,1228.85,295442
28,ok,2021-08-05,1234.0,1249.0,1220.5,1228.1,145046
29,ok,2021-08-08,1234.25,1236.6,1219.8,1226.2,153616
30,ok,2021-08-09,1230.0,1245.9,981.0,1166.65,349945
31,ok,2021-08-10,1275.0,1300.0,1216.8,1275.8,2762675
32,ok,2021-08-11,1276.1,1319.0,1255.5,1299.7,968900
33,ok,2021-08-12,1298.7,1317.85,1270.0,1276.3,339482
34,ok,2021-08-15,1283.95,1284.25,1207.5,1221.5,666275
35,ok,2021-08-16,1220.0,1390.0,1212.15,1377.45,1818877
36,ok,2021-08-17,1393.0,1397.5,1335.1,1369.9,545465
37,ok,2021-08-19,1367.0,1394.8,1283.5,1291.8,678995
38,ok,2021-08-22,1304.9,1335.1,1220.75,1251.55,576652
39,ok,2021-08-23,1258.6,1284.2,1247.0,1262.2,234513
40,ok,2021-08-24,1268.95,1282.0,1255.05,1275.9,212085
41,ok,2021-08-25,1282.3,1295.0,1256.0,1288.0,173384
42,ok,2021-08-26,1275.0,1290.0,1261.1,1277.0,194455
43,ok,2021-08-29,1282.4,1314.45,1255.0,1288.8,333376
44,ok,2021-08-30,1290.0,1309.0,1272.0,1285.4,288729
45,ok,2021-08-31,1292.65,1292.65,1260.0,1264.9,202016
46,ok,2021-09-01,1271.25,1278.15,1255.0,1257.75,141226
47,ok,2021-09-02,1257.0,1268.7,1237.0,1239.05,145519
48,ok,2021-09-05,1242.0,1298.85,1242.0,1284.05,333320
49,ok,2021-09-06,1277.3,1286.95,1252.5,1256.25,130842
50,ok,2021-09-07,1263.1,1266.3,1223.2,1241.15,240010
51,ok,2021-09-08,1244.0,1260.0,1231.3,1249.75,148216
52,ok,2021-09-12,1256.8,1269.45,1251.25,1264.55,105456
53,ok,2021-09-13,1269.0,1287.35,1243.3,1256.45,125863
54,ok,2021-09-14,1262.75,1272.85,1241.0,1243.35,129427
55,ok,2021-09-15,1249.6,1253.55,1240.05,1247.25,98735
56,ok,2021-09-16,1255.0,1258.5,1223.45,1230.25,73880
57,ok,2021-09-19,1229.0,1244.4,1210.0,1217.8,141042
58,ok,2021-09-20,1217.0,1254.8,1209.5,1250.75,168115
59,ok,2021-09-21,1254.7,1260.0,1216.0,1224.45,96944
60,ok,2021-09-22,1236.8,1250.0,1225.0,1230.65,53873
61,ok,2021-09-23,1233.0,1243.0,1205.0,1223.85,96238
