,s,t,o,h,l,c,v
0,ok,2000-01-02,7.8,7.85,6.0,6.6,32600
1,ok,2000-01-03,6.25,6.7,6.1,6.3,27200
2,ok,2000-01-04,6.0,6.5,5.8,6.25,38100
3,ok,2000-01-05,6.95,9.0,6.1,6.15,51400
4,ok,2000-01-06,6.85,6.85,6.1,6.25,14300
5,ok,2000-01-09,5.0,6.3,5.0,5.85,26500
6,ok,2000-01-10,5.25,5.85,5.25,5.35,28700
7,ok,2000-01-11,5.55,5.6,5.1,5.6,10800
8,ok,2000-01-12,5.5,5.8,5.3,5.35,10900
9,ok,2000-01-13,5.25,5.55,4.95,5.0,8500
10,ok,2000-01-16,5.1,5.15,4.7,4.95,7100
11,ok,2000-01-17,4.95,4.95,4.65,4.85,11400
12,ok,2000-01-18,5.0,5.15,4.8,4.85,10300
13,ok,2000-01-19,4.65,4.95,4.6,4.75,11500
14,ok,2000-01-20,4.55,4.95,4.55,4.8,7100
15,ok,2000-01-23,4.5,4.7,4.35,4.4,5200
16,ok,2000-01-24,4.4,4.5,4.4,4.4,10000
17,ok,2000-01-26,4.5,4.65,4.4,4.5,8500
18,ok,2000-01-27,4.75,4.75,4.0,4.3,12400
19,ok,2000-01-30,4.15,4.4,3.85,3.95,7200
20,ok,2000-01-31,4.0,4.25,4.0,4.2,12100
21,ok,2000-02-01,5.4,5.4,4.1,4.25,10300
22,ok,2000-02-02,4.1,4.1,3.9,4.1,6800
23,ok,2000-02-03,3.6,4.5,3.6,4.25,5800
24,ok,2000-02-06,4.0,4.0,3.8,3.85,7700
25,ok,2000-02-07,3.8,4.1,3.8,3.9,5900
26,ok,2000-02-08,4.0,4.15,3.8,4.05,8100
27,ok,2000-02-09,4.2,4.4,4.0,4.0,4100
28,ok,2000-02-10,4.05,4.1,3.85,3.9,8700
29,ok,2000-02-13,3.9,4.0,3.0,3.9,11600
30,ok,2000-02-14,4.1,4.1,3.65,3.8,6800
31,ok,2000-02-15,3.75,3.9,3.75,3.8,3900
32,ok,2000-02-16,3.95,4.25,3.5,4.1,20500
33,ok,2000-02-17,4.5,5.0,3.8,4.9,29200
34,ok,2000-02-20,4.05,6.6,4.0,6.05,108600
35,ok,2000-02-21,6.45,7.5,6.0,6.7,112500
36,ok,2000-02-22,8.0,8.0,6.5,6.75,112600
37,ok,2000-02-23,7.0,7.0,6.1,6.4,39600
38,ok,2000-02-24,5.05,6.75,5.05,6.3,29500
39,ok,2000-02-27,6.0,6.8,5.6,6.6,34800
40,ok,2000-02-28,6.75,7.05,5.55,5.7,52100
41,ok,2000-02-29,6.35,6.35,5.7,5.8,13100
42,ok,2000-03-01,6.0,6.0,4.85,5.0,11400
43,ok,2000-03-02,4.35,5.35,4.35,4.65,13200
44,ok,2000-03-05,4.0,5.75,4.0,5.55,22200
45,ok,2000-03-06,5.5,7.5,5.4,6.1,111200
46,ok,2000-03-07,6.0,6.5,5.15,5.2,17600
47,ok,2000-03-08,5.5,5.55,4.7,5.05,8900
48,ok,2000-03-09,4.2,5.0,4.2,4.8,2100
49,ok,2000-03-12,4.25,4.8,4.25,4.65,15700
50,ok,2000-03-13,4.35,4.4,3.5,3.85,53500
51,ok,2000-03-14,4.3,4.6,4.1,4.5,45900
52,ok,2000-03-15,4.35,4.65,4.1,4.3,6900
53,ok,2000-03-20,3.3,4.1,3.3,3.7,24200
54,ok,2000-03-21,4.1,4.2,3.8,3.9,10000
55,ok,2000-03-22,3.9,3.95,3.7,3.75,9200
56,ok,2000-03-23,4.0,4.0,3.9,4.0,2700
57,ok,2000-03-26,4.0,4.25,4.0,4.05,8800
58,ok,2000-03-27,4.0,4.1,3.9,4.05,9900
59,ok,2000-03-28,4.0,4.0,3.85,4.0,6600
60,ok,2000-03-29,4.0,4.0,4.0,4.0,3100
61,ok,2000-03-30,3.8,4.25,3.8,4.0,4400
62,ok,2000-04-02,4.35,4.35,3.75,3.85,5900
63,ok,2000-04-03,3.8,3.8,3.25,3.55,16500
64,ok,2000-04-04,3.65,4.0,3.65,4.0,900
65,ok,2000-04-05,3.5,3.8,3.5,3.55,2200
66,ok,2000-04-06,4.0,4.1,3.9,4.1,1800
67,ok,2000-04-09,3.75,3.8,3.75,3.8,600
68,ok,2000-04-11,3.5,4.0,3.5,3.6,4900
69,ok,2000-04-12,3.55,3.55,3.35,3.4,1200
70,ok,2000-04-16,3.25,3.45,3.2,3.4,2400
71,ok,2000-04-17,3.75,3.75,3.3,3.3,7500
72,ok,2000-04-18,3.25,3.5,3.25,3.35,5600
73,ok,2000-04-19,3.4,3.55,3.4,3.55,1300
74,ok,2000-04-23,3.3,3.3,3.3,3.3,100
75,ok,2000-04-24,3.05,3.6,3.0,3.45,8900
76,ok,2000-04-25,3.2,3.7,3.2,3.5,6000
77,ok,2000-04-26,3.5,3.5,3.25,3.5,5500
78,ok,2000-04-27,3.5,3.55,3.3,3.3,3500
79,ok,2000-05-01,3.25,3.35,3.1,3.2,6200
80,ok,2000-05-02,2.9,2.9,2.9,2.9,1000
81,ok,2000-05-03,3.2,3.3,3.1,3.3,4700
82,ok,2000-05-04,3.75,3.75,3.2,3.2,800
83,ok,2000-05-07,3.45,3.45,3.2,3.2,600
84,ok,2000-05-08,3.05,3.65,3.05,3.25,1600
85,ok,2000-05-09,3.1,3.4,3.1,3.15,2300
86,ok,2000-05-10,3.25,3.95,3.25,3.95,10100
87,ok,2000-05-11,3.9,3.9,3.15,3.15,6500
88,ok,2000-05-14,3.05,3.15,2.75,3.1,5200
89,ok,2000-05-15,3.05,3.1,3.0,3.1,3900
90,ok,2000-05-16,3.15,3.15,3.05,3.15,2900
91,ok,2000-05-17,3.0,3.0,3.0,3.0,600
92,ok,2000-05-18,3.0,3.0,2.9,2.9,1000
93,ok,2000-05-21,3.0,3.0,3.0,3.0,900
94,ok,2000-05-22,2.9,2.9,2.7,2.75,4200
95,ok,2000-05-23,2.8,3.25,2.8,3.25,3000
96,ok,2000-05-24,3.25,3.25,3.0,3.2,3300
97,ok,2000-05-25,3.2,3.4,3.15,3.25,4600
98,ok,2000-05-28,3.15,3.25,3.0,3.0,4400
99,ok,2000-05-29,2.8,3.4,2.8,3.25,3100
100,ok,2000-05-30,3.25,3.5,3.25,3.5,5600
101,ok,2000-05-31,3.25,3.25,3.1,3.25,3000
102,ok,2000-06-01,3.15,3.25,3.0,3.15,2900
103,ok,2000-06-04,3.15,3.45,3.0,3.1,2900
104,ok,2000-06-05,3.0,3.15,2.95,3.0,5100
105,ok,2000-06-06,3.0,3.0,3.0,3.0,500
106,ok,2000-06-07,3.7,3.7,3.0,3.05,2800
107,ok,2000-06-08,3.5,3.5,3.0,3.05,5500
108,ok,2000-06-11,3.2,3.2,2.55,3.15,2500
109,ok,2000-06-12,2.8,3.1,2.8,3.05,2400
110,ok,2000-06-13,2.95,3.0,2.95,3.0,600
111,ok,2000-06-14,3.1,3.2,3.1,3.2,2500
112,ok,2000-06-15,3.25,3.25,3.0,3.2,1100
113,ok,2000-06-18,3.05,3.05,2.9,2.9,6300
114,ok,2000-06-19,2.95,3.0,2.9,2.95,4900
115,ok,2000-06-20,2.6,2.95,2.6,2.95,1200
116,ok,2000-06-21,2.95,2.95,2.9,2.9,1700
117,ok,2000-06-22,2.9,3.0,2.9,3.0,2200
118,ok,2000-06-25,2.9,2.9,2.8,2.8,1100
119,ok,2000-06-26,2.85,3.0,2.75,2.75,2900
