,s,t,o,h,l,c,v
0,ok,2010-12-23,202.2,262.75,202.2,233.3,304859
1,ok,2010-12-26,225.0,230.0,223.0,225.05,134022
2,ok,2010-12-27,220.05,230.0,219.0,225.25,137885
3,ok,2010-12-28,220.0,227.9,220.0,225.9,8842
4,ok,2010-12-29,220.05,226.85,220.0,225.05,6323
5,ok,2010-12-30,220.0,235.0,220.0,228.05,10340
6,ok,2011-01-02,220.0,226.0,217.5,222.0,29941
7,ok,2011-01-03,221.1,224.0,218.15,220.95,12033
8,ok,2011-01-04,215.0,232.0,215.0,230.75,17351
9,ok,2011-01-05,222.05,228.45,220.35,227.25,33637
10,ok,2011-01-06,221.0,232.0,221.0,225.05,46351
11,ok,2011-01-09,225.05,242.0,221.0,234.15,20566
12,ok,2011-01-10,222.0,236.5,215.1,216.4,5132
13,ok,2011-01-11,216.2,220.55,205.0,212.9,4380
14,ok,2011-01-12,220.95,225.0,200.55,202.75,5646
15,ok,2011-01-13,202.2,211.7,196.05,204.8,80190
16,ok,2011-01-16,203.0,207.9,199.95,201.2,82908
17,ok,2011-01-17,200.0,207.0,200.0,200.45,4483
18,ok,2011-01-18,200.0,204.0,196.4,197.65,45543
19,ok,2011-01-19,181.2,195.4,180.95,193.8,5572
20,ok,2011-01-20,190.0,195.0,183.0,185.0,41832
21,ok,2011-01-23,180.0,189.05,180.0,180.15,6354
22,ok,2011-01-24,182.0,182.0,172.2,173.45,49602
23,ok,2011-01-26,172.0,174.0,164.05,165.0,30854
24,ok,2011-01-27,164.8,166.85,157.0,160.05,20168
25,ok,2011-01-30,136.65,158.0,136.65,155.45,4404
26,ok,2011-01-31,155.0,155.0,145.0,150.05,6710
27,ok,2011-02-01,146.1,160.0,146.1,156.1,5576
28,ok,2011-02-02,155.1,158.9,155.0,156.05,2526
29,ok,2011-02-03,150.0,159.5,150.0,155.25,7055
30,ok,2011-02-06,151.2,159.8,151.2,155.0,6829
31,ok,2011-02-07,154.9,155.0,150.05,154.6,8362
32,ok,2011-02-08,150.0,157.5,150.0,151.0,4556
33,ok,2011-02-09,146.1,148.95,146.0,147.0,7463
34,ok,2011-02-10,149.95,158.0,146.0,153.05,2778
35,ok,2011-02-13,157.0,157.0,150.1,154.15,2229
36,ok,2011-02-14,153.0,156.45,151.0,151.1,1654
37,ok,2011-02-15,150.6,162.0,150.15,155.65,1485
38,ok,2011-02-16,162.95,162.95,152.0,154.9,2024
39,ok,2011-02-17,161.5,184.8,152.45,154.8,6858
40,ok,2011-02-20,152.0,158.4,152.0,155.8,11642
41,ok,2011-02-21,152.6,160.0,152.6,156.75,1515
42,ok,2011-02-22,176.0,176.0,153.05,157.75,1966
43,ok,2011-02-23,164.0,164.0,152.05,155.0,56548
