,s,t,o,h,l,c,v
0,ok,2000-01-02,4.6,4.9,4.41,4.88,176000
1,ok,2000-01-03,4.65,4.75,4.49,4.49,79000
2,ok,2000-01-04,4.4,4.61,4.21,4.34,158000
3,ok,2000-01-05,4.3,4.45,4.26,4.4,71000
4,ok,2000-01-06,4.2,4.4,4.14,4.28,46500
5,ok,2000-01-09,4.25,4.38,4.21,4.28,54000
6,ok,2000-01-10,4.19,4.2,3.94,3.96,128000
7,ok,2000-01-11,3.95,4.19,3.9,4.19,43500
8,ok,2000-01-12,4.2,4.2,4.0,4.02,27500
9,ok,2000-01-13,4.02,4.1,4.0,4.09,11000
10,ok,2000-01-16,4.1,4.13,3.83,4.1,15500
11,ok,2000-01-17,3.83,4.05,3.83,3.98,28000
12,ok,2000-01-18,4.05,4.1,4.01,4.09,39000
13,ok,2000-01-19,4.1,4.1,3.98,4.01,18000
14,ok,2000-01-20,4.05,4.05,3.92,4.0,20000
15,ok,2000-01-23,3.89,4.05,3.89,3.9,20500
16,ok,2000-01-24,3.9,3.9,3.75,3.78,52000
17,ok,2000-01-26,3.8,3.97,3.8,3.82,59000
18,ok,2000-01-27,3.88,3.88,3.63,3.74,21500
19,ok,2000-01-30,3.97,4.04,3.97,4.04,109500
20,ok,2000-01-31,4.35,4.35,4.06,4.15,110000
21,ok,2000-02-01,4.3,4.3,4.11,4.16,124000
22,ok,2000-02-02,4.15,4.25,4.05,4.11,35500
23,ok,2000-02-03,4.23,4.23,3.9,3.91,53000
24,ok,2000-02-06,3.91,4.08,3.76,3.8,40500
25,ok,2000-02-07,3.79,3.8,3.6,3.67,76500
26,ok,2000-02-08,3.7,3.77,3.66,3.69,30500
27,ok,2000-02-09,3.65,3.79,3.6,3.73,52500
28,ok,2000-02-10,3.77,3.83,3.58,3.83,45500
29,ok,2000-02-13,3.65,3.65,3.52,3.52,30500
30,ok,2000-02-14,3.67,3.67,3.35,3.4,47000
31,ok,2000-02-15,3.15,3.67,3.15,3.67,17000
32,ok,2000-02-16,3.57,3.74,3.57,3.65,57000
33,ok,2000-02-17,3.9,3.9,3.51,3.53,21000
34,ok,2000-02-20,3.6,3.65,3.53,3.55,36500
35,ok,2000-02-21,3.5,3.6,3.41,3.52,68000
36,ok,2000-02-22,3.6,3.6,3.4,3.54,27000
37,ok,2000-02-23,3.41,3.49,3.3,3.44,9500
38,ok,2000-02-24,3.41,3.45,3.41,3.41,7000
39,ok,2000-02-27,3.41,3.45,3.16,3.3,36500
40,ok,2000-02-28,3.39,3.45,3.18,3.18,68000
41,ok,2000-02-29,3.3,3.3,3.23,3.23,4000
42,ok,2000-03-01,3.23,3.3,3.21,3.23,32000
43,ok,2000-03-02,2.99,3.1,2.98,3.0,23000
44,ok,2000-03-05,3.08,3.08,2.81,3.0,23000
45,ok,2000-03-06,3.0,3.0,2.78,2.79,79000
46,ok,2000-03-07,2.98,3.0,2.75,2.8,30500
47,ok,2000-03-08,2.71,2.95,2.7,2.8,24000
48,ok,2000-03-09,2.75,2.8,2.75,2.8,15000
49,ok,2000-03-12,2.89,2.89,2.75,2.84,39500
50,ok,2000-03-13,2.8,2.9,2.65,2.87,130500
51,ok,2000-03-14,2.93,3.1,2.93,3.1,6000
52,ok,2000-03-15,3.19,3.35,3.19,3.35,14460
53,ok,2000-03-20,3.1,3.39,3.1,3.15,47410
54,ok,2000-03-21,3.3,3.35,3.3,3.35,10500
55,ok,2000-03-22,3.2,3.25,3.18,3.2,60000
56,ok,2000-03-23,3.11,3.25,3.1,3.25,6020
57,ok,2000-03-26,3.2,3.2,3.17,3.17,5500
58,ok,2000-03-27,3.24,3.42,3.03,3.05,44500
59,ok,2000-03-28,3.1,3.29,3.1,3.2,24520
60,ok,2000-03-29,3.2,3.2,3.0,3.05,21520
61,ok,2000-03-30,3.15,3.2,3.06,3.1,47100
62,ok,2000-04-02,3.19,3.35,3.19,3.35,36060
63,ok,2000-04-03,3.2,3.35,3.09,3.11,80350
64,ok,2000-04-04,3.13,3.35,3.13,3.35,11750
65,ok,2000-04-05,3.25,3.34,3.25,3.34,7560
66,ok,2000-04-06,3.31,3.5,3.31,3.39,37450
67,ok,2000-04-09,3.54,3.55,3.35,3.45,26550
68,ok,2000-04-11,3.34,3.42,3.33,3.42,4000
69,ok,2000-04-12,3.42,3.48,3.4,3.4,12550
70,ok,2000-04-16,3.38,3.41,3.23,3.29,26000
71,ok,2000-04-17,3.29,3.38,3.23,3.28,29010
72,ok,2000-04-18,3.01,3.1,3.0,3.0,29200
73,ok,2000-04-19,3.0,3.03,2.98,3.03,6000
74,ok,2000-04-23,3.09,3.09,2.9,2.91,26500
75,ok,2000-04-24,2.9,2.9,2.8,2.84,8800
76,ok,2000-04-25,2.9,3.04,2.9,3.04,6700
77,ok,2000-04-26,2.87,3.0,2.87,2.9,36000
78,ok,2000-04-27,2.82,2.94,2.82,2.94,2000
79,ok,2000-05-01,2.9,2.97,2.76,2.8,57500
80,ok,2000-05-02,2.63,3.0,2.63,2.98,9000
81,ok,2000-05-03,2.85,2.9,2.79,2.8,8500
82,ok,2000-05-04,3.0,3.0,2.83,2.95,12020
83,ok,2000-05-07,3.09,3.09,2.85,2.86,10500
84,ok,2000-05-08,2.85,3.0,2.78,2.93,15200
85,ok,2000-05-09,2.86,2.99,2.85,2.95,8000
86,ok,2000-05-10,3.0,3.04,2.89,2.89,11000
87,ok,2000-05-11,2.8,2.9,2.8,2.83,3000
88,ok,2000-05-14,2.69,2.85,2.67,2.85,7500
89,ok,2000-05-15,2.64,2.9,2.64,2.83,32500
90,ok,2000-05-17,2.88,2.9,2.86,2.9,14000
91,ok,2000-05-18,2.89,2.89,2.87,2.87,4000
92,ok,2000-05-21,2.86,2.88,2.86,2.86,4100
93,ok,2000-05-22,2.9,2.9,2.8,2.8,24500
94,ok,2000-05-23,2.89,2.9,2.89,2.9,6500
95,ok,2000-05-24,2.85,2.9,2.85,2.9,9000
96,ok,2000-05-25,2.9,2.9,2.85,2.9,18500
97,ok,2000-05-28,2.88,2.99,2.88,2.99,15700
98,ok,2000-05-29,3.0,3.0,2.87,2.93,21650
99,ok,2000-05-30,2.96,3.07,2.96,3.0,5500
100,ok,2000-05-31,3.0,3.1,3.0,3.06,1100
101,ok,2000-06-01,3.08,3.08,3.0,3.01,31000
102,ok,2000-06-04,3.2,3.2,3.11,3.17,29750
103,ok,2000-06-05,3.11,3.19,3.11,3.11,6000
104,ok,2000-06-06,3.2,3.24,3.16,3.21,26000
105,ok,2000-06-07,3.16,3.27,3.16,3.17,21000
106,ok,2000-06-08,3.1,3.2,3.1,3.12,23250
107,ok,2000-06-11,3.15,3.15,3.1,3.12,32190
108,ok,2000-06-12,3.2,3.23,3.05,3.16,20570
109,ok,2000-06-13,3.28,3.28,3.12,3.12,35000
110,ok,2000-06-14,3.21,3.21,3.01,3.1,11000
111,ok,2000-06-15,3.1,3.15,3.1,3.12,14000
112,ok,2000-06-18,3.15,3.2,3.13,3.2,9900
113,ok,2000-06-19,3.11,3.25,3.11,3.22,8500
114,ok,2000-06-20,3.15,3.3,3.15,3.3,12600
115,ok,2000-06-21,3.26,3.28,3.2,3.28,6500
116,ok,2000-06-22,3.28,3.3,3.18,3.3,14750
117,ok,2000-06-25,3.18,3.2,3.18,3.2,2000
118,ok,2000-06-26,3.11,3.23,3.05,3.23,40250
119,ok,2000-06-27,3.1,3.2,3.04,3.2,71670
120,ok,2000-06-28,3.2,3.2,3.16,3.16,14000
121,ok,2000-06-29,3.2,3.2,3.16,3.16,18580
122,ok,2000-07-02,3.25,3.25,3.16,3.23,14030
123,ok,2000-07-03,3.25,3.26,3.0,3.11,71100
124,ok,2000-07-04,3.06,3.14,3.06,3.1,50070
125,ok,2000-07-05,3.25,3.25,3.1,3.1,12000
126,ok,2000-07-06,3.2,3.2,3.1,3.1,9600
127,ok,2000-07-09,3.2,3.2,3.0,3.03,49250
128,ok,2000-07-10,2.9,2.99,2.85,2.9,21250
129,ok,2000-07-11,3.0,3.0,2.8,2.92,23300
130,ok,2000-07-12,3.03,3.1,2.97,2.99,9780
131,ok,2000-07-13,2.94,3.0,2.94,2.99,9000
132,ok,2000-07-16,3.01,3.01,2.96,3.01,8250
