,s,t,o,h,l,c,v
0,ok,2008-02-17,21.0,21.0,15.13,15.49,54460690
1,ok,2008-02-18,15.53,16.29,14.81,14.92,16653990
2,ok,2008-02-19,14.77,15.2,14.36,14.92,5728540
3,ok,2008-02-20,14.2,15.7,14.2,14.69,4497040
4,ok,2008-02-21,13.7,14.5,13.62,13.77,1786430
5,ok,2008-02-24,13.9,13.98,13.01,13.5,1355040
6,ok,2008-02-25,13.74,14.5,10.8,13.69,3056620
7,ok,2008-02-26,13.71,14.28,13.11,13.46,1313500
8,ok,2008-02-27,13.34,14.5,13.21,14.3,3005750
9,ok,2008-02-28,14.11,15.1,14.11,14.6,1970090
10,ok,2008-03-02,14.19,14.27,13.36,13.46,320560
11,ok,2008-03-03,13.36,13.59,12.45,12.96,402940
12,ok,2008-03-04,12.51,13.2,12.51,12.92,352790
13,ok,2008-03-06,12.48,12.48,10.98,11.19,967470
14,ok,2008-03-09,10.38,10.8,9.57,10.68,401240
15,ok,2008-03-10,9.9,11.45,9.77,11.3,329500
16,ok,2008-03-11,11.65,11.99,10.83,10.99,199480
17,ok,2008-03-12,10.76,10.76,9.91,10.16,202310
18,ok,2008-03-13,9.9,11.0,9.75,10.47,272330
19,ok,2008-03-16,9.62,10.09,9.09,9.85,922210
20,ok,2008-03-17,10.19,10.2,9.2,9.26,121570
21,ok,2008-03-18,9.41,9.8,9.0,9.16,112770
22,ok,2008-03-23,9.2,9.35,7.4,7.48,253110
23,ok,2008-03-24,7.7,7.82,7.06,7.39,426360
24,ok,2008-03-25,7.6,7.7,7.4,7.63,1769070
25,ok,2008-03-26,7.07,7.99,7.07,7.89,229330
26,ok,2008-03-27,7.31,8.35,7.31,8.23,739590
27,ok,2008-03-30,8.4,8.6,8.2,8.46,304490
28,ok,2008-03-31,8.0,9.7,8.0,9.27,512930
29,ok,2008-04-01,9.62,9.98,9.1,9.33,180460
30,ok,2008-04-02,9.1,9.29,8.86,8.94,82860
31,ok,2008-04-03,9.0,10.3,8.62,9.24,750110
32,ok,2008-04-06,9.6,9.65,9.0,9.23,113160
33,ok,2008-04-07,9.05,9.25,8.83,8.98,69450
34,ok,2008-04-08,9.03,9.75,8.91,9.33,174640
35,ok,2008-04-09,9.5,9.6,9.0,9.12,173400
36,ok,2008-04-10,9.2,9.39,9.0,9.09,56670
37,ok,2008-04-14,9.03,9.3,8.81,9.22,82780
38,ok,2008-04-15,9.06,9.7,9.03,9.28,183390
39,ok,2008-04-16,9.33,9.48,9.2,9.26,84860
40,ok,2008-04-20,9.5,10.05,9.4,9.85,255640
41,ok,2008-04-21,10.0,10.9,9.9,10.76,472320
42,ok,2008-04-22,11.41,11.79,11.03,11.23,368250
43,ok,2008-04-23,11.55,11.55,11.04,11.11,160150
44,ok,2008-04-24,11.45,11.45,10.74,10.87,67890
45,ok,2008-04-27,11.0,11.0,10.2,10.35,132840
46,ok,2008-04-28,10.27,10.55,10.1,10.51,101510
47,ok,2008-04-29,10.5,10.69,10.1,10.23,114790
48,ok,2008-05-01,10.6,12.28,10.6,12.25,1549940
49,ok,2008-05-04,12.5,12.84,11.85,12.33,2105430
50,ok,2008-05-05,12.39,12.8,12.05,12.34,657040
51,ok,2008-05-06,11.61,12.3,11.52,11.72,390430
52,ok,2008-05-07,11.3,11.98,11.24,11.84,401780
53,ok,2008-05-08,11.33,11.92,11.0,11.17,117060
54,ok,2008-05-11,10.4,11.1,10.4,10.65,128130
55,ok,2008-05-12,10.6,11.48,10.6,10.92,222270
56,ok,2008-05-13,10.8,11.2,10.6,11.08,74330
57,ok,2008-05-14,11.5,11.99,11.0,11.17,78970
58,ok,2008-05-15,11.6,11.66,11.3,11.37,172450
59,ok,2008-05-19,11.2,11.55,11.15,11.32,89030
60,ok,2008-05-20,11.1,11.5,11.1,11.41,145420
61,ok,2008-05-21,11.41,11.41,11.13,11.21,36530
62,ok,2008-05-22,11.24,11.4,11.11,11.23,76580
63,ok,2008-05-25,11.4,11.4,10.5,10.8,101610
64,ok,2008-05-26,10.9,11.1,10.5,10.58,96650
65,ok,2008-05-27,11.18,11.18,10.36,10.45,53290
66,ok,2008-05-28,10.56,10.8,10.3,10.32,61110
