,s,t,o,h,l,c,v
0,ok,2000-01-02,20.5,21.0,19.3,19.45,11200
1,ok,2000-01-03,18.5,18.5,16.6,17.25,21000
2,ok,2000-01-04,17.0,18.75,17.0,17.5,11800
3,ok,2000-01-05,17.6,18.0,17.5,17.6,7300
4,ok,2000-01-06,17.0,17.45,17.0,17.4,3100
5,ok,2000-01-09,17.85,17.85,15.75,16.95,9500
6,ok,2000-01-10,16.0,16.8,16.0,16.2,8000
7,ok,2000-01-11,16.15,16.8,16.15,16.8,700
8,ok,2000-01-12,16.0,16.5,15.85,15.9,3200
9,ok,2000-01-13,15.9,16.45,15.55,15.75,4100
10,ok,2000-01-16,16.1,16.35,16.0,16.25,4900
11,ok,2000-01-17,16.0,16.15,15.55,16.0,4500
12,ok,2000-01-18,16.5,16.6,16.1,16.2,2100
13,ok,2000-01-19,16.2,16.2,15.6,15.6,2000
14,ok,2000-01-20,16.0,16.0,15.9,16.0,1200
15,ok,2000-01-23,15.4,15.4,15.35,15.4,1800
16,ok,2000-01-24,15.4,15.75,15.05,15.1,5600
17,ok,2000-01-26,14.85,15.45,14.8,15.05,4600
18,ok,2000-01-27,15.45,16.0,15.25,15.25,3700
19,ok,2000-01-30,15.1,15.5,15.1,15.2,3300
20,ok,2000-01-31,15.25,15.3,15.05,15.25,4800
21,ok,2000-02-01,15.25,15.35,15.05,15.05,2000
22,ok,2000-02-02,15.05,15.75,15.0,15.35,5100
23,ok,2000-02-03,15.4,15.8,15.05,15.7,7500
24,ok,2000-02-06,15.5,16.0,15.0,15.65,9000
25,ok,2000-02-07,15.5,16.0,15.5,15.55,3900
26,ok,2000-02-08,15.5,15.75,15.5,15.75,1400
27,ok,2000-02-09,18.5,18.5,15.2,15.4,8600
28,ok,2000-02-10,15.6,16.1,15.25,15.3,6000
29,ok,2000-02-13,16.0,16.5,15.0,16.0,6200
30,ok,2000-02-14,15.3,17.9,15.25,15.8,6400
31,ok,2000-02-15,16.0,16.1,15.75,15.75,5600
32,ok,2000-02-16,15.1,16.9,15.0,15.6,5600
33,ok,2000-02-17,15.55,16.0,15.55,15.55,2900
34,ok,2000-02-20,15.9,16.25,15.45,15.45,3000
35,ok,2000-02-21,15.1,16.0,15.0,15.5,9300
36,ok,2000-02-22,15.7,15.9,15.7,15.7,700
37,ok,2000-02-23,15.25,15.4,15.25,15.4,400
38,ok,2000-02-24,15.5,15.95,15.0,15.65,6600
39,ok,2000-02-27,15.15,16.8,15.15,15.2,17400
40,ok,2000-02-28,15.8,15.85,15.1,15.1,23900
41,ok,2000-02-29,15.25,15.75,15.25,15.7,13100
42,ok,2000-03-01,15.0,15.9,15.0,15.7,25900
43,ok,2000-03-02,15.05,15.7,15.05,15.55,22600
44,ok,2000-03-05,15.55,19.4,15.55,19.15,22400
45,ok,2000-03-06,19.1,22.95,19.1,21.5,49500
46,ok,2000-03-07,22.0,23.25,22.0,23.25,11200
47,ok,2000-03-08,24.9,25.15,24.9,25.15,17400
48,ok,2000-03-09,27.15,27.2,27.15,27.2,13500
49,ok,2000-03-12,29.4,29.4,25.05,25.05,21700
50,ok,2000-03-13,23.05,23.05,23.05,23.05,1400
51,ok,2000-03-14,21.25,24.85,21.25,21.55,32800
52,ok,2000-03-15,23.3,23.3,20.5,21.35,123600
53,ok,2000-03-20,20.25,20.75,19.65,19.65,4700
54,ok,2000-03-21,17.0,21.0,17.0,19.5,54200
55,ok,2000-03-22,17.6,19.4,17.6,18.6,103500
56,ok,2000-03-23,22.0,22.0,19.05,19.65,3100
57,ok,2000-03-26,17.3,19.0,17.3,17.6,13700
58,ok,2000-03-27,18.4,18.5,17.0,17.3,7600
59,ok,2000-03-28,20.0,20.0,18.05,18.15,51500
60,ok,2000-03-29,16.0,20.8,16.0,16.85,4500
61,ok,2000-03-30,17.85,17.9,17.2,17.75,2200
62,ok,2000-04-02,18.5,18.5,17.1,17.5,21600
63,ok,2000-04-03,16.0,16.75,15.15,15.4,17200
64,ok,2000-04-04,16.5,17.2,16.0,16.0,4200
65,ok,2000-04-05,17.5,17.5,16.1,16.1,600
66,ok,2000-04-06,17.4,18.6,17.2,18.05,14700
67,ok,2000-04-09,17.8,18.25,16.75,16.75,20800
68,ok,2000-04-11,17.0,17.5,16.8,17.25,2500
69,ok,2000-04-12,16.5,16.75,16.5,16.5,8600
70,ok,2000-04-16,15.6,16.0,15.5,16.0,2400
71,ok,2000-04-17,15.55,16.3,15.5,15.5,7000
