,s,t,o,h,l,c,v
0,ok,2007-12-12,230.0,230.0,176.0,181.35,16752612
1,ok,2007-12-13,181.05,217.65,181.05,216.1,18015848
2,ok,2007-12-16,220.55,249.95,215.1,225.7,17573640
3,ok,2007-12-17,229.9,239.8,222.0,228.05,6124804
4,ok,2007-12-18,235.0,237.4,225.5,229.15,3900171
5,ok,2007-12-19,230.45,231.0,217.6,222.55,1764261
6,ok,2007-12-23,227.95,231.1,218.2,225.9,2069434
7,ok,2007-12-25,226.0,234.55,223.6,226.75,2010100
8,ok,2007-12-26,229.0,235.7,227.0,233.05,1938012
9,ok,2007-12-27,221.5,232.95,221.5,227.45,1077022
10,ok,2007-12-30,229.5,267.0,229.5,256.15,7336684
11,ok,2007-12-31,255.7,260.9,246.0,249.0,1856752
12,ok,2008-01-01,252.95,263.5,242.5,253.15,2506461
13,ok,2008-01-02,250.0,262.6,248.0,253.75,1498739
14,ok,2008-01-03,254.0,261.9,252.0,253.05,1357404
15,ok,2008-01-06,254.0,272.0,248.0,259.2,2710449
16,ok,2008-01-07,261.0,265.9,240.3,245.3,1345524
17,ok,2008-01-08,245.5,247.5,233.5,236.7,909226
18,ok,2008-01-09,238.0,245.0,223.0,228.2,659902
19,ok,2008-01-10,233.0,234.0,218.2,223.25,619565
20,ok,2008-01-13,225.0,241.0,222.9,232.8,767630
21,ok,2008-01-14,235.0,243.2,227.1,230.0,811845
22,ok,2008-01-15,229.9,229.9,212.05,220.0,391840
23,ok,2008-01-16,222.8,227.95,221.0,222.45,302168
24,ok,2008-01-17,220.0,223.0,202.0,206.55,376882
25,ok,2008-01-20,204.0,204.0,165.5,170.3,451262
26,ok,2008-01-21,136.9,165.0,136.25,147.05,203619
27,ok,2008-01-22,155.0,176.5,154.5,170.8,265021
28,ok,2008-01-23,180.0,183.0,151.25,155.75,315637
29,ok,2008-01-24,159.85,169.85,156.15,167.2,213235
30,ok,2008-01-27,165.5,181.0,147.0,176.1,699715
31,ok,2008-01-28,180.0,187.9,167.0,172.8,622804
32,ok,2008-01-29,175.0,175.0,165.1,166.4,183743
33,ok,2008-01-30,169.0,171.5,164.2,165.75,151874
34,ok,2008-01-31,169.4,169.4,158.0,162.35,125226
35,ok,2008-02-03,165.9,174.5,165.05,170.3,212684
36,ok,2008-02-04,172.0,174.0,165.0,169.35,159052
37,ok,2008-02-05,161.0,168.95,155.1,166.4,108141
38,ok,2008-02-06,166.9,179.4,160.55,163.55,521741
39,ok,2008-02-07,163.55,164.65,149.6,152.05,324485
40,ok,2008-02-10,152.05,155.0,136.0,136.9,184071
41,ok,2008-02-11,140.7,144.0,122.1,127.3,204651
42,ok,2008-02-12,132.0,134.95,127.55,128.85,126852
43,ok,2008-02-13,132.75,139.5,131.0,138.0,149902
44,ok,2008-02-14,135.0,145.5,131.1,144.5,218230
45,ok,2008-02-17,150.0,154.8,146.0,151.25,199071
46,ok,2008-02-18,154.0,154.7,148.1,149.9,146275
47,ok,2008-02-19,147.5,149.7,144.35,144.9,72762
48,ok,2008-02-20,149.0,150.0,144.55,146.0,81955
49,ok,2008-02-21,142.0,147.5,141.1,144.15,57973
50,ok,2008-02-24,145.2,145.85,138.0,139.8,45335
51,ok,2008-02-25,145.0,145.0,140.0,140.85,58851
52,ok,2008-02-26,142.0,145.5,141.05,141.75,121284
53,ok,2008-02-27,141.0,142.2,135.5,137.85,64808
54,ok,2008-02-28,129.05,140.0,129.05,133.65,86190
55,ok,2008-03-02,130.0,135.0,122.0,126.05,69988
56,ok,2008-03-03,126.15,129.9,110.0,115.75,162167
57,ok,2008-03-04,115.0,117.0,109.1,110.3,211018
58,ok,2008-03-06,109.0,109.5,100.5,104.2,200871
59,ok,2008-03-09,100.0,104.0,92.1,100.55,328438
60,ok,2008-03-10,100.0,120.0,98.1,106.6,152946
61,ok,2008-03-11,110.8,116.6,105.95,107.45,164953
62,ok,2008-03-12,101.15,104.45,97.1,98.55,96657
63,ok,2008-03-13,98.55,102.5,96.1,98.6,86591
64,ok,2008-03-16,92.2,95.8,91.0,92.15,120128
65,ok,2008-03-17,94.0,94.0,85.7,86.6,187089
66,ok,2008-03-18,89.0,93.0,86.0,89.9,156006
67,ok,2008-03-23,91.2,93.85,75.85,78.7,149967
68,ok,2008-03-24,81.0,89.4,80.3,87.8,205757
69,ok,2008-03-25,86.65,93.8,86.05,89.75,163774
70,ok,2008-03-26,85.0,95.3,85.0,92.15,258441
71,ok,2008-03-27,94.95,104.5,93.0,96.15,479438
72,ok,2008-03-30,95.0,101.75,93.05,95.7,218144
73,ok,2008-03-31,98.0,102.0,95.25,96.65,132232
74,ok,2008-04-01,99.7,102.7,96.05,96.9,96069
75,ok,2008-04-02,95.2,98.9,92.6,93.9,82660
76,ok,2008-04-03,99.9,99.9,91.0,91.95,89031
77,ok,2008-04-06,93.0,95.8,90.1,94.4,75456
78,ok,2008-04-07,95.0,112.7,93.1,109.2,1038106
79,ok,2008-04-08,109.7,115.5,106.0,109.4,755330
80,ok,2008-04-09,108.9,111.0,108.2,108.75,140593
81,ok,2008-04-10,111.9,117.0,105.0,109.35,237142
82,ok,2008-04-14,111.9,113.95,107.55,111.05,110106
83,ok,2008-04-15,112.8,114.0,108.25,109.15,81365
84,ok,2008-04-16,112.0,112.35,106.9,107.65,78198
85,ok,2008-04-20,108.7,112.0,108.7,109.3,61584
86,ok,2008-04-21,110.9,115.0,110.2,112.95,153068
87,ok,2008-04-22,114.8,119.0,112.55,114.7,206391
88,ok,2008-04-23,119.0,119.0,110.0,111.0,73640
89,ok,2008-04-24,112.5,112.95,107.1,110.15,63395
90,ok,2008-04-27,109.1,115.35,106.05,111.1,104091
91,ok,2008-04-28,111.45,115.9,108.85,114.0,178523
92,ok,2008-04-29,115.1,118.9,111.05,112.15,207141
93,ok,2008-05-01,115.5,115.5,112.3,113.05,63666
94,ok,2008-05-04,113.1,135.45,112.5,133.0,2260948
95,ok,2008-05-05,136.0,136.0,121.1,123.5,1411661
96,ok,2008-05-06,123.0,123.9,115.5,120.2,436989
97,ok,2008-05-07,115.0,132.35,115.0,125.55,1623841
98,ok,2008-05-08,127.9,127.9,115.75,117.7,357552
99,ok,2008-05-11,115.0,117.0,110.0,112.75,179324
100,ok,2008-05-12,115.75,121.4,112.7,114.05,323350
101,ok,2008-05-13,114.1,116.5,112.05,113.6,88622
102,ok,2008-05-14,114.0,117.6,114.0,115.3,112680
103,ok,2008-05-15,116.7,123.0,115.3,120.55,667862
104,ok,2008-05-19,119.9,132.8,119.9,130.95,1233843
105,ok,2008-05-20,128.9,136.45,126.1,131.3,1510716
106,ok,2008-05-21,127.0,130.65,123.2,124.6,276612
107,ok,2008-05-22,126.1,126.45,118.15,119.5,192587
108,ok,2008-05-25,115.0,116.7,112.0,113.3,109619
109,ok,2008-05-26,115.45,118.0,111.9,113.35,152700
110,ok,2008-05-27,114.25,116.9,112.3,113.85,125726
111,ok,2008-05-28,115.4,116.5,111.5,112.55,87176
112,ok,2008-05-29,113.1,114.5,109.2,110.35,67917
113,ok,2008-06-01,112.25,115.4,104.0,104.9,172321
114,ok,2008-06-02,99.55,105.5,99.55,103.4,104129
115,ok,2008-06-03,103.5,106.0,97.5,98.95,84002
116,ok,2008-06-04,99.0,101.0,97.1,99.8,75753
117,ok,2008-06-05,98.25,101.9,95.2,96.5,78015
118,ok,2008-06-08,93.0,93.0,87.1,88.65,78633
119,ok,2008-06-09,92.1,92.1,85.1,86.15,91373
120,ok,2008-06-10,89.8,90.1,87.0,89.1,103910
121,ok,2008-06-11,86.05,89.0,85.0,88.35,109897
122,ok,2008-06-12,88.1,92.3,86.1,86.85,136397
123,ok,2008-06-15,90.0,91.75,88.0,88.85,186425
124,ok,2008-06-16,89.25,89.6,87.15,87.95,138857
125,ok,2008-06-17,89.4,91.4,84.8,85.85,264630
126,ok,2008-06-18,85.1,85.7,82.2,82.7,91375
127,ok,2008-06-19,83.0,84.05,78.1,78.85,124859
128,ok,2008-06-22,72.05,76.8,69.1,69.9,329069
129,ok,2008-06-23,71.5,71.75,66.05,67.2,151288
130,ok,2008-06-24,67.2,67.5,64.55,64.95,212697
131,ok,2008-06-25,65.9,67.55,62.85,63.3,176566
132,ok,2008-06-26,63.3,63.3,60.0,60.2,175213
133,ok,2008-06-29,61.05,61.05,54.0,54.7,182033
134,ok,2008-06-30,56.0,56.0,48.25,49.05,291175
135,ok,2008-07-01,48.2,54.0,45.4,51.0,512103
136,ok,2008-07-02,51.05,51.05,45.2,45.95,210301
137,ok,2008-07-03,46.0,49.4,45.5,48.5,400214
138,ok,2008-07-06,49.2,52.0,49.2,49.95,300093
139,ok,2008-07-07,48.0,51.25,47.4,49.45,313408
140,ok,2008-07-08,51.1,59.35,51.0,59.1,1258627
141,ok,2008-07-09,61.6,65.85,59.2,62.2,1876044
142,ok,2008-07-10,63.5,64.5,58.0,59.15,908776
143,ok,2008-07-13,58.0,61.5,55.6,57.75,530372
144,ok,2008-07-14,56.8,57.95,53.0,54.1,259562
145,ok,2008-07-15,53.4,56.95,50.75,51.5,371921
146,ok,2008-07-16,54.85,56.45,53.25,54.1,518426
147,ok,2008-07-17,54.55,56.5,53.5,55.45,317042
148,ok,2008-07-20,56.45,65.0,54.5,58.45,478294
149,ok,2008-07-21,58.0,60.5,57.3,58.95,369812
150,ok,2008-07-22,61.5,67.6,61.2,64.2,831822
151,ok,2008-07-23,65.0,77.05,64.5,77.05,1002802
152,ok,2008-07-24,79.4,79.4,71.1,71.7,1120392
153,ok,2008-07-27,70.0,76.7,68.25,73.0,531440
154,ok,2008-07-28,71.1,73.7,68.0,71.1,600312
155,ok,2008-07-29,72.7,78.25,67.4,78.25,1342454
156,ok,2008-07-30,81.0,86.1,78.0,86.1,552854
157,ok,2008-07-31,89.3,89.3,79.0,81.2,886940
158,ok,2008-08-03,80.0,88.45,80.0,85.55,812626
159,ok,2008-08-04,84.45,88.15,80.55,85.7,413596
160,ok,2008-08-05,87.0,89.9,86.1,87.15,381609
161,ok,2008-08-06,85.0,87.65,82.0,83.65,214460
162,ok,2008-08-07,81.05,84.45,80.55,81.15,200534
163,ok,2008-08-10,83.4,85.8,81.35,82.15,149915
164,ok,2008-08-11,82.5,83.5,79.9,80.3,152943
165,ok,2008-08-12,80.6,84.2,78.2,80.05,225369
166,ok,2008-08-13,79.25,81.0,74.35,75.15,156116
167,ok,2008-08-17,74.0,79.8,70.1,70.75,292851
