,s,t,o,h,l,c,v
0,ok,2000-01-02,11.0,11.47,11.0,11.47,141720
1,ok,2000-01-03,12.39,12.39,11.27,12.35,1473620
2,ok,2000-01-04,11.45,12.0,11.36,11.42,2115980
3,ok,2000-01-05,11.76,11.95,10.85,11.3,804040
4,ok,2000-01-06,10.65,10.95,10.4,10.45,489260
5,ok,2000-01-09,10.75,10.95,9.61,9.61,248160
6,ok,2000-01-10,9.01,9.01,8.84,8.84,305060
7,ok,2000-01-11,8.25,8.48,8.14,8.14,411160
8,ok,2000-01-12,7.49,8.79,7.49,8.37,2066460
9,ok,2000-01-13,8.45,8.85,7.81,8.0,630440
10,ok,2000-01-16,8.45,8.5,7.51,7.68,544340
11,ok,2000-01-17,7.42,7.95,7.37,7.48,801980
12,ok,2000-01-18,7.73,8.08,7.7,8.08,254020
13,ok,2000-01-19,8.73,8.73,8.73,8.73,83600
14,ok,2000-01-20,9.42,9.43,9.11,9.43,789720
15,ok,2000-01-23,10.0,10.18,10.0,10.18,204280
16,ok,2000-01-24,10.75,10.95,9.46,10.03,2127240
17,ok,2000-01-26,9.75,9.75,9.75,9.75,70940
18,ok,2000-01-27,10.53,10.53,10.53,10.53,735300
19,ok,2000-01-30,11.37,11.37,10.95,11.37,1115700
20,ok,2000-01-31,12.28,12.28,10.56,11.53,3163900
21,ok,2000-02-01,12.25,12.25,11.03,11.1,1503980
22,ok,2000-02-02,10.75,10.95,10.22,10.37,1488400
23,ok,2000-02-03,10.22,10.55,10.0,10.2,855920
24,ok,2000-02-06,10.08,10.14,9.5,9.59,950060
25,ok,2000-02-07,9.06,9.65,9.06,9.5,1324600
26,ok,2000-02-08,9.2,9.5,8.91,9.01,1270300
27,ok,2000-02-09,9.05,9.05,8.4,8.63,929560
28,ok,2000-02-10,8.3,8.7,8.3,8.56,630620
29,ok,2000-02-13,8.51,8.53,7.88,7.88,698580
30,ok,2000-02-14,7.4,8.19,7.4,7.48,3063000
31,ok,2000-02-15,7.77,8.08,7.7,8.08,1353080
32,ok,2000-02-16,8.25,8.73,8.24,8.73,1292740
33,ok,2000-02-17,9.22,9.4,8.14,8.75,1818620
34,ok,2000-02-20,8.75,8.9,8.05,8.58,1669500
35,ok,2000-02-21,8.75,8.8,8.08,8.16,2030740
36,ok,2000-02-22,8.45,8.82,7.9,8.02,1562560
37,ok,2000-02-23,8.06,8.15,7.55,7.7,645200
38,ok,2000-02-24,7.59,7.8,7.08,7.17,715880
39,ok,2000-02-27,6.95,7.3,6.61,7.21,1305940
40,ok,2000-02-28,7.1,7.79,6.78,7.03,2072400
41,ok,2000-02-29,7.25,7.59,7.1,7.59,761460
42,ok,2000-03-01,8.1,8.2,7.78,8.2,1451140
43,ok,2000-03-02,8.6,8.85,7.65,8.57,10911980
44,ok,2000-03-05,8.85,9.25,8.7,9.25,2749660
45,ok,2000-03-06,9.75,9.99,9.35,9.99,3238620
46,ok,2000-03-07,10.74,10.79,9.46,9.74,7190360
47,ok,2000-03-08,10.25,10.5,8.97,8.97,1160200
48,ok,2000-03-09,8.26,8.75,8.25,8.25,1671080
49,ok,2000-03-12,8.25,8.25,7.59,7.59,434000
50,ok,2000-03-13,7.01,7.01,6.99,6.99,659600
51,ok,2000-03-14,7.2,7.4,6.43,7.22,2394920
52,ok,2000-03-15,7.0,7.2,6.65,6.72,1042540
53,ok,2000-03-20,6.45,6.73,6.18,6.18,1451460
54,ok,2000-03-21,6.4,6.59,5.7,5.89,461200
55,ok,2000-03-22,6.0,6.0,5.5,5.72,423800
56,ok,2000-03-23,5.6,5.8,5.5,5.66,446900
57,ok,2000-03-26,5.45,5.7,5.25,5.44,336300
58,ok,2000-03-27,5.24,5.55,5.02,5.49,903840
59,ok,2000-03-29,6.39,6.4,5.98,6.34,521860
60,ok,2000-03-30,6.0,6.4,5.83,5.84,1150680
61,ok,2000-04-02,6.3,6.31,5.38,5.41,418260
62,ok,2000-04-03,5.11,5.35,4.98,5.13,1844040
63,ok,2000-04-04,5.05,5.2,4.75,5.08,726300
64,ok,2000-04-05,5.11,5.15,4.68,4.97,281600
65,ok,2000-04-06,5.05,5.37,5.05,5.37,386920
66,ok,2000-04-09,5.4,5.8,5.4,5.8,418600
67,ok,2000-04-11,5.57,5.8,5.3,5.68,357500
68,ok,2000-04-12,5.35,5.38,5.22,5.23,180980
69,ok,2000-04-16,4.83,4.83,4.82,4.82,31880
70,ok,2000-04-17,4.93,4.94,4.51,4.54,247700
71,ok,2000-04-18,4.8,4.85,4.18,4.33,364860
72,ok,2000-04-19,4.0,4.15,3.99,4.13,523700
73,ok,2000-04-23,4.08,4.15,3.8,3.8,324200
74,ok,2000-04-25,3.57,3.75,3.34,3.47,640120
75,ok,2000-04-26,3.4,3.74,3.4,3.71,189620
76,ok,2000-04-27,3.98,3.98,3.57,3.66,135620
77,ok,2000-05-01,3.63,3.64,3.22,3.27,285000
78,ok,2000-05-02,3.04,3.25,2.88,3.05,217600
79,ok,2000-05-03,3.24,3.42,3.04,3.41,159120
80,ok,2000-05-04,3.5,3.82,3.45,3.82,194660
81,ok,2000-05-07,3.9,4.12,3.54,3.61,223780
82,ok,2000-05-08,3.5,3.72,3.49,3.61,167980
83,ok,2000-05-09,3.6,4.0,3.6,3.98,273100
84,ok,2000-05-10,3.98,3.98,3.7,3.73,251520
85,ok,2000-05-11,3.8,3.8,3.62,3.63,133200
86,ok,2000-05-14,3.41,3.5,3.27,3.49,167160
87,ok,2000-05-15,3.45,3.45,3.21,3.25,198240
88,ok,2000-05-16,3.5,3.51,3.36,3.45,246480
89,ok,2000-05-17,3.34,3.4,3.25,3.38,108240
90,ok,2000-05-18,3.35,3.5,3.3,3.37,163940
91,ok,2000-05-21,3.38,3.38,2.96,2.99,126200
92,ok,2000-05-22,2.85,3.12,2.78,2.99,179240
93,ok,2000-05-23,3.0,3.33,2.9,3.17,128000
94,ok,2000-05-24,3.26,3.4,3.16,3.29,180080
95,ok,2000-05-25,3.28,3.35,3.25,3.28,106900
96,ok,2000-05-28,3.33,3.67,3.23,3.63,255720
97,ok,2000-05-29,3.9,4.06,3.9,4.06,391340
98,ok,2000-05-30,4.25,4.55,4.25,4.55,134800
99,ok,2000-12-17,3.85,4.1,3.81,4.08,198080
100,ok,2000-12-18,4.06,4.06,3.9,3.95,203960
101,ok,2000-12-19,4.0,4.0,3.85,3.91,178600
102,ok,2000-12-20,3.85,3.94,3.83,3.85,130700
103,ok,2000-12-21,3.85,4.0,3.75,3.76,241740
104,ok,2000-12-25,3.73,3.75,3.53,3.57,387820
105,ok,2000-12-26,3.75,3.86,3.68,3.69,173800
106,ok,2000-12-27,3.75,3.78,3.68,3.7,167620
107,ok,2000-12-28,3.75,3.78,3.65,3.75,141300
108,ok,2000-12-31,3.76,3.85,3.75,3.84,80840
109,ok,2001-01-01,3.88,3.92,3.8,3.82,193540
110,ok,2001-01-02,3.83,3.88,3.75,3.86,71500
111,ok,2001-01-03,4.17,4.17,4.0,4.04,351860
112,ok,2001-01-04,4.0,4.2,4.0,4.08,270720
113,ok,2001-01-07,4.22,4.22,4.03,4.07,401100
114,ok,2001-01-08,4.0,4.15,4.0,4.01,277180
115,ok,2001-01-09,4.09,4.09,3.98,4.01,169000
116,ok,2001-01-10,4.13,4.13,3.93,3.97,217520
117,ok,2001-01-11,4.0,4.1,3.95,4.01,232240
118,ok,2001-01-14,4.15,4.55,4.15,4.43,1051140
119,ok,2001-01-15,4.4,4.4,4.07,4.18,812360
120,ok,2001-01-16,4.25,4.3,4.17,4.23,258000
121,ok,2001-01-17,4.19,4.4,4.19,4.28,376700
122,ok,2001-01-18,4.3,4.33,4.26,4.28,244560
123,ok,2001-01-21,4.42,4.5,4.25,4.32,240140
124,ok,2001-01-22,4.18,4.35,4.18,4.24,250980
125,ok,2001-01-23,4.25,4.35,4.2,4.31,467000
126,ok,2001-01-24,4.23,4.29,4.21,4.25,149200
127,ok,2001-01-28,4.1,4.1,4.0,4.09,184780
128,ok,2001-01-29,4.08,4.2,4.08,4.18,111620
129,ok,2001-01-30,4.12,4.18,4.05,4.09,133340
130,ok,2001-01-31,4.1,4.15,3.95,4.01,192940
131,ok,2001-02-01,4.0,4.08,4.0,4.05,103160
132,ok,2001-02-04,4.01,4.07,3.93,3.97,162440
133,ok,2001-02-05,3.96,4.0,3.9,3.99,148180
134,ok,2001-02-06,3.98,4.1,3.95,3.98,192880
135,ok,2001-02-07,3.96,4.05,3.9,4.01,201920
136,ok,2001-02-08,4.03,4.12,4.0,4.1,299860
137,ok,2001-02-11,4.15,4.27,4.12,4.25,497600
138,ok,2001-02-12,4.25,4.3,4.01,4.02,158200
139,ok,2001-02-13,4.06,4.1,4.03,4.07,79040
140,ok,2001-02-14,4.01,4.1,4.01,4.06,74860
141,ok,2001-02-15,4.03,4.05,4.0,4.02,167100
142,ok,2001-02-18,3.98,4.04,3.95,4.02,158020
143,ok,2001-02-19,3.9,4.0,3.9,4.0,226340
144,ok,2001-02-20,3.96,4.07,3.96,4.06,89140
145,ok,2001-02-21,4.0,4.03,4.0,4.0,218480
146,ok,2001-02-22,3.95,4.03,3.86,3.9,287680
147,ok,2001-02-25,3.85,3.85,3.7,3.8,190440
148,ok,2001-02-26,3.8,3.8,3.6,3.65,386400
149,ok,2001-02-27,3.65,3.93,3.65,3.9,488080
150,ok,2001-02-28,3.92,4.03,3.85,3.91,290860
151,ok,2001-03-01,3.81,4.0,3.73,3.77,435080
152,ok,2001-03-04,3.81,3.81,3.48,3.51,536320
153,ok,2001-03-06,3.6,3.69,3.5,3.52,150120
154,ok,2001-03-07,3.5,3.53,3.17,3.28,522860
155,ok,2001-03-08,3.17,3.19,3.03,3.16,402520
156,ok,2001-03-11,3.2,3.25,3.1,3.17,437760
157,ok,2001-03-12,3.0,3.0,2.66,2.66,355740
158,ok,2001-03-13,2.7,2.88,2.53,2.82,150980
159,ok,2001-03-14,2.76,2.88,2.71,2.82,173660
160,ok,2001-03-15,2.7,2.9,2.7,2.9,256760
161,ok,2001-03-18,2.83,2.97,2.83,2.9,183400
162,ok,2001-03-19,2.75,2.9,2.75,2.87,161180
163,ok,2001-03-20,2.82,2.9,2.8,2.85,37900
164,ok,2001-03-21,2.85,2.9,2.85,2.87,31740
165,ok,2001-03-22,2.84,2.84,2.7,2.8,313300
166,ok,2001-03-25,2.78,2.78,2.66,2.75,47220
167,ok,2001-03-26,2.73,2.79,2.68,2.74,92420
168,ok,2001-03-27,2.73,3.0,2.73,2.92,111600
169,ok,2001-03-28,2.97,3.09,2.95,3.06,267300
170,ok,2001-03-29,3.0,3.03,2.87,2.88,168740
171,ok,2001-04-01,2.7,2.71,2.6,2.64,157860
172,ok,2001-04-02,2.58,2.75,2.58,2.7,62840
