,s,t,o,h,l,c,v
0,ok,2010-03-02,95.5,103.0,95.5,101.3,1630
1,ok,2010-03-03,108.4,111.0,105.0,106.35,37086
2,ok,2010-03-04,104.0,107.5,101.15,102.95,6728
3,ok,2010-03-07,106.95,107.8,105.0,105.1,4940
4,ok,2010-03-08,106.5,108.0,104.2,107.6,6000
5,ok,2010-03-09,109.95,109.95,104.8,105.7,6481
6,ok,2010-03-10,105.65,126.85,105.55,125.05,231121
7,ok,2010-03-11,127.0,127.0,114.15,117.4,156308
8,ok,2010-03-14,118.0,124.0,116.25,117.65,23780
9,ok,2010-03-15,118.4,121.0,116.1,117.95,6171
10,ok,2010-03-16,118.1,122.0,115.5,119.45,19715
11,ok,2010-03-17,126.0,140.5,124.0,131.15,852731
12,ok,2010-03-18,129.9,134.0,124.0,128.6,133715
13,ok,2010-03-21,129.0,129.95,124.0,126.7,19356
14,ok,2010-03-22,125.6,135.0,125.6,130.35,55367
15,ok,2010-03-24,131.0,133.0,125.05,128.6,21579
16,ok,2010-03-25,130.85,130.85,126.25,127.7,15290
17,ok,2010-03-28,131.9,131.9,124.1,126.1,9660
18,ok,2010-03-29,123.0,127.8,123.0,126.7,13799
19,ok,2010-03-30,125.0,128.0,123.6,125.65,5273
20,ok,2010-03-31,128.0,133.65,128.0,131.15,70887
21,ok,2010-04-04,133.9,134.95,131.05,132.8,13204
22,ok,2010-04-05,132.0,133.75,130.15,132.55,3807
23,ok,2010-04-06,139.7,139.7,130.45,131.0,6206
24,ok,2010-04-07,130.8,131.3,129.6,130.1,6838
25,ok,2010-04-08,133.0,135.0,130.0,131.45,9908
26,ok,2010-04-11,131.3,135.35,129.1,132.1,7899
27,ok,2010-04-12,131.0,153.65,131.0,149.75,246962
28,ok,2010-04-14,145.0,152.0,142.0,145.6,46539
29,ok,2010-04-15,145.0,147.5,140.0,144.05,21494
30,ok,2010-04-18,139.15,147.0,139.1,141.95,10126
31,ok,2010-04-19,142.25,154.4,141.3,148.45,32495
32,ok,2010-04-20,151.0,175.6,149.0,169.2,444972
33,ok,2010-04-21,165.9,176.0,162.2,163.9,167684
34,ok,2010-04-22,164.45,170.6,158.4,160.2,70029
35,ok,2010-04-25,161.7,163.75,153.2,155.8,22968
36,ok,2010-04-26,153.65,159.9,149.0,151.25,32992
37,ok,2010-04-27,145.7,165.5,145.6,153.1,265747
38,ok,2010-04-28,155.9,162.4,154.95,156.85,48534
39,ok,2010-04-29,159.7,171.0,158.3,163.55,223015
40,ok,2010-05-02,163.9,168.0,160.1,160.65,52645
41,ok,2010-05-03,162.0,164.2,147.2,149.7,50006
42,ok,2010-05-04,147.0,158.0,143.1,153.55,81983
43,ok,2010-05-05,153.0,156.2,147.0,149.95,24055
44,ok,2010-05-06,147.0,152.4,142.1,143.75,30456
45,ok,2010-05-09,148.95,149.8,145.0,146.55,19791
46,ok,2010-05-10,148.0,152.0,145.15,147.4,25233
47,ok,2010-05-11,146.5,148.9,143.1,143.9,15872
48,ok,2010-05-12,145.0,146.3,141.1,142.25,9976
49,ok,2010-05-13,143.8,143.8,134.6,137.15,15568
50,ok,2010-05-16,135.05,144.9,130.05,140.6,14486
51,ok,2010-05-17,137.55,143.0,137.0,139.7,11918
52,ok,2010-05-18,134.0,144.0,130.05,134.55,20470
53,ok,2010-05-19,137.15,139.5,135.0,136.0,6783
54,ok,2010-05-20,133.0,138.0,131.1,134.3,5953
55,ok,2010-05-23,139.95,139.95,133.1,134.4,4075
56,ok,2010-05-24,130.3,134.0,130.0,130.4,7601
57,ok,2010-05-25,131.0,135.0,126.15,130.7,8244
58,ok,2010-05-26,132.65,133.9,130.1,132.35,2755
59,ok,2010-05-27,133.05,140.0,133.05,136.35,9510
60,ok,2010-05-30,142.9,142.9,134.55,140.55,6186
61,ok,2010-05-31,138.85,142.4,135.05,137.75,7899
62,ok,2010-06-01,136.9,141.0,136.9,140.0,2498
63,ok,2010-06-02,142.5,142.5,140.2,140.25,3672
64,ok,2010-06-03,138.65,139.95,138.6,138.8,486
65,ok,2010-06-06,136.0,139.6,133.9,137.05,681
66,ok,2010-06-07,141.0,141.0,135.1,135.25,1314
67,ok,2010-06-08,138.95,141.0,135.5,136.7,3015
68,ok,2010-06-09,137.0,139.9,135.1,138.4,1441
69,ok,2010-06-10,139.4,139.4,136.0,136.5,1341
70,ok,2010-06-13,135.25,137.0,134.05,134.9,3931
71,ok,2010-06-14,136.0,139.0,135.0,138.25,1467
72,ok,2010-06-15,139.0,141.3,138.1,139.55,3319
73,ok,2010-06-16,139.65,140.1,135.0,136.25,5192
