,s,t,o,h,l,c,v
0,ok,2021-08-15,1005.55,1099.7,960.0,987.0,8308172
1,ok,2021-08-16,986.15,1023.0,938.35,972.85,1818317
2,ok,2021-08-17,976.0,993.0,963.9,973.2,731844
3,ok,2021-08-19,954.0,967.75,909.05,926.9,679327
4,ok,2021-08-22,925.0,933.95,862.35,884.75,768274
5,ok,2021-08-23,887.0,904.75,872.1,890.6,257856
6,ok,2021-08-24,899.85,917.95,895.95,913.05,205210
7,ok,2021-08-25,922.9,922.9,901.0,906.9,116326
8,ok,2021-08-26,906.0,919.25,898.0,914.75,108468
9,ok,2021-08-29,914.75,958.65,908.3,950.3,262075
10,ok,2021-08-30,954.9,967.0,933.0,952.4,139649
11,ok,2021-08-31,949.0,960.0,930.0,932.5,68848
12,ok,2021-09-01,928.0,960.0,925.05,932.5,244159
13,ok,2021-09-02,933.0,942.45,918.65,926.0,84121
14,ok,2021-09-05,929.9,937.0,915.3,919.4,113723
15,ok,2021-09-06,927.15,932.0,915.1,916.85,51084
16,ok,2021-09-07,919.1,923.9,904.0,905.85,43261
17,ok,2021-09-08,906.0,914.8,893.0,896.65,75452
18,ok,2021-09-12,895.5,895.5,858.05,868.15,369162
19,ok,2021-09-13,885.0,894.0,860.25,864.15,160652
20,ok,2021-09-14,866.0,875.0,858.5,859.65,111257
21,ok,2021-09-15,865.0,870.05,851.25,855.2,90191
22,ok,2021-09-16,857.0,862.7,837.15,840.95,266582
23,ok,2021-09-19,833.0,838.6,788.85,799.9,290595
24,ok,2021-09-20,806.0,806.0,767.85,785.4,111177
25,ok,2021-09-21,791.0,820.9,775.05,793.2,285428
26,ok,2021-09-22,805.0,813.3,797.0,801.0,84166
27,ok,2021-09-23,809.0,809.0,788.6,795.05,80339
28,ok,2021-09-26,797.0,800.0,780.0,785.1,109019
29,ok,2021-09-27,785.1,793.75,766.05,778.7,81169
30,ok,2021-09-28,767.0,785.0,767.0,773.2,101408
31,ok,2021-09-29,785.0,785.0,765.0,771.1,145740
32,ok,2021-09-30,771.0,771.0,759.5,761.55,67084
33,ok,2021-10-03,774.0,776.0,750.0,755.35,134650
34,ok,2021-10-04,756.5,793.0,756.5,758.9,313486
35,ok,2021-10-05,767.0,768.95,748.65,750.45,143294
36,ok,2021-10-06,756.9,795.0,755.05,786.9,270292
37,ok,2021-10-07,797.9,823.0,792.05,815.7,310007
38,ok,2021-10-10,824.7,836.8,787.2,801.3,169368
39,ok,2021-10-11,749.95,762.05,651.2,747.85,783258
40,ok,2021-10-12,762.25,776.6,755.0,759.85,160959
41,ok,2021-10-13,765.0,765.0,746.45,753.5,137849
42,ok,2021-10-17,752.0,764.65,729.55,731.65,386388
43,ok,2021-10-18,735.0,743.5,727.25,729.95,80418
44,ok,2021-10-19,732.0,732.0,711.0,714.9,136374
45,ok,2021-10-20,716.0,723.95,691.2,695.1,143151
46,ok,2021-10-21,702.9,719.85,690.0,700.3,77185
47,ok,2021-10-24,715.3,719.0,654.4,669.55,78108
48,ok,2021-10-25,670.0,684.4,659.55,662.35,69397
49,ok,2021-10-26,665.0,672.85,650.0,651.85,115121
50,ok,2021-10-27,651.0,654.4,637.05,640.0,64016
51,ok,2021-10-28,634.5,700.0,626.0,671.15,192199
52,ok,2021-10-31,671.15,677.95,656.2,660.6,28310
53,ok,2021-11-01,660.0,689.4,660.0,669.0,88567
54,ok,2021-11-02,669.0,674.35,662.15,671.95,30170
55,ok,2021-11-03,682.7,688.85,666.0,672.25,14296
56,ok,2021-11-07,673.5,687.4,666.3,684.7,34956
57,ok,2021-11-08,684.9,697.0,679.35,689.1,72886
58,ok,2021-11-09,687.0,703.0,680.0,700.95,138559
59,ok,2021-11-10,704.1,711.1,695.0,696.4,24105
60,ok,2021-11-11,700.0,702.85,683.45,689.45,28616
61,ok,2021-11-14,690.0,691.7,668.0,670.1,22944
62,ok,2021-11-15,670.1,674.95,657.9,658.7,23903
63,ok,2021-11-16,659.5,672.1,651.9,660.35,73904
64,ok,2021-11-17,672.0,672.0,648.05,649.4,146902
65,ok,2021-11-21,670.0,670.0,628.0,629.55,48066
66,ok,2021-11-22,631.0,658.1,629.05,651.7,43265
67,ok,2021-11-23,648.0,708.35,648.0,693.95,151409
68,ok,2021-11-24,711.9,747.95,703.05,727.75,230709
69,ok,2021-11-25,715.0,745.9,700.0,708.55,155525
70,ok,2021-11-28,743.0,743.0,690.0,705.7,145056
71,ok,2021-11-29,686.0,709.95,680.7,696.45,101411
72,ok,2021-11-30,698.3,706.05,686.2,689.7,20178
73,ok,2021-12-01,686.1,729.0,686.1,724.9,78606
74,ok,2021-12-02,730.0,735.0,682.4,710.75,79307
75,ok,2021-12-05,728.0,790.0,712.6,740.95,662975
76,ok,2021-12-06,747.9,773.0,726.0,739.45,145908
77,ok,2021-12-07,749.0,749.0,724.6,730.95,63217
78,ok,2021-12-08,743.95,743.95,711.1,713.7,89372
79,ok,2021-12-09,716.0,722.55,699.15,702.75,48670
80,ok,2021-12-12,710.0,712.25,677.55,681.15,77401
81,ok,2021-12-13,675.0,694.85,675.0,688.4,45472
82,ok,2021-12-14,697.0,701.85,670.0,675.85,50957
83,ok,2021-12-15,682.0,682.0,663.65,670.2,50066
84,ok,2021-12-16,674.9,678.95,653.0,660.0,65041
85,ok,2021-12-19,665.0,665.0,638.9,654.05,56475
86,ok,2021-12-20,665.0,670.4,654.0,657.8,83508
87,ok,2021-12-21,653.8,668.4,653.8,659.95,40339
88,ok,2021-12-22,665.45,682.95,629.55,657.05,188968
89,ok,2021-12-23,663.3,663.3,638.0,645.4,105355
90,ok,2021-12-26,642.0,677.15,640.1,659.6,108294
91,ok,2021-12-27,665.0,677.0,660.0,674.7,136900
92,ok,2021-12-28,680.0,763.0,671.0,747.75,541271
93,ok,2021-12-29,765.2,767.0,732.5,743.15,337144
94,ok,2021-12-30,750.0,753.15,719.45,737.45,245825
95,ok,2022-01-02,760.0,760.0,730.8,747.8,120217
96,ok,2022-01-03,758.0,784.0,748.0,767.0,191511
