,s,t,o,h,l,c,v
0,ok,2000-01-02,73.0,75.0,72.5,75.0,1500
1,ok,2000-01-03,75.0,76.5,71.0,75.0,1800
2,ok,2000-01-04,72.5,72.5,69.0,69.53,1800
3,ok,2000-01-05,70.5,71.75,69.0,69.0,2300
4,ok,2000-01-06,69.0,71.0,67.0,67.0,2900
5,ok,2000-01-09,63.55,69.25,63.5,69.25,1900
6,ok,2000-01-10,72.0,72.0,68.0,69.6,1100
7,ok,2000-01-11,72.5,72.53,69.0,69.0,1200
8,ok,2000-01-12,69.03,70.0,69.03,70.0,400
9,ok,2000-01-13,70.45,70.45,70.45,70.45,100
10,ok,2000-01-16,70.5,70.5,70.5,70.5,100
11,ok,2000-01-17,70.0,73.5,70.0,70.0,1500
12,ok,2000-01-18,72.48,72.48,72.38,72.38,400
13,ok,2000-01-19,72.5,72.5,71.5,71.5,1000
14,ok,2000-01-20,71.28,71.28,70.0,70.5,1200
15,ok,2000-01-23,67.5,70.05,66.0,70.05,500
16,ok,2000-01-24,70.0,70.0,67.5,69.58,1000
17,ok,2000-01-26,75.15,75.15,70.5,72.58,7100
18,ok,2000-01-27,73.0,74.5,68.58,68.58,3400
19,ok,2000-01-30,67.63,69.38,67.63,69.38,300
20,ok,2000-01-31,67.75,67.75,66.0,67.5,1100
21,ok,2000-02-01,71.0,71.0,64.0,64.0,300
22,ok,2000-02-02,65.25,66.75,65.0,65.03,2600
23,ok,2000-02-03,63.78,65.0,63.0,64.0,1600
24,ok,2000-02-06,65.0,65.0,58.9,58.9,4000
25,ok,2000-02-07,59.98,59.98,55.3,59.0,3900
26,ok,2000-02-08,60.0,60.0,57.5,57.53,2500
27,ok,2000-02-09,56.0,57.93,53.63,55.0,1700
28,ok,2000-02-10,55.0,57.0,53.63,53.75,3300
29,ok,2000-02-13,52.53,52.53,49.5,50.0,5300
30,ok,2000-02-14,49.0,51.0,47.55,50.45,3300
31,ok,2000-02-15,52.0,53.0,50.0,50.38,5800
32,ok,2000-02-16,47.5,50.95,47.5,50.95,6600
33,ok,2000-02-17,53.5,55.0,51.5,51.7,2500
34,ok,2000-02-20,55.5,55.5,52.63,53.33,2500
35,ok,2000-02-21,55.0,57.5,54.05,57.0,2300
36,ok,2000-02-22,60.95,60.95,58.6,59.68,4100
37,ok,2000-02-23,59.5,62.0,59.5,62.0,2100
38,ok,2000-02-24,66.0,66.0,60.5,61.98,2900
39,ok,2000-02-27,60.0,63.5,60.0,61.0,3800
40,ok,2000-02-28,62.5,65.9,59.0,59.75,3400
41,ok,2000-02-29,62.53,64.5,62.53,63.73,2400
42,ok,2000-03-01,61.0,61.0,58.75,58.75,1000
43,ok,2000-03-02,60.0,60.0,60.0,60.0,200
44,ok,2000-03-05,56.0,56.0,55.88,56.0,1600
45,ok,2000-03-06,54.0,54.0,51.75,54.0,14000
46,ok,2000-03-07,50.0,55.0,50.0,51.0,900
47,ok,2000-03-08,50.5,50.5,48.0,49.58,2300
48,ok,2000-03-09,50.5,51.98,48.0,50.03,2400
49,ok,2000-03-12,50.0,51.38,49.63,49.63,1100
50,ok,2000-03-13,49.5,49.5,46.5,48.15,3800
51,ok,2000-03-14,51.0,51.63,50.0,51.63,400
52,ok,2000-03-15,52.0,52.5,51.13,51.13,700
53,ok,2000-03-20,48.0,54.8,48.0,52.0,2000
54,ok,2000-03-21,52.0,52.0,52.0,52.0,200
55,ok,2000-03-22,49.25,49.25,49.25,49.25,200
56,ok,2000-03-23,52.4,52.5,50.88,52.5,900
57,ok,2000-03-26,51.0,51.0,51.0,51.0,600
58,ok,2000-03-27,49.0,50.5,49.0,50.1,4200
59,ok,2000-03-28,48.53,50.0,48.53,50.0,600
60,ok,2000-03-30,50.13,50.13,46.15,50.0,1600
61,ok,2000-04-02,49.0,49.0,49.0,49.0,100
62,ok,2000-04-03,49.25,49.5,49.25,49.5,300
63,ok,2000-04-04,47.5,47.5,47.5,47.5,200
64,ok,2000-04-06,51.25,51.25,51.25,51.25,100
65,ok,2000-04-09,50.0,54.0,50.0,54.0,500
66,ok,2000-04-11,48.25,51.73,48.2,50.75,700
67,ok,2000-04-12,50.0,50.0,49.03,49.03,300
68,ok,2000-04-16,48.5,48.5,46.0,46.0,1500
69,ok,2000-04-17,47.75,47.75,47.53,47.53,300
70,ok,2000-04-18,46.63,46.63,46.0,46.0,1200
71,ok,2000-04-19,45.98,46.0,45.0,45.0,1300
72,ok,2000-04-23,45.0,45.98,45.0,45.98,300
73,ok,2000-04-24,42.5,43.5,42.5,43.5,1100
