,s,t,o,h,l,c,v
0,ok,2020-11-02,38.0,38.01,38.0,38.01,9600
1,ok,2020-11-03,39.91,39.91,39.91,39.91,9600
2,ok,2020-11-04,41.9,41.9,40.0,41.9,19200
3,ok,2020-11-05,41.9,43.94,41.9,43.94,9600
4,ok,2020-11-11,46.13,46.13,46.13,46.13,24000
5,ok,2020-11-12,48.13,48.38,48.13,48.38,24000
6,ok,2020-11-13,50.0,50.0,50.0,50.0,4800
7,ok,2020-11-16,52.5,52.5,52.5,52.5,9600
8,ok,2020-11-17,51.25,52.63,51.25,52.63,19200
9,ok,2020-11-18,52.63,52.63,52.63,52.63,4800
10,ok,2020-11-22,52.63,52.63,52.63,52.63,4800
11,ok,2020-11-23,50.63,50.63,50.0,50.0,9600
12,ok,2020-11-24,48.13,49.88,47.5,49.88,19200
13,ok,2020-11-25,51.25,52.25,51.25,52.25,9600
14,ok,2020-11-26,52.38,54.75,50.0,54.38,57600
15,ok,2020-11-30,54.38,54.38,51.88,51.88,9600
16,ok,2020-12-01,54.38,54.38,54.38,54.38,4800
17,ok,2020-12-02,54.38,54.38,52.5,52.5,9600
18,ok,2020-12-03,52.63,52.63,52.5,52.5,9600
19,ok,2020-12-06,52.63,52.63,52.63,52.63,4800
20,ok,2020-12-08,52.75,52.75,52.75,52.75,4800
21,ok,2020-12-09,52.88,52.88,52.88,52.88,4800
22,ok,2020-12-13,52.88,52.88,52.88,52.88,4800
23,ok,2020-12-17,52.88,52.88,52.88,52.88,4800
24,ok,2020-12-20,52.25,52.88,52.25,52.75,14400
25,ok,2020-12-21,53.0,54.38,50.63,54.38,24000
26,ok,2020-12-23,55.63,55.63,55.63,55.63,4800
27,ok,2020-12-28,56.88,56.88,56.88,56.88,9600
28,ok,2020-12-31,59.63,59.63,59.63,59.63,4800
29,ok,2021-01-03,62.5,62.5,62.5,62.5,4800
30,ok,2021-01-04,65.0,65.13,63.13,65.0,43200
31,ok,2021-01-05,65.38,68.13,65.38,68.13,19200
32,ok,2021-01-07,71.5,71.52,71.5,71.52,4800
33,ok,2021-01-10,75.09,75.09,75.07,75.07,9600
34,ok,2021-01-11,76.25,78.75,76.25,78.75,4800
35,ok,2021-01-13,77.5,82.69,74.82,75.0,16800
36,ok,2021-01-14,75.0,75.0,71.25,71.25,7200
37,ok,2021-01-17,67.69,67.69,67.69,67.69,4800
38,ok,2021-01-18,64.31,64.31,64.31,64.31,16800
39,ok,2021-01-19,67.5,67.5,67.5,67.5,2400
40,ok,2021-01-20,70.88,70.88,70.88,70.88,2400
41,ok,2021-01-21,74.42,74.42,72.5,73.46,38400
42,ok,2021-01-24,74.42,74.42,74.42,74.42,2400
43,ok,2021-01-28,75.0,75.0,74.42,74.42,4800
44,ok,2021-01-31,73.13,74.94,70.7,74.88,16800
45,ok,2021-02-01,69.95,69.95,69.95,69.95,7200
46,ok,2021-02-02,68.13,68.13,68.13,68.13,4800
47,ok,2021-02-03,67.78,68.13,67.78,68.13,4800
48,ok,2021-02-07,70.0,71.5,70.0,71.5,4800
49,ok,2021-02-08,75.0,75.08,73.88,73.88,19200
50,ok,2021-02-09,72.5,74.38,71.25,74.38,9600
51,ok,2021-02-10,75.0,76.88,74.38,76.88,9600
52,ok,2021-02-11,78.0,80.35,78.0,80.35,7200
53,ok,2021-02-14,81.25,81.88,81.25,81.88,4800
