,s,t,o,h,l,c,v
0,ok,2018-10-03,22.25,22.25,22.25,22.25,144000
1,ok,2018-10-04,20.05,24.0,20.05,23.3,678000
2,ok,2018-10-07,22.15,23.75,21.6,21.9,72000
3,ok,2018-10-08,22.0,22.0,20.1,20.25,63000
4,ok,2018-10-09,20.0,20.0,18.25,18.5,63000
5,ok,2018-10-10,17.65,18.3,17.6,17.6,78000
6,ok,2018-10-11,18.15,18.25,18.15,18.25,15000
7,ok,2018-10-14,18.25,18.25,17.35,17.7,36000
8,ok,2018-10-15,16.9,17.0,16.85,16.95,12000
9,ok,2018-10-16,17.4,17.75,17.4,17.75,15000
10,ok,2018-10-18,18.6,18.6,18.6,18.6,6000
11,ok,2018-10-21,19.15,19.5,19.15,19.2,18000
12,ok,2018-10-22,19.0,20.15,19.0,20.15,30000
13,ok,2018-10-23,21.15,21.15,21.15,21.15,9000
14,ok,2018-10-24,20.1,21.0,20.1,20.1,9000
15,ok,2018-10-25,20.2,20.2,19.1,19.25,24000
16,ok,2018-10-28,18.4,19.9,18.4,19.6,12000
17,ok,2018-10-29,20.2,20.2,20.2,20.2,3000
18,ok,2018-10-30,20.15,20.15,20.15,20.15,3000
19,ok,2018-10-31,20.5,21.15,20.5,21.15,66000
20,ok,2018-11-01,21.0,21.5,21.0,21.5,6000
21,ok,2018-11-04,22.0,22.0,22.0,22.0,3000
22,ok,2018-11-05,22.0,22.0,22.0,22.0,3000
23,ok,2018-11-06,22.0,22.0,22.0,22.0,3000
24,ok,2018-11-08,21.2,21.2,20.9,20.9,12000
25,ok,2018-11-11,20.05,20.05,19.9,19.9,12000
26,ok,2018-11-13,19.9,19.9,19.9,19.9,9000
27,ok,2018-11-15,18.95,18.95,18.95,18.95,3000
28,ok,2018-11-18,18.25,18.25,18.05,18.05,12000
29,ok,2018-11-19,17.15,17.2,17.15,17.15,12000
30,ok,2018-11-21,17.4,17.4,17.4,17.4,3000
31,ok,2018-11-25,17.5,17.5,17.5,17.5,3000
32,ok,2018-11-26,17.0,17.0,17.0,17.0,6000
33,ok,2018-11-27,17.0,17.5,17.0,17.5,6000
34,ok,2018-11-28,17.5,17.5,17.5,17.5,3000
35,ok,2018-12-02,17.5,17.5,17.5,17.5,3000
36,ok,2018-12-03,17.5,17.5,17.5,17.5,3000
37,ok,2018-12-05,16.7,16.7,16.7,16.7,3000
38,ok,2018-12-16,16.9,16.9,16.7,16.7,6000
39,ok,2018-12-17,16.7,16.7,16.7,16.7,3000
40,ok,2018-12-18,17.0,17.0,16.8,16.8,12000
41,ok,2018-12-19,16.8,16.8,16.8,16.8,3000
42,ok,2018-12-20,15.75,15.75,15.75,15.75,3000
43,ok,2018-12-23,17.0,17.1,14.5,14.5,18000
44,ok,2018-12-25,15.85,15.85,15.85,15.85,3000
45,ok,2018-12-26,15.75,16.1,15.75,16.1,6000
46,ok,2018-12-27,15.7,15.7,15.7,15.7,3000
47,ok,2018-12-31,16.0,16.0,16.0,16.0,3000
48,ok,2019-01-01,15.3,15.3,15.3,15.3,3000
49,ok,2019-01-03,15.05,15.05,15.0,15.0,6000
50,ok,2019-01-06,15.0,15.0,14.1,14.1,9000
51,ok,2019-01-07,13.3,13.3,13.3,13.3,3000
52,ok,2019-01-09,13.4,13.7,13.4,13.7,9000
53,ok,2019-01-10,14.35,14.35,14.35,14.35,3000
54,ok,2019-01-13,14.45,14.5,14.45,14.5,6000
55,ok,2019-01-14,14.65,14.65,14.65,14.65,3000
56,ok,2019-01-15,15.0,15.9,14.35,15.9,9000
57,ok,2019-01-17,16.0,16.0,15.5,15.5,6000
58,ok,2019-01-20,15.5,16.65,15.5,16.65,6000
59,ok,2019-01-21,15.15,16.55,15.15,16.55,6000
60,ok,2019-01-22,16.6,16.6,16.6,16.6,3000
61,ok,2019-01-23,16.5,16.5,16.5,16.5,3000
62,ok,2019-01-24,17.8,17.8,17.8,17.8,3000
63,ok,2019-01-27,19.35,19.35,16.8,16.8,12000
64,ok,2019-01-28,16.95,16.95,15.75,15.75,6000
65,ok,2019-01-29,16.1,16.1,15.5,15.5,6000
66,ok,2019-01-30,15.05,15.05,15.0,15.0,6000
67,ok,2019-01-31,15.0,15.0,15.0,15.0,3000
68,ok,2019-02-04,15.15,15.15,14.8,14.8,6000
69,ok,2019-02-05,14.75,14.75,14.75,14.75,3000
70,ok,2019-02-06,15.45,15.45,15.45,15.45,3000
71,ok,2019-02-07,15.0,15.4,15.0,15.4,6000
72,ok,2019-02-10,14.65,16.0,14.65,16.0,9000
73,ok,2019-02-12,16.35,16.35,16.35,16.35,3000
74,ok,2019-02-13,16.2,16.2,16.2,16.2,6000
75,ok,2019-02-17,16.2,16.3,16.0,16.0,9000
76,ok,2019-02-18,15.2,15.2,15.2,15.2,3000
77,ok,2019-02-20,15.8,15.8,15.3,15.3,9000
78,ok,2019-02-21,15.25,15.5,15.25,15.5,6000
79,ok,2019-02-24,15.0,15.0,15.0,15.0,3000
80,ok,2019-02-25,15.5,15.5,15.5,15.5,3000
81,ok,2019-02-26,15.05,15.05,15.05,15.05,3000
82,ok,2019-02-27,15.7,15.7,15.7,15.7,3000
83,ok,2019-02-28,15.2,15.2,15.2,15.2,3000
84,ok,2019-03-04,15.25,15.95,15.2,15.2,24000
85,ok,2019-03-05,15.95,15.95,15.95,15.95,3000
86,ok,2019-03-11,15.3,15.3,15.3,15.3,3000
87,ok,2019-03-12,16.05,16.05,16.0,16.05,15000
88,ok,2019-03-13,16.1,16.45,16.1,16.45,18000
89,ok,2019-03-17,15.65,16.1,15.65,16.0,18000
90,ok,2019-03-18,16.0,16.0,16.0,16.0,3000
91,ok,2019-03-19,16.0,16.0,16.0,16.0,6000
92,ok,2019-03-21,15.2,16.2,15.2,15.25,429000
93,ok,2019-03-24,16.0,16.0,15.6,15.6,21000
94,ok,2019-03-25,16.0,16.0,16.0,16.0,3000
95,ok,2019-03-26,15.6,15.8,15.4,15.5,15000
96,ok,2019-03-27,15.95,16.0,15.95,16.0,6000
97,ok,2019-03-28,15.9,15.9,15.7,15.7,24000
98,ok,2019-03-31,15.7,15.7,15.5,15.5,6000
99,ok,2019-04-01,15.7,15.7,15.5,15.5,6000
100,ok,2019-04-02,15.5,15.5,15.5,15.5,3000
101,ok,2019-04-03,14.85,14.85,14.85,14.85,3000
102,ok,2019-04-04,14.95,15.0,14.8,14.8,12000
103,ok,2019-04-07,15.0,15.0,15.0,15.0,3000
104,ok,2019-04-08,15.0,15.7,14.35,14.35,9000
105,ok,2019-04-09,14.5,14.5,14.5,14.5,12000
106,ok,2019-04-11,14.95,15.0,14.95,15.0,9000
107,ok,2019-04-14,15.75,15.75,15.75,15.75,3000
108,ok,2019-04-15,15.5,15.5,15.2,15.2,6000
109,ok,2019-04-17,15.25,15.25,15.2,15.2,6000
110,ok,2019-04-21,15.5,15.5,15.2,15.2,15000
111,ok,2019-04-23,15.2,15.2,15.2,15.2,3000
112,ok,2019-04-24,15.8,15.8,15.8,15.8,3000
113,ok,2019-04-25,15.05,15.05,15.05,15.05,3000
114,ok,2019-04-29,14.4,14.4,14.4,14.4,3000
115,ok,2019-05-01,15.1,15.1,14.8,15.1,39000
116,ok,2019-05-02,15.7,15.85,15.7,15.85,6000
117,ok,2019-05-05,15.2,15.5,15.2,15.5,18000
118,ok,2019-05-07,15.1,15.1,15.1,15.1,3000
119,ok,2019-05-13,14.5,15.5,14.5,15.45,24000
120,ok,2019-05-15,15.05,15.05,15.05,15.05,3000
121,ok,2019-05-16,15.0,15.0,15.0,15.0,9000
122,ok,2019-05-19,15.0,15.0,14.9,15.0,33000
123,ok,2019-05-20,15.0,15.0,15.0,15.0,3000
124,ok,2019-05-21,14.9,15.75,14.9,15.65,27000
125,ok,2019-05-23,14.9,14.9,14.9,14.9,3000
126,ok,2019-05-27,15.0,15.0,15.0,15.0,3000
127,ok,2019-05-29,14.3,14.3,14.3,14.3,3000
128,ok,2019-05-30,14.5,14.5,14.5,14.5,15000
129,ok,2019-06-03,14.5,14.5,14.5,14.5,3000
130,ok,2019-06-09,14.5,14.5,14.5,14.5,6000
131,ok,2019-06-10,14.65,14.65,14.65,14.65,3000
132,ok,2019-06-11,14.5,14.7,14.45,14.7,9000
133,ok,2019-06-12,14.95,14.95,14.95,14.95,3000
134,ok,2019-06-16,14.3,14.6,14.3,14.45,15000
135,ok,2019-06-18,14.5,14.5,14.4,14.4,6000
136,ok,2019-06-19,15.0,15.0,14.4,14.5,18000
137,ok,2019-06-25,14.5,14.5,14.5,14.5,3000
138,ok,2019-06-30,13.8,13.8,13.8,13.8,3000
139,ok,2019-07-02,14.2,14.2,14.2,14.2,6000
140,ok,2019-07-03,13.5,13.5,13.5,13.5,192000
141,ok,2019-07-08,13.5,13.5,13.5,13.5,6000
142,ok,2019-07-09,13.5,13.5,13.5,13.5,3000
143,ok,2019-07-11,12.85,14.15,12.85,14.1,27000
144,ok,2019-07-17,13.6,13.6,13.6,13.6,3000
145,ok,2019-07-18,13.6,13.6,13.5,13.5,6000
146,ok,2019-07-22,13.5,13.5,13.5,13.5,15000
147,ok,2019-07-23,13.35,13.35,13.35,13.35,6000
148,ok,2019-07-25,13.4,13.5,13.4,13.5,15000
149,ok,2019-07-28,13.5,13.5,13.4,13.4,30000
150,ok,2019-07-29,13.3,13.3,13.3,13.3,3000
151,ok,2019-07-30,13.0,13.0,13.0,13.0,3000
152,ok,2019-07-31,12.7,12.7,12.4,12.45,24000
153,ok,2019-08-01,12.2,12.2,11.9,11.9,42000
154,ok,2019-08-04,11.6,11.6,11.4,11.5,21000
155,ok,2019-08-05,11.05,12.05,11.05,12.05,6000
156,ok,2019-08-06,11.5,11.5,11.5,11.5,6000
157,ok,2019-08-12,11.5,11.5,11.45,11.45,12000
158,ok,2019-08-13,11.6,11.6,11.6,11.6,3000
159,ok,2019-08-15,11.8,12.15,11.8,12.1,15000
160,ok,2019-08-18,12.0,12.0,12.0,12.0,51000
161,ok,2019-08-19,12.6,12.6,12.6,12.6,3000
162,ok,2019-08-21,12.0,12.0,12.0,12.0,9000
163,ok,2019-09-03,11.5,11.5,11.4,11.45,12000
164,ok,2019-09-04,10.9,10.9,10.9,10.9,15000
165,ok,2019-09-05,10.45,10.45,10.4,10.4,15000
166,ok,2019-09-08,10.9,10.9,10.9,10.9,6000
167,ok,2019-09-10,11.0,11.0,11.0,11.0,12000
168,ok,2019-09-11,11.0,11.0,10.75,10.75,6000
169,ok,2019-09-16,10.7,10.7,10.7,10.7,3000
170,ok,2019-09-18,11.2,11.2,11.2,11.2,9000
171,ok,2019-09-22,11.0,11.0,11.0,11.0,3000
172,ok,2019-09-24,10.7,10.7,10.7,10.7,3000
173,ok,2019-10-06,10.7,10.7,10.2,10.2,9000
174,ok,2019-10-10,10.5,10.7,10.5,10.7,6000
175,ok,2019-10-14,10.6,10.6,10.6,10.6,3000
176,ok,2019-10-16,10.6,10.6,10.6,10.6,3000
177,ok,2019-10-17,10.65,10.65,10.65,10.65,3000
178,ok,2019-10-23,11.15,11.15,11.15,11.15,3000
179,ok,2019-10-29,10.7,10.7,10.7,10.7,3000
180,ok,2019-11-03,10.5,11.2,10.5,11.2,9000
181,ok,2019-11-04,10.7,10.7,10.7,10.7,3000
182,ok,2019-11-14,10.25,10.25,10.25,10.25,3000
183,ok,2019-11-18,10.75,10.75,10.75,10.75,9000
184,ok,2019-11-19,10.5,10.5,10.5,10.5,3000
185,ok,2019-11-28,10.5,10.5,10.5,10.5,3000
186,ok,2019-12-05,10.5,10.5,10.5,10.5,3000
187,ok,2019-12-08,10.5,10.5,10.0,10.3,24000
188,ok,2019-12-10,10.5,10.5,10.5,10.5,3000
189,ok,2019-12-11,10.6,10.6,10.05,10.05,6000
190,ok,2019-12-12,10.4,10.4,10.4,10.4,3000
191,ok,2019-12-16,10.5,10.5,10.5,10.5,3000
192,ok,2019-12-17,10.15,10.5,10.15,10.5,6000
193,ok,2019-12-18,10.5,10.5,10.5,10.5,3000
194,ok,2019-12-22,10.5,10.5,10.5,10.5,3000
195,ok,2019-12-25,10.5,10.5,10.5,10.5,3000
196,ok,2019-12-26,10.0,10.5,10.0,10.5,6000
197,ok,2019-12-29,10.0,10.5,10.0,10.5,6000
