,s,t,o,h,l,c,v
0,ok,2015-02-03,81.7,91.85,79.0,83.18,111180
1,ok,2015-02-04,82.25,82.98,79.5,79.5,16700
2,ok,2015-02-05,82.35,84.98,77.5,77.55,19824
3,ok,2015-02-08,65.03,77.5,65.03,73.48,14352
4,ok,2015-02-09,75.0,77.4,74.0,74.78,14558
5,ok,2015-02-10,74.8,74.85,72.0,73.0,11220
6,ok,2015-02-11,75.0,75.0,69.5,71.5,32174
7,ok,2015-02-12,71.0,72.65,69.0,69.28,22520
8,ok,2015-02-15,71.25,71.4,67.55,69.0,32272
9,ok,2015-02-17,69.5,70.5,69.25,69.78,30716
10,ok,2015-02-18,70.0,70.8,68.5,70.0,41712
11,ok,2015-02-19,70.0,70.15,68.5,69.5,18712
12,ok,2015-02-22,69.75,70.5,69.2,69.5,47368
13,ok,2015-02-23,69.5,70.9,69.0,69.08,47424
14,ok,2015-02-24,71.0,71.0,68.75,69.05,28120
15,ok,2015-02-25,70.1,70.4,69.0,69.33,27418
16,ok,2015-02-26,69.63,71.0,69.0,69.5,46180
17,ok,2015-02-27,69.63,72.5,69.35,72.5,12738
18,ok,2015-03-01,76.0,76.0,72.0,72.0,10018
19,ok,2015-03-02,72.2,74.95,70.63,71.75,34374
20,ok,2015-03-03,76.75,76.75,71.1,72.5,34602
21,ok,2015-03-04,72.65,74.93,71.05,72.73,27124
22,ok,2015-03-08,72.9,73.9,70.1,72.9,15540
23,ok,2015-03-09,74.5,77.25,72.6,75.43,16246
24,ok,2015-03-10,75.75,78.5,75.68,76.5,9366
25,ok,2015-03-11,76.45,77.5,75.5,75.75,13026
26,ok,2015-03-12,76.6,79.0,75.5,78.28,12152
27,ok,2015-03-15,79.0,82.25,77.5,80.13,12436
28,ok,2015-03-16,80.25,83.5,79.5,83.2,13378
29,ok,2015-03-17,84.5,85.5,80.0,84.2,14770
30,ok,2015-03-18,85.0,87.5,80.75,85.65,34160
31,ok,2015-03-19,85.0,86.5,81.5,85.75,17314
32,ok,2015-03-22,82.5,83.55,82.5,83.5,7476
33,ok,2015-03-23,83.65,85.0,82.5,84.55,16158
34,ok,2015-03-24,83.05,83.5,83.05,83.2,6046
35,ok,2015-03-25,83.05,85.5,83.0,84.83,7078
36,ok,2015-03-26,84.85,85.0,83.0,83.38,12330
37,ok,2015-03-29,83.15,84.0,82.75,83.5,7624
38,ok,2015-03-30,83.6,84.75,81.5,84.75,8424
39,ok,2015-03-31,84.7,85.0,84.5,84.9,6002
40,ok,2015-04-05,82.75,82.8,78.75,80.45,21276
41,ok,2015-04-06,81.5,81.5,65.05,77.88,8676
42,ok,2015-04-07,87.5,87.5,77.0,77.03,7960
43,ok,2015-04-08,77.0,82.45,76.5,77.78,12240
44,ok,2015-04-09,78.5,80.0,76.5,76.55,14080
45,ok,2015-04-12,78.5,78.5,76.25,77.48,13736
46,ok,2015-04-14,77.63,78.0,76.55,76.58,12348
47,ok,2015-04-15,78.1,80.0,75.0,75.5,26366
48,ok,2015-04-16,82.5,84.98,75.63,79.5,11900
49,ok,2015-04-19,79.63,80.0,77.0,79.95,11278
50,ok,2015-04-20,79.25,79.3,78.0,78.15,11050
51,ok,2015-04-21,78.6,79.9,78.25,78.25,11088
52,ok,2015-04-22,78.35,78.45,76.75,77.0,12368
53,ok,2015-04-23,78.5,86.0,78.5,80.05,5950
54,ok,2015-04-26,83.5,96.05,81.0,96.05,28486
55,ok,2015-04-27,103.5,109.98,97.5,105.13,60238
56,ok,2015-04-28,107.0,107.5,92.5,100.45,59968
57,ok,2015-04-29,97.55,102.45,97.55,100.08,9112
58,ok,2015-05-03,103.0,103.0,98.85,100.38,56702
59,ok,2015-05-04,100.0,120.45,100.0,119.88,89906
60,ok,2015-05-05,121.0,124.0,116.5,118.6,114046
61,ok,2015-05-06,119.0,122.5,117.2,121.35,68154
62,ok,2015-05-07,118.03,121.5,118.0,119.95,47488
63,ok,2015-05-10,121.5,122.43,119.8,119.98,12588
64,ok,2015-05-11,118.75,122.35,115.05,119.65,11070
65,ok,2015-05-12,122.5,123.0,120.25,122.43,10626
66,ok,2015-05-13,118.55,120.0,117.5,118.48,5482
67,ok,2015-05-14,117.58,121.45,117.55,118.23,19180
68,ok,2015-05-17,115.03,121.0,110.0,118.0,12988
69,ok,2015-05-18,118.0,141.6,118.0,141.6,63736
70,ok,2015-05-19,144.0,167.38,137.5,167.13,591426
71,ok,2015-05-20,166.5,200.55,162.58,200.55,782484
72,ok,2015-05-21,207.35,220.6,202.5,218.25,617472
73,ok,2015-05-24,217.5,237.48,203.0,205.6,650314
74,ok,2015-05-25,207.0,226.15,195.35,226.15,433478
75,ok,2015-05-26,229.95,248.75,224.1,245.45,733224
76,ok,2015-05-27,244.85,252.5,222.5,225.35,604596
77,ok,2015-05-28,226.0,247.88,215.0,247.88,522380
78,ok,2015-05-31,256.4,258.0,245.1,249.78,258942
79,ok,2015-06-01,248.0,264.5,240.15,250.03,327754
80,ok,2015-06-02,251.0,275.03,245.25,274.03,401286
81,ok,2015-06-03,273.45,282.0,264.0,278.88,364488
82,ok,2015-06-04,275.95,317.5,265.13,275.88,1325640
83,ok,2015-06-07,282.28,317.5,256.28,309.8,1404126
84,ok,2015-06-08,301.5,366.45,301.5,353.48,2035396
85,ok,2015-06-09,353.9,368.93,290.0,298.23,2053460
86,ok,2015-06-10,301.6,331.95,300.0,325.65,1440564
87,ok,2015-06-11,328.25,336.5,313.6,319.25,474076
88,ok,2015-06-14,325.0,332.5,305.0,311.3,871298
89,ok,2015-06-15,312.5,372.4,303.4,369.35,2296288
90,ok,2015-06-16,371.55,384.9,357.8,368.58,1163758
91,ok,2015-06-17,369.75,377.95,359.0,374.2,547580
92,ok,2015-06-18,380.0,386.0,353.4,380.98,1240034
93,ok,2015-06-21,381.43,418.95,366.0,368.03,1979530
94,ok,2015-06-22,375.5,376.25,330.75,354.88,1656322
95,ok,2015-06-23,355.0,358.45,334.5,336.8,685412
96,ok,2015-06-24,334.0,345.0,321.83,327.05,665032
97,ok,2015-06-25,330.0,368.0,330.0,365.85,1611178
98,ok,2015-06-28,352.0,397.5,349.0,395.13,1603420
99,ok,2015-06-29,393.55,412.0,392.6,400.93,1420366
100,ok,2015-06-30,400.0,412.5,380.05,382.8,620782
101,ok,2015-07-01,386.0,417.0,378.0,414.2,1332562
102,ok,2015-07-02,415.0,424.85,405.0,409.4,731672
103,ok,2015-07-05,407.5,437.0,403.03,433.85,1039674
104,ok,2015-07-06,430.5,441.25,427.98,435.13,421642
105,ok,2015-07-07,432.75,442.0,420.0,422.3,287470
106,ok,2015-07-08,427.98,447.5,426.35,442.93,380856
107,ok,2015-07-09,447.0,455.5,433.0,436.03,491032
108,ok,2015-07-12,435.03,457.5,435.03,455.05,431234
109,ok,2015-07-13,457.5,464.45,455.0,459.75,226242
110,ok,2015-07-14,460.5,463.48,452.7,458.43,136264
111,ok,2015-07-15,457.48,466.5,455.08,462.93,163138
112,ok,2015-07-16,464.85,466.25,458.0,459.93,147970
113,ok,2015-07-19,462.0,470.75,457.5,461.4,143126
114,ok,2015-07-20,463.2,467.35,447.58,450.98,62610
115,ok,2015-07-21,445.0,459.5,435.05,454.33,120014
116,ok,2015-07-22,465.0,465.0,454.65,461.18,89456
117,ok,2015-07-23,457.9,484.95,456.0,459.53,250732
118,ok,2015-07-26,459.0,486.48,414.93,481.95,348644
119,ok,2015-07-27,482.5,490.0,481.5,484.8,99110
120,ok,2015-07-28,486.75,492.5,481.5,486.25,92072
121,ok,2015-07-29,488.85,528.0,467.5,474.83,252186
122,ok,2015-07-30,475.0,480.5,460.5,464.08,95226
123,ok,2015-08-02,462.5,525.0,456.5,503.45,298242
124,ok,2015-08-03,504.95,516.45,480.15,495.0,182126
125,ok,2015-08-04,497.33,508.5,467.65,471.7,140918
126,ok,2015-08-05,474.0,482.5,455.5,457.3,107526
127,ok,2015-08-06,458.5,475.0,438.08,445.18,92040
128,ok,2015-08-09,445.6,463.5,427.5,430.98,119538
129,ok,2015-08-10,434.75,491.0,432.63,473.63,416508
130,ok,2015-08-11,471.95,500.0,450.5,497.23,505468
131,ok,2015-08-12,504.9,544.0,488.68,538.13,665122
132,ok,2015-08-13,535.0,559.95,516.15,529.55,407964
133,ok,2015-08-16,528.25,537.5,510.25,519.25,108978
134,ok,2015-08-17,519.33,539.55,511.5,514.03,121414
135,ok,2015-08-18,515.5,524.5,495.18,498.6,99854
136,ok,2015-08-19,499.85,503.45,489.0,491.5,61066
137,ok,2015-08-20,487.33,493.5,479.0,481.98,33500
138,ok,2015-08-23,464.1,467.68,397.0,414.55,51242
139,ok,2015-08-24,412.0,440.0,333.25,387.53,66350
140,ok,2015-08-25,386.0,414.43,370.5,386.55,68280
141,ok,2015-08-26,404.3,439.85,392.08,435.28,120146
142,ok,2015-08-27,438.5,465.8,404.05,409.08,170802
143,ok,2015-08-30,411.35,425.0,377.2,381.15,98888
144,ok,2015-08-31,382.23,384.98,363.75,364.6,148006
145,ok,2015-09-01,377.5,387.0,366.3,372.33,97604
146,ok,2015-09-02,374.85,394.0,370.0,384.3,102756
147,ok,2015-09-03,386.5,386.5,362.5,379.65,76356
148,ok,2015-09-06,385.0,408.5,377.0,384.5,195788
149,ok,2015-09-07,383.75,431.0,383.75,424.73,259374
150,ok,2015-09-08,431.5,447.5,416.55,420.65,171882
151,ok,2015-09-09,403.5,423.95,395.0,398.93,127026
152,ok,2015-09-10,407.0,410.9,383.03,389.98,84146
153,ok,2015-09-13,394.8,411.0,384.0,386.55,77744
154,ok,2015-09-14,389.0,398.15,380.1,387.75,41950
155,ok,2015-09-15,394.75,449.5,390.28,439.75,492164
156,ok,2015-09-17,439.98,452.38,425.0,433.95,127050
157,ok,2015-09-20,425.0,455.5,424.03,428.83,158012
158,ok,2015-09-21,432.3,438.0,405.0,408.7,79500
159,ok,2015-09-22,414.5,418.5,397.8,401.2,52268
160,ok,2015-09-23,403.9,412.53,394.0,397.05,40848
161,ok,2015-09-27,402.0,407.0,391.0,394.43,44512
162,ok,2015-09-28,394.4,408.9,379.0,395.55,136846
163,ok,2015-09-29,400.05,404.95,395.05,396.88,36526
164,ok,2015-09-30,399.5,459.85,399.5,452.98,520610
165,ok,2015-10-04,454.95,471.0,435.15,464.98,358056
166,ok,2015-10-05,469.48,489.9,412.5,413.05,704568
167,ok,2015-10-06,416.3,426.5,400.5,402.3,319772
168,ok,2015-10-07,407.45,412.5,400.65,404.58,90822
169,ok,2015-10-08,409.5,414.7,375.0,376.53,307816
170,ok,2015-10-11,385.0,386.98,365.0,370.38,108766
171,ok,2015-10-12,373.48,377.3,355.1,367.88,130468
172,ok,2015-10-13,367.5,373.4,342.5,343.53,181882
173,ok,2015-10-14,339.0,379.0,339.0,350.2,318621
174,ok,2015-10-15,354.0,359.1,340.3,343.25,94871
175,ok,2015-10-18,345.45,350.0,341.5,341.85,70292
176,ok,2015-10-19,344.5,345.35,341.5,342.5,45103
177,ok,2015-10-20,344.35,344.8,341.0,341.75,35534
178,ok,2015-10-22,345.9,354.0,316.0,317.95,106828
179,ok,2015-10-25,319.95,338.0,308.25,312.1,135568
180,ok,2015-10-26,310.0,312.85,295.25,308.7,124222
181,ok,2015-10-27,308.0,315.0,308.0,308.65,49456
182,ok,2015-10-28,309.9,311.15,308.0,308.3,25581
183,ok,2015-10-29,309.85,311.6,308.25,308.4,48833
184,ok,2015-11-01,309.5,313.9,308.0,308.65,73328
185,ok,2015-11-02,309.8,310.65,308.25,308.4,71273
186,ok,2015-11-03,306.25,335.0,306.25,310.55,259480
187,ok,2015-11-04,311.7,319.5,297.6,300.5,51739
188,ok,2015-11-05,302.65,304.9,297.2,297.9,50123
189,ok,2015-11-08,290.0,301.2,285.0,298.75,63911
190,ok,2015-11-09,297.15,301.45,289.0,290.3,12633
191,ok,2015-11-10,290.5,304.0,290.1,293.05,10678
192,ok,2015-11-12,289.05,293.0,278.0,278.3,16911
193,ok,2015-11-15,282.6,282.6,277.0,277.65,27353
194,ok,2015-11-16,286.0,286.9,267.05,275.35,61001
195,ok,2015-11-17,278.75,278.75,264.1,264.7,54641
196,ok,2015-11-18,260.25,281.7,260.25,277.5,97702
197,ok,2015-11-19,280.0,284.5,276.2,278.7,33024
198,ok,2015-11-22,284.45,287.7,279.1,283.65,44861
199,ok,2015-11-23,280.0,287.0,278.2,278.45,18588
200,ok,2015-11-25,284.75,284.75,274.5,274.9,21562
201,ok,2015-11-26,279.9,279.9,274.0,275.1,15326
202,ok,2015-11-29,272.0,282.0,272.0,275.75,13521
203,ok,2015-11-30,281.95,312.9,267.0,268.2,709595
204,ok,2015-12-01,272.9,274.9,243.0,243.4,203196
205,ok,2015-12-02,245.0,266.95,241.5,262.3,295384
206,ok,2015-12-03,263.1,274.55,254.0,269.05,214279
207,ok,2015-12-06,272.0,276.0,268.7,275.1,68120
208,ok,2015-12-07,274.95,278.75,262.2,266.8,46811
209,ok,2015-12-08,264.5,267.5,249.0,250.35,28858
210,ok,2015-12-09,251.25,258.95,248.5,249.4,26513
211,ok,2015-12-10,247.05,254.0,247.05,249.3,32744
212,ok,2015-12-13,246.0,255.9,245.9,250.7,19374
213,ok,2015-12-14,250.0,253.0,249.0,249.2,11137
214,ok,2015-12-15,250.05,258.0,249.0,249.25,30022
215,ok,2015-12-16,254.0,268.95,250.3,267.95,206540
216,ok,2015-12-17,266.6,269.6,258.0,261.05,71316
217,ok,2015-12-20,261.15,292.9,261.0,266.45,940920
218,ok,2015-12-21,268.4,269.35,241.1,242.3,524100
219,ok,2015-12-22,242.9,247.0,240.0,240.85,239255
220,ok,2015-12-23,242.8,243.45,226.25,232.0,225066
221,ok,2015-12-27,233.1,244.0,215.05,218.15,257892
222,ok,2015-12-28,215.5,223.8,203.5,209.6,261069
223,ok,2015-12-29,210.0,214.0,201.1,203.35,380067
224,ok,2015-12-30,206.7,209.85,203.1,204.95,159162
225,ok,2015-12-31,205.0,206.75,198.35,200.05,71457
226,ok,2016-01-03,200.0,212.0,197.2,206.75,245238
227,ok,2016-01-04,209.45,225.0,201.0,221.65,341671
228,ok,2016-01-05,222.35,228.0,209.1,212.05,202554
229,ok,2016-01-06,209.35,210.0,203.4,205.15,72961
230,ok,2016-01-07,205.0,214.9,203.45,205.4,49378
231,ok,2016-01-10,202.05,209.7,197.3,199.95,89687
232,ok,2016-01-11,202.5,217.5,201.2,213.45,249250
233,ok,2016-01-12,214.95,217.9,198.25,199.8,154671
234,ok,2016-01-13,200.0,200.0,175.2,191.2,46859
235,ok,2016-01-14,200.35,200.4,175.25,177.55,61604
236,ok,2016-01-17,185.0,185.0,142.5,149.5,104736
237,ok,2016-01-18,149.35,149.4,129.0,134.0,256234
238,ok,2016-01-19,131.9,131.9,120.6,120.6,124228
239,ok,2016-01-20,123.0,132.65,112.65,129.95,345687
240,ok,2016-01-21,133.0,141.15,128.0,130.25,167467
241,ok,2016-01-24,132.8,136.9,123.65,132.65,58277
242,ok,2016-01-26,129.0,133.0,128.0,129.35,21839
243,ok,2016-01-27,130.15,140.0,129.35,133.95,163802
244,ok,2016-01-28,134.9,137.95,130.2,131.95,20081
245,ok,2016-01-31,133.05,136.7,128.65,131.4,25107
246,ok,2016-02-01,130.05,132.0,125.05,126.5,18149
247,ok,2016-02-02,125.95,126.0,116.0,119.1,22564
248,ok,2016-02-03,129.0,129.0,118.0,121.65,20882
249,ok,2016-02-04,123.0,140.65,120.4,138.85,237975
250,ok,2016-02-07,137.0,138.85,128.15,130.55,55822
251,ok,2016-02-08,128.85,134.4,124.1,132.5,33873
252,ok,2016-02-09,131.05,134.0,128.0,128.7,84893
253,ok,2016-02-10,129.0,130.3,121.7,122.55,36131
