,s,t,o,h,l,c,v
0,ok,2022-12-22,471.0,481.15,446.2,458.4,3133125
1,ok,2022-12-25,459.6,463.7,431.15,445.2,335189
2,ok,2022-12-26,446.95,477.0,440.5,474.75,497930
3,ok,2022-12-27,474.9,474.9,461.0,461.65,96944
4,ok,2022-12-28,461.5,464.45,450.95,454.55,76091
5,ok,2022-12-29,460.0,471.05,459.75,463.9,75924
6,ok,2023-01-01,462.0,482.85,459.9,476.85,140283
7,ok,2023-01-02,460.15,518.25,460.15,508.05,646792
8,ok,2023-01-03,510.95,518.5,494.35,496.6,346623
9,ok,2023-01-04,500.0,533.4,496.1,528.45,719443
10,ok,2023-01-05,528.05,581.7,518.35,554.0,1930295
11,ok,2023-01-08,573.65,573.65,524.1,540.5,342918
12,ok,2023-01-09,540.95,549.85,493.2,527.05,476914
13,ok,2023-01-10,532.0,561.95,522.1,548.55,561535
14,ok,2023-01-11,550.0,557.85,536.6,545.15,182847
15,ok,2023-01-12,549.5,571.0,540.55,564.1,496606
16,ok,2023-01-15,564.65,569.25,542.05,549.95,170059
17,ok,2023-01-16,552.95,573.45,542.25,558.45,220716
18,ok,2023-01-17,570.0,598.8,556.8,587.15,562421
