,s,t,o,h,l,c,v
0,ok,2007-03-18,4.26,4.3,3.7,3.87,188830
1,ok,2007-03-19,4.0,4.63,3.52,3.78,201250
2,ok,2007-03-20,3.85,3.94,3.43,3.62,170020
3,ok,2007-03-21,3.4,3.8,3.4,3.61,195400
4,ok,2007-03-22,3.44,3.69,3.44,3.63,72760
5,ok,2007-03-25,3.6,3.61,3.27,3.36,52250
6,ok,2007-03-27,3.28,3.3,3.24,3.25,191000
7,ok,2007-03-28,3.4,3.4,3.26,3.31,18700
8,ok,2007-03-29,3.25,3.4,3.2,3.35,30470
9,ok,2007-04-01,3.21,3.3,2.7,3.25,81220
10,ok,2007-04-02,3.25,3.33,3.19,3.28,22030
11,ok,2007-04-03,3.4,3.4,3.26,3.28,7030
12,ok,2007-04-04,3.3,3.3,3.05,3.15,31820
13,ok,2007-04-08,3.25,3.38,3.19,3.33,11100
14,ok,2007-04-09,3.46,3.47,2.9,3.26,65980
15,ok,2007-04-10,3.3,3.39,3.3,3.31,38140
16,ok,2007-04-11,3.3,3.39,3.3,3.39,11790
17,ok,2007-04-12,3.47,3.5,3.37,3.48,1200
18,ok,2007-04-15,3.56,3.56,3.41,3.43,11920
19,ok,2007-04-16,3.32,3.45,3.32,3.38,8180
20,ok,2007-04-17,3.38,3.4,3.38,3.4,1230
21,ok,2007-04-18,3.38,3.38,3.38,3.38,11370
22,ok,2007-04-19,3.38,3.55,3.38,3.38,7960
23,ok,2007-04-22,3.36,3.36,3.36,3.36,400
24,ok,2007-04-23,3.36,3.5,3.21,3.36,8130
25,ok,2007-04-24,3.35,3.65,3.35,3.59,36920
26,ok,2007-04-25,3.6,3.6,3.4,3.45,7410
27,ok,2007-04-26,3.48,3.48,3.36,3.36,6500
28,ok,2007-04-29,3.3,3.3,3.3,3.3,1000
29,ok,2007-05-02,3.53,3.57,3.35,3.35,15400
30,ok,2007-05-03,3.32,3.4,3.32,3.39,14000
31,ok,2007-05-06,3.35,3.4,3.26,3.31,20030
32,ok,2007-05-07,3.37,3.37,3.37,3.37,1000
33,ok,2007-05-08,3.25,3.65,3.15,3.31,12000
34,ok,2007-05-09,3.28,3.46,3.28,3.29,3340
35,ok,2007-05-10,3.49,3.5,3.32,3.4,5600
36,ok,2007-05-13,3.4,3.4,3.28,3.3,16360
37,ok,2007-05-14,3.34,3.39,3.27,3.39,3950
38,ok,2007-05-15,3.58,3.58,3.39,3.43,39840
39,ok,2007-05-16,3.45,3.55,3.36,3.53,28500
40,ok,2007-05-17,3.38,3.54,3.38,3.48,14970
41,ok,2007-05-20,3.55,3.55,3.45,3.55,11300
