,s,t,o,h,l,c,v
0,ok,2017-09-20,140.2,147.2,136.0,147.2,817526
1,ok,2017-09-21,154.55,154.55,154.55,154.55,284848
2,ok,2017-09-24,154.8,156.0,146.85,146.85,196515
3,ok,2017-09-25,139.55,139.55,139.55,139.55,31019
4,ok,2017-09-26,132.6,132.6,132.6,132.6,27352
5,ok,2017-09-27,126.0,134.8,126.0,132.35,351393
6,ok,2017-09-28,129.9,132.8,126.05,129.4,119307
7,ok,2017-10-02,129.1,132.5,127.1,128.1,73950
8,ok,2017-10-03,128.05,134.5,128.05,134.5,146694
9,ok,2017-10-04,138.9,141.2,135.5,141.2,44550
10,ok,2017-10-05,148.25,148.25,148.25,148.25,23675
11,ok,2017-10-08,155.65,155.65,148.1,149.85,375021
12,ok,2017-10-09,149.8,152.95,142.4,150.55,112799
13,ok,2017-10-10,150.0,152.0,143.05,144.85,89349
14,ok,2017-10-11,143.9,145.0,137.7,138.9,130163
15,ok,2017-10-12,138.95,145.8,135.1,145.65,123157
16,ok,2017-10-15,146.1,150.0,145.15,147.15,126457
17,ok,2017-10-16,147.0,149.2,142.0,144.35,45808
18,ok,2017-10-17,144.0,145.5,140.6,144.0,31586
19,ok,2017-10-18,142.0,147.0,142.0,144.15,24918
20,ok,2017-10-22,144.0,147.4,140.6,143.7,64455
21,ok,2017-10-23,141.15,146.9,141.15,145.65,57209
22,ok,2017-10-24,145.0,148.0,140.6,142.8,54979
23,ok,2017-10-25,144.95,144.95,138.8,140.7,101014
24,ok,2017-10-26,144.0,144.0,139.1,140.25,34470
25,ok,2017-10-29,140.7,141.35,139.6,140.0,30203
26,ok,2017-10-30,140.0,140.0,137.0,139.25,48250
27,ok,2017-10-31,137.05,139.8,136.0,137.15,22471
28,ok,2017-11-01,137.0,139.0,135.0,136.95,32814
29,ok,2017-11-02,141.9,143.75,135.0,143.75,143038
30,ok,2017-11-05,143.65,145.0,138.1,143.65,66520
31,ok,2017-11-06,143.0,143.0,136.5,136.95,97787
32,ok,2017-11-07,141.9,141.9,135.5,137.5,31679
33,ok,2017-11-08,137.5,140.0,136.0,138.25,22678
34,ok,2017-11-09,135.1,139.8,135.0,137.2,27233
35,ok,2017-11-12,138.75,139.8,135.6,137.5,23426
36,ok,2017-11-13,138.9,139.8,136.0,138.65,38434
37,ok,2017-11-14,137.1,138.5,136.0,136.8,31601
38,ok,2017-11-15,136.0,140.0,133.05,136.05,83478
39,ok,2017-11-16,136.65,139.5,134.4,135.5,27074
40,ok,2017-11-19,133.05,134.95,130.95,132.3,83066
41,ok,2017-11-20,131.0,138.8,131.0,133.3,25661
42,ok,2017-11-21,136.7,136.7,128.2,131.95,23233
43,ok,2017-11-22,136.55,138.5,132.1,133.3,67079
44,ok,2017-11-23,132.25,136.9,130.3,132.55,31809
45,ok,2017-11-26,132.0,139.15,131.7,139.15,61661
46,ok,2017-11-27,144.0,144.0,139.2,139.7,54791
47,ok,2017-11-28,143.5,143.5,137.1,140.1,41987
48,ok,2017-11-29,140.5,141.6,137.0,138.3,20934
49,ok,2017-11-30,139.9,139.9,134.1,136.4,20598
50,ok,2017-12-03,143.0,143.0,134.0,136.3,25427
51,ok,2017-12-04,137.0,137.0,130.3,135.35,25639
52,ok,2017-12-05,135.0,136.5,131.9,133.2,19350
53,ok,2017-12-06,134.0,137.5,132.0,135.1,18268
54,ok,2017-12-07,136.0,140.5,135.15,138.25,30950
55,ok,2017-12-10,139.95,142.3,138.0,139.85,39752
56,ok,2017-12-11,138.9,138.9,132.9,132.9,106842
57,ok,2017-12-12,134.0,136.6,130.5,131.6,46534
58,ok,2017-12-13,135.0,135.0,130.1,134.15,21050
59,ok,2017-12-14,140.5,140.85,137.1,140.8,227962
60,ok,2017-12-17,142.0,147.8,136.6,147.8,158136
61,ok,2017-12-18,151.85,155.15,150.6,155.15,145564
62,ok,2017-12-19,162.9,162.9,162.0,162.9,83497
63,ok,2017-12-20,171.0,171.0,171.0,171.0,34525
64,ok,2017-12-21,179.55,179.55,179.55,179.55,56729
65,ok,2017-12-25,188.5,188.5,176.15,179.35,533096
66,ok,2017-12-26,179.45,183.5,172.6,175.65,88553
67,ok,2017-12-27,175.0,175.45,166.9,172.35,127991
68,ok,2017-12-28,176.05,180.95,176.05,180.95,142073
69,ok,2017-12-31,189.95,189.95,186.0,189.95,220720
70,ok,2018-01-01,199.0,199.4,190.0,199.4,317738
71,ok,2018-01-02,208.0,209.35,204.0,208.85,353091
72,ok,2018-01-03,214.0,214.0,198.45,199.3,224757
73,ok,2018-01-04,199.9,204.9,190.0,200.45,129066
74,ok,2018-01-07,203.95,204.0,190.45,190.45,122022
75,ok,2018-01-08,180.95,180.95,180.95,180.95,46760
76,ok,2018-01-09,171.95,180.95,171.95,177.55,372223
77,ok,2018-01-10,176.8,178.8,171.0,173.05,113401
78,ok,2018-01-11,173.0,181.7,173.0,181.7,85352
79,ok,2018-01-14,190.0,190.75,185.5,186.45,160123
