,s,t,o,h,l,c,v
0,ok,2000-01-02,151.0,157.5,150.5,157.5,2400
1,ok,2000-01-03,152.5,159.1,152.5,159.1,700
2,ok,2000-01-04,155.0,159.0,155.0,159.0,500
3,ok,2000-01-05,160.0,164.0,156.1,164.0,450
4,ok,2000-01-09,163.5,164.0,157.5,160.0,300
5,ok,2000-01-10,161.0,166.6,161.0,162.5,750
6,ok,2000-01-11,169.5,172.5,169.5,170.0,1100
7,ok,2000-01-12,183.0,183.6,181.0,183.6,22150
8,ok,2000-01-13,190.0,195.0,185.3,190.33,9300
9,ok,2000-01-16,193.0,205.0,192.0,200.44,5300
10,ok,2000-01-17,200.0,216.45,200.0,213.5,3000
11,ok,2000-01-18,225.0,230.58,221.5,230.58,4200
12,ok,2000-01-19,248.5,249.03,231.5,232.59,5300
13,ok,2000-01-20,231.0,235.0,220.5,229.18,1600
14,ok,2000-01-23,222.5,225.0,210.85,210.85,2800
15,ok,2000-01-24,195.02,207.5,194.0,195.18,2150
16,ok,2000-01-26,194.2,197.0,190.0,190.0,400
17,ok,2000-01-27,185.0,185.0,179.0,180.0,750
18,ok,2000-01-30,173.0,173.0,170.0,171.6,700
19,ok,2000-01-31,165.0,175.0,161.0,170.0,1300
20,ok,2000-02-01,179.9,179.9,173.5,177.5,250
21,ok,2000-02-02,180.0,180.0,175.0,177.5,1250
22,ok,2000-02-03,173.0,173.0,164.5,165.01,700
23,ok,2000-02-06,162.5,162.5,160.1,160.15,750
24,ok,2000-02-07,169.5,169.5,158.8,158.8,550
25,ok,2000-02-08,170.1,170.1,165.0,165.0,400
26,ok,2000-02-09,166.0,166.0,165.0,165.0,650
27,ok,2000-02-10,165.0,178.2,165.0,178.2,8850
28,ok,2000-02-13,182.6,186.0,182.6,183.57,550
29,ok,2000-02-14,185.0,185.0,175.5,177.5,1200
30,ok,2000-02-15,185.0,185.0,181.0,181.0,25600
31,ok,2000-02-16,189.9,189.9,178.0,178.0,950
32,ok,2000-02-17,171.0,171.0,170.0,170.0,1650
33,ok,2000-02-20,170.0,170.0,170.0,170.0,350
34,ok,2000-02-21,170.0,170.0,156.5,159.53,1800
35,ok,2000-02-22,172.29,172.29,165.0,165.0,450
36,ok,2000-02-23,165.0,170.0,165.0,165.0,500
37,ok,2000-02-24,160.0,160.1,155.5,160.0,400
38,ok,2000-02-27,155.5,155.5,154.9,155.0,500
39,ok,2000-02-28,152.5,153.0,150.0,150.0,450
40,ok,2000-02-29,157.5,157.5,150.0,157.5,500
41,ok,2000-03-01,150.0,150.1,145.1,146.54,1250
42,ok,2000-03-02,141.0,141.0,136.5,136.5,800
43,ok,2000-03-05,135.0,136.0,130.5,130.76,1100
44,ok,2000-03-06,125.0,125.0,120.3,120.3,700
45,ok,2000-03-07,116.0,129.9,116.0,129.9,1000
46,ok,2000-03-08,135.0,135.0,128.0,128.0,1150
47,ok,2000-03-09,121.5,121.5,121.0,121.0,300
48,ok,2000-03-12,120.0,120.7,120.0,120.0,3150
49,ok,2000-03-13,120.01,122.0,120.0,120.3,650
50,ok,2000-03-14,126.0,126.0,125.0,125.0,150
51,ok,2000-03-20,120.0,123.0,120.0,120.1,2550
52,ok,2000-03-21,123.6,129.5,123.6,128.13,550
53,ok,2000-03-22,125.0,125.5,120.5,125.5,400
54,ok,2000-03-23,125.0,125.0,125.0,125.0,200
55,ok,2000-03-26,121.0,132.5,121.0,132.5,200
56,ok,2000-03-27,127.5,129.0,123.5,126.25,900
57,ok,2000-03-28,126.5,127.0,125.0,125.19,1100
58,ok,2000-03-29,120.4,126.0,120.4,126.0,100
59,ok,2000-03-30,120.5,125.0,120.5,125.0,300
60,ok,2000-04-02,116.0,124.5,116.0,120.0,1300
61,ok,2000-04-03,115.0,121.0,115.0,117.15,1150
62,ok,2000-04-04,123.29,123.29,122.5,122.5,500
63,ok,2000-04-05,115.2,125.0,115.2,120.03,300
64,ok,2000-04-06,115.0,128.9,115.0,128.9,500
65,ok,2000-04-09,138.5,139.2,135.6,137.84,950
66,ok,2000-04-11,123.0,135.0,123.0,130.0,600
67,ok,2000-04-12,120.1,130.0,120.1,125.7,2750
68,ok,2000-04-16,120.0,130.0,117.0,130.0,400
69,ok,2000-04-17,130.6,130.6,130.0,130.0,300
70,ok,2000-04-18,131.0,131.0,131.0,131.0,100
71,ok,2000-04-19,121.5,130.1,121.5,130.0,950
72,ok,2000-04-23,130.0,130.0,130.0,130.0,350
73,ok,2000-04-24,121.5,135.0,121.5,130.0,1000
74,ok,2000-04-25,120.5,136.1,120.5,136.1,300
75,ok,2000-04-26,130.0,130.0,125.5,130.0,30150
76,ok,2000-04-27,130.0,134.0,128.6,128.6,8750
77,ok,2000-05-01,125.1,127.5,125.0,126.0,650
78,ok,2000-05-02,120.5,125.0,120.0,125.0,750
79,ok,2000-05-03,120.0,120.6,120.0,120.0,650
80,ok,2000-05-04,120.1,120.1,120.1,120.1,250
81,ok,2000-05-07,115.0,124.9,115.0,122.55,850
82,ok,2000-05-08,115.0,129.9,115.0,120.1,9200
83,ok,2000-05-09,112.5,124.0,112.5,124.0,100
84,ok,2000-05-10,124.9,129.0,124.9,128.14,400
85,ok,2000-05-11,122.7,129.0,122.7,129.0,20100
86,ok,2000-05-14,121.0,121.0,120.5,120.5,100
87,ok,2000-05-15,115.0,127.5,115.0,123.74,350
88,ok,2000-05-16,126.0,126.0,125.0,125.0,150
89,ok,2000-05-18,121.5,121.5,121.5,121.5,50
90,ok,2000-05-21,118.0,118.0,118.0,118.0,100
91,ok,2000-05-22,115.0,115.0,109.6,110.0,3000
92,ok,2000-05-23,105.5,112.5,105.5,110.0,1250
93,ok,2000-05-24,114.7,114.7,105.3,111.6,500
94,ok,2000-05-25,107.5,110.2,106.0,106.0,800
95,ok,2000-05-28,111.0,111.0,111.0,111.0,100
96,ok,2000-05-29,110.0,110.0,103.2,104.4,1000
97,ok,2000-05-30,106.0,110.5,106.0,106.5,2100
98,ok,2000-05-31,107.5,109.3,106.0,106.0,1650
99,ok,2000-06-01,105.1,108.0,105.0,108.0,200
100,ok,2000-06-04,108.0,115.0,107.0,107.0,400
101,ok,2000-06-05,106.0,114.0,105.0,114.0,1750
102,ok,2000-06-06,107.0,112.0,107.0,107.5,250
103,ok,2000-06-07,110.0,110.0,108.0,108.0,150
104,ok,2000-06-08,109.0,112.9,109.0,112.9,150
105,ok,2000-06-11,110.0,110.0,110.0,110.0,50
106,ok,2000-06-12,107.0,113.5,107.0,107.1,350
107,ok,2000-06-13,115.0,115.0,115.0,115.0,50
108,ok,2000-06-14,115.0,115.0,111.5,113.25,100
109,ok,2000-06-15,119.0,119.0,119.0,119.0,100
110,ok,2000-06-18,112.5,112.5,112.5,112.5,50
111,ok,2000-06-20,119.6,120.3,119.6,120.25,350
112,ok,2000-06-21,116.0,121.0,116.0,121.0,250
113,ok,2000-06-22,118.0,118.0,114.0,114.0,100
114,ok,2000-06-25,112.0,112.21,112.0,112.21,100
115,ok,2000-06-26,116.0,121.0,116.0,118.5,250
116,ok,2000-06-27,115.0,120.0,115.0,118.0,200
117,ok,2000-06-28,114.0,119.0,114.0,116.0,200
118,ok,2000-06-29,115.0,121.9,115.0,117.8,350
119,ok,2000-07-02,114.0,120.0,114.0,120.0,450
120,ok,2000-07-03,117.2,120.0,117.2,120.0,200
121,ok,2000-07-04,117.5,117.5,117.5,117.5,50
122,ok,2000-07-05,117.5,119.7,116.0,119.7,200
123,ok,2000-07-06,115.0,120.5,115.0,118.5,300
124,ok,2000-07-10,116.71,119.9,116.6,118.25,300
125,ok,2000-07-11,117.9,119.99,115.9,119.99,800
126,ok,2000-07-12,115.2,115.2,115.2,115.2,50
127,ok,2000-07-13,117.11,117.11,117.11,117.11,100
128,ok,2000-07-16,118.0,118.0,115.5,115.5,250
129,ok,2000-07-17,119.5,122.0,119.5,120.03,900
130,ok,2000-07-18,123.0,126.0,123.0,126.0,600
131,ok,2000-07-19,122.29,127.5,122.29,126.8,1800
132,ok,2000-07-20,127.5,127.5,122.5,122.85,1550
133,ok,2000-07-23,117.61,124.8,117.61,124.8,200
134,ok,2000-07-24,120.0,124.19,120.0,121.75,1050
135,ok,2000-07-25,115.0,121.0,115.0,117.0,500
136,ok,2000-07-26,115.0,115.0,113.4,113.4,150
137,ok,2000-07-27,119.5,120.0,119.5,119.75,100
138,ok,2000-07-30,125.4,125.4,118.0,124.87,112900
139,ok,2000-07-31,122.0,122.5,120.0,120.0,550
140,ok,2000-08-01,125.0,125.0,120.0,120.0,250
