,s,t,o,h,l,c,v
0,ok,2000-03-29,186.55,187.0,180.85,180.85,7600
1,ok,2000-03-30,166.4,171.4,166.4,166.5,35600
2,ok,2000-04-02,169.0,169.0,153.2,154.0,16700
3,ok,2000-04-03,141.7,141.7,141.7,141.7,2500
4,ok,2000-04-04,131.0,139.0,130.4,130.4,16700
5,ok,2000-04-05,121.0,124.95,120.0,121.85,20200
6,ok,2000-04-06,128.9,131.6,128.9,131.6,5000
7,ok,2000-04-09,142.15,142.15,136.05,141.95,104500
8,ok,2000-04-11,142.0,152.95,141.0,148.35,46000
9,ok,2000-04-12,136.5,147.5,136.5,144.6,53200
10,ok,2000-04-16,133.05,133.05,133.05,133.05,9900
11,ok,2000-04-17,135.0,143.6,125.7,127.75,65100
12,ok,2000-04-18,137.75,138.0,117.6,123.3,60100
13,ok,2000-04-19,119.0,119.0,113.45,114.7,36800
14,ok,2000-04-23,113.5,113.9,105.55,105.55,20800
15,ok,2000-04-24,97.25,98.0,97.15,97.2,16900
16,ok,2000-04-25,103.25,105.0,103.25,105.0,5400
17,ok,2000-04-26,109.0,113.0,100.05,103.2,42500
18,ok,2000-04-27,104.95,106.8,94.95,95.25,38000
19,ok,2000-05-01,96.0,96.5,83.85,83.85,54200
20,ok,2000-05-02,80.0,89.85,76.5,83.3,26485
21,ok,2000-05-03,85.0,93.25,85.0,92.8,53435
22,ok,2000-05-04,100.2,103.95,96.05,103.95,12230
23,ok,2000-05-07,108.05,116.45,101.05,105.65,46130
24,ok,2000-05-08,99.0,113.2,98.0,110.65,21796
25,ok,2000-12-17,38.3,45.0,38.3,44.15,39072
26,ok,2000-12-18,40.7,50.0,40.7,46.75,71542
27,ok,2000-12-19,50.0,50.0,45.1,45.95,30395
28,ok,2000-12-20,49.0,49.0,39.05,41.2,8668
29,ok,2000-12-21,41.75,42.0,38.3,38.55,14725
30,ok,2000-12-25,40.0,40.0,35.5,36.45,7815
31,ok,2000-12-26,37.0,38.95,36.0,36.35,7755
32,ok,2000-12-27,36.7,40.75,36.7,40.25,11736
33,ok,2000-12-28,39.2,41.7,39.0,40.0,8164
34,ok,2000-12-31,39.0,40.5,38.5,40.05,12115
35,ok,2001-01-01,39.5,39.75,38.55,38.9,5745
36,ok,2001-01-02,40.0,41.0,38.5,39.25,2123
37,ok,2001-01-03,40.5,42.0,39.0,39.3,8871
38,ok,2001-01-04,38.8,40.5,38.0,38.75,13195
39,ok,2001-01-07,38.05,38.05,36.5,37.25,9461
40,ok,2001-01-08,38.0,38.0,35.0,35.35,4879
41,ok,2001-01-09,36.5,36.6,35.0,35.45,8800
42,ok,2001-01-10,34.95,35.0,33.0,33.05,24175
43,ok,2001-01-11,34.0,34.45,32.0,33.05,4525
44,ok,2001-01-14,32.0,32.1,30.45,30.5,5440
45,ok,2001-01-15,30.45,31.35,30.0,30.65,9600
46,ok,2001-01-16,32.5,32.5,30.5,31.25,5400
47,ok,2001-01-17,32.85,36.0,31.25,35.35,11685
48,ok,2001-01-18,36.25,37.0,34.0,36.4,13507
49,ok,2001-01-21,39.25,42.25,39.25,41.95,43288
50,ok,2001-01-22,45.0,48.7,45.0,48.65,150317
51,ok,2001-01-23,52.4,53.7,50.0,51.1,187856
52,ok,2001-01-24,52.0,52.9,47.5,48.9,73508
53,ok,2001-01-28,45.6,49.75,45.5,49.2,65006
54,ok,2001-01-29,52.9,52.9,49.0,52.15,94856
55,ok,2001-01-30,54.5,56.8,51.7,54.35,352541
56,ok,2001-01-31,55.0,55.5,48.7,51.05,101816
57,ok,2001-02-01,53.0,54.95,47.0,47.75,59895
58,ok,2001-02-04,45.25,45.7,40.6,41.65,44564
59,ok,2001-02-05,41.5,44.0,41.25,42.1,35094
60,ok,2001-02-06,44.0,44.25,41.25,42.0,25240
61,ok,2001-02-07,40.0,42.9,40.0,42.35,45415
62,ok,2001-02-08,41.25,44.6,41.25,43.9,60322
63,ok,2001-02-11,40.5,44.9,40.5,44.6,39059
64,ok,2001-02-12,48.0,48.0,44.6,45.55,39846
65,ok,2001-02-13,46.0,46.5,44.2,44.4,31350
66,ok,2001-02-14,47.5,47.5,44.5,44.85,33275
67,ok,2001-02-15,46.0,46.25,42.0,42.2,107104
68,ok,2001-02-18,39.25,43.0,39.25,41.6,32650
69,ok,2001-02-19,43.5,43.75,38.3,39.35,76625
70,ok,2001-02-20,41.0,41.5,39.3,39.45,32160
71,ok,2001-02-21,40.0,40.25,35.0,38.4,55561
72,ok,2001-02-22,39.0,40.0,35.35,35.35,349867
73,ok,2001-02-25,37.0,37.5,34.05,36.65,27240
74,ok,2001-02-26,36.0,36.25,30.8,30.8,41365
75,ok,2001-02-27,32.0,32.6,26.0,27.15,117684
76,ok,2001-02-28,28.0,28.9,22.85,23.95,200192
77,ok,2001-03-01,24.95,25.0,20.15,20.8,76420
78,ok,2001-03-04,20.05,21.8,19.0,19.1,81186
79,ok,2001-03-06,20.0,23.5,20.0,21.1,50272
80,ok,2001-03-07,21.0,22.8,21.0,21.8,14568
81,ok,2001-03-08,20.15,21.4,19.65,20.7,13350
82,ok,2001-03-11,20.0,20.0,19.05,19.25,14770
83,ok,2001-03-12,15.5,18.75,15.5,17.15,12999
84,ok,2001-03-13,14.0,19.0,14.0,18.75,12440
85,ok,2001-03-14,18.6,19.9,18.2,19.6,11200
86,ok,2001-03-15,21.0,22.35,19.65,19.8,20251
87,ok,2001-03-18,19.8,20.45,19.5,19.8,11054
88,ok,2001-03-19,19.8,19.8,18.15,18.35,10515
89,ok,2001-03-20,20.1,20.5,17.0,18.9,8552
90,ok,2001-03-21,20.2,20.2,18.2,18.35,17874
91,ok,2001-03-22,18.5,18.5,16.1,17.15,9755
92,ok,2001-03-25,17.7,18.1,16.6,17.75,4760
93,ok,2001-03-26,17.15,17.75,16.75,17.0,21365
94,ok,2001-03-27,18.95,20.0,18.0,19.7,6354
95,ok,2001-03-28,19.0,19.0,14.8,15.2,37991
96,ok,2001-03-29,15.95,15.95,11.5,15.0,59116
97,ok,2001-04-01,17.0,17.0,11.25,11.9,67847
98,ok,2001-04-02,12.0,13.15,9.4,11.9,157558
99,ok,2001-04-03,12.05,13.35,11.9,12.95,8404
100,ok,2001-04-05,14.0,14.3,13.1,13.85,12359
101,ok,2001-04-08,12.9,14.0,12.75,14.0,3215
102,ok,2001-04-09,13.4,13.4,12.6,13.0,7096
103,ok,2001-04-10,13.45,13.5,12.0,12.95,6056
104,ok,2001-04-11,12.3,12.3,11.35,11.75,9726
105,ok,2001-04-15,12.85,13.0,12.3,12.9,3510
106,ok,2001-04-16,12.3,13.5,12.3,13.0,5229
107,ok,2001-04-17,14.7,15.0,13.5,14.65,25696
108,ok,2001-04-18,15.35,18.35,15.35,16.4,26493
109,ok,2001-04-19,14.8,16.75,14.8,16.45,7366
110,ok,2001-04-22,16.75,18.0,16.2,17.85,6687
111,ok,2001-04-23,17.95,17.95,16.65,17.4,7480
112,ok,2001-04-24,18.5,18.5,17.0,17.65,20695
113,ok,2001-04-25,18.35,18.35,16.8,17.05,5325
114,ok,2001-04-26,15.65,15.9,14.0,14.5,10395
115,ok,2001-04-29,15.5,16.5,14.8,15.0,3675
116,ok,2001-05-01,15.0,16.0,14.0,14.1,8593
117,ok,2001-05-02,15.35,15.4,13.85,14.0,9900
118,ok,2001-05-03,14.15,14.5,13.25,13.4,7500
119,ok,2001-05-06,14.5,14.5,13.7,13.85,3230
120,ok,2001-05-07,14.0,14.0,13.0,13.5,8182
121,ok,2001-05-08,14.8,14.8,12.9,12.95,6800
122,ok,2001-05-09,13.0,13.0,12.6,12.75,3128
123,ok,2001-05-10,13.25,13.8,12.9,12.95,2644
124,ok,2001-05-13,12.85,13.65,12.5,13.55,4485
125,ok,2001-05-14,11.65,13.45,11.65,13.0,6882
126,ok,2001-05-15,13.35,13.45,12.8,13.0,16628
127,ok,2001-05-16,12.65,13.5,12.65,13.2,21325
128,ok,2001-05-17,13.45,13.45,12.8,13.05,10912
129,ok,2001-05-20,13.35,13.35,12.35,13.0,5500
130,ok,2001-05-21,14.0,14.5,13.95,14.0,24879
131,ok,2001-05-22,14.5,16.0,14.5,15.3,34268
132,ok,2001-05-23,15.75,16.85,14.75,14.95,34749
133,ok,2001-05-24,16.0,16.5,14.0,14.9,11362
134,ok,2001-05-27,15.9,16.25,15.0,15.1,34585
135,ok,2001-05-28,15.5,15.5,14.8,14.95,27020
136,ok,2001-05-29,15.7,15.7,14.5,14.65,20210
137,ok,2001-05-30,13.95,14.9,13.9,14.45,7870
138,ok,2001-05-31,14.5,14.6,13.7,14.0,9909
139,ok,2001-06-03,13.9,14.15,13.5,13.6,8110
140,ok,2001-06-04,13.55,13.85,12.9,13.05,14274
141,ok,2001-06-05,14.3,14.3,13.3,13.55,2270
142,ok,2001-06-06,13.0,13.15,12.65,12.65,8951
143,ok,2001-06-07,13.2,13.7,13.0,13.4,6651
144,ok,2001-06-10,12.8,13.4,12.75,12.95,3315
145,ok,2001-06-11,12.45,12.9,12.45,12.9,7122
146,ok,2001-06-12,13.2,13.2,12.8,12.9,5130
147,ok,2001-06-13,13.2,13.2,12.8,13.1,2685
148,ok,2001-06-14,12.8,13.0,12.5,12.7,3600
149,ok,2001-06-17,12.3,12.35,11.6,12.1,6041
150,ok,2001-06-18,11.15,12.25,11.15,12.2,5700
151,ok,2001-06-19,12.2,12.5,11.45,11.7,11886
152,ok,2001-06-20,11.4,11.95,11.15,11.3,11825
153,ok,2001-06-21,11.3,11.5,11.0,11.0,8683
154,ok,2001-06-24,10.9,11.3,10.65,10.9,4587
155,ok,2001-06-25,11.4,12.25,11.1,11.85,14969
156,ok,2001-06-26,12.4,12.4,11.4,11.5,8301
157,ok,2001-06-27,12.85,12.85,11.25,11.4,8550
158,ok,2001-06-28,11.55,12.2,11.4,12.0,10103
159,ok,2001-07-01,13.35,13.35,13.2,13.2,2
160,ok,2001-07-02,12.0,12.5,12.0,12.0,2101
161,ok,2001-07-03,11.5,11.5,11.5,11.5,100
162,ok,2001-07-04,11.5,11.5,11.1,11.15,200
163,ok,2001-07-05,11.7,12.25,11.0,11.55,3160
164,ok,2001-07-08,10.85,11.5,10.85,11.05,905
165,ok,2001-07-09,11.4,11.45,10.75,11.1,1601
166,ok,2001-07-10,11.3,11.5,10.6,11.15,3750
167,ok,2001-07-11,11.8,12.25,11.5,11.95,9201
168,ok,2001-07-12,12.5,12.5,11.3,11.35,4401
169,ok,2001-07-15,11.25,12.7,11.25,12.0,18866
170,ok,2001-07-16,11.1,11.9,10.9,11.1,12455
171,ok,2001-07-17,11.55,11.75,10.9,10.95,21065
172,ok,2001-07-18,10.9,10.9,10.0,10.25,7850
173,ok,2001-07-19,10.15,10.75,8.8,9.1,19676
174,ok,2001-07-22,8.8,10.8,8.8,10.6,321
175,ok,2001-07-23,8.55,9.0,8.55,9.0,3400
176,ok,2001-07-24,8.85,9.0,8.25,8.3,12606
177,ok,2001-07-25,8.45,8.85,8.1,8.2,5910
178,ok,2001-07-26,8.1,8.3,7.7,8.0,9150
179,ok,2001-07-29,8.5,8.8,8.15,8.3,5950
180,ok,2001-07-30,8.5,8.5,7.0,7.0,23200
181,ok,2001-07-31,7.25,7.25,6.05,6.45,19385
182,ok,2001-08-01,6.75,6.75,5.95,6.0,24395
183,ok,2001-08-02,6.2,6.8,5.95,6.0,72046
184,ok,2001-08-05,7.0,7.0,5.95,6.15,29221
185,ok,2001-08-06,6.3,6.8,6.3,6.6,14413
186,ok,2001-08-07,6.6,7.0,6.6,6.75,26551
187,ok,2001-08-08,6.75,7.1,6.65,7.1,15325
