,s,t,o,h,l,c,v
0,ok,2000-01-02,7.5,8.0,7.5,8.0,152000
1,ok,2000-01-03,7.75,7.75,7.75,7.75,16000
2,ok,2000-01-04,7.5,7.58,7.5,7.58,24000
3,ok,2000-01-05,7.65,7.65,7.25,7.25,64000
4,ok,2000-01-06,7.78,7.78,7.53,7.6,24000
5,ok,2000-01-09,7.38,7.45,7.38,7.45,56000
6,ok,2000-01-10,7.38,7.38,7.33,7.33,36000
7,ok,2000-01-12,7.88,7.88,7.85,7.85,24000
8,ok,2000-01-13,8.0,8.0,7.88,7.98,144000
9,ok,2000-01-16,7.63,7.63,7.4,7.4,12000
10,ok,2000-01-17,7.03,7.48,7.03,7.48,12000
11,ok,2000-01-18,7.5,7.63,7.5,7.58,56000
12,ok,2000-01-19,7.5,7.5,7.5,7.5,36000
13,ok,2000-01-23,7.25,7.25,7.25,7.25,16000
14,ok,2000-01-24,6.88,7.38,6.88,7.38,48000
15,ok,2000-01-26,7.13,7.13,7.13,7.13,4000
16,ok,2000-01-27,7.25,7.25,7.25,7.25,32000
17,ok,2000-01-30,7.0,7.13,7.0,7.13,68000
18,ok,2000-01-31,6.9,6.9,6.9,6.9,8000
19,ok,2000-02-02,6.88,6.9,6.88,6.88,32000
20,ok,2000-02-03,6.88,6.88,6.63,6.63,88000
21,ok,2000-02-06,6.63,6.63,6.1,6.18,80000
22,ok,2000-02-07,6.13,6.13,6.0,6.03,28000
23,ok,2000-02-08,6.5,6.5,6.25,6.33,24000
24,ok,2000-02-09,6.75,6.75,6.6,6.63,28000
25,ok,2000-02-13,6.75,6.75,6.75,6.75,16000
26,ok,2000-02-14,6.28,6.28,6.25,6.25,56000
27,ok,2000-02-15,6.25,6.25,6.13,6.13,16000
28,ok,2000-02-16,6.5,6.5,6.5,6.5,4000
29,ok,2000-02-17,6.5,6.5,6.5,6.5,8000
30,ok,2000-02-20,6.28,6.7,6.25,6.25,44000
31,ok,2000-02-21,6.0,6.25,6.0,6.25,40000
32,ok,2000-02-22,6.5,6.5,5.75,6.13,56000
33,ok,2000-02-23,6.5,6.5,6.15,6.15,12000
34,ok,2000-02-24,6.63,6.63,6.63,6.63,20000
35,ok,2000-02-27,6.25,6.63,6.25,6.5,64000
36,ok,2000-02-28,6.75,6.88,6.28,6.28,180000
37,ok,2000-02-29,6.28,6.28,6.25,6.25,16000
38,ok,2000-03-01,6.0,6.0,6.0,6.0,12000
39,ok,2000-03-02,6.25,6.25,5.88,5.88,12000
40,ok,2000-03-05,6.23,6.25,6.23,6.25,292000
41,ok,2000-03-06,6.0,6.0,6.0,6.0,16000
42,ok,2000-03-08,5.95,5.95,5.95,5.95,8000
43,ok,2000-03-09,6.25,6.4,6.25,6.4,8000
44,ok,2000-03-12,6.03,6.03,5.95,5.95,48000
45,ok,2000-03-15,5.95,5.95,5.95,5.95,4000
46,ok,2000-03-20,5.63,5.63,5.63,5.63,44000
47,ok,2000-03-21,5.63,5.63,5.63,5.63,8000
48,ok,2000-03-22,5.63,6.08,5.5,5.7,40000
49,ok,2000-03-23,5.88,5.88,5.88,5.88,8000
50,ok,2000-03-26,5.65,5.65,5.58,5.58,80000
51,ok,2000-03-27,5.63,5.63,5.5,5.63,24000
52,ok,2000-03-29,6.0,6.0,6.0,6.0,16000
53,ok,2000-04-02,5.63,5.63,5.58,5.58,24000
54,ok,2000-04-03,5.75,5.98,5.65,5.98,32000
55,ok,2000-04-09,6.25,6.25,6.25,6.25,4000
56,ok,2000-04-16,6.63,6.63,6.63,6.63,4000
57,ok,2000-04-18,7.13,7.13,7.13,7.13,4000
