,s,t,o,h,l,c,v
0,ok,2008-08-03,4.95,5.24,4.65,4.8,674343
1,ok,2008-08-04,4.9,5.24,4.25,4.45,383198
2,ok,2008-08-05,4.5,4.75,4.25,4.3,310935
3,ok,2008-08-06,4.55,4.55,3.86,3.91,349593
4,ok,2008-08-07,3.96,3.96,3.61,3.96,335804
5,ok,2008-08-10,3.96,4.16,3.86,3.91,106964
6,ok,2008-08-11,3.81,3.91,3.66,3.76,163310
7,ok,2008-08-12,3.76,3.81,3.51,3.51,254928
8,ok,2008-08-13,3.91,4.11,3.17,3.76,380117
9,ok,2008-08-17,3.86,4.01,3.66,3.76,207757
10,ok,2008-08-18,3.86,3.86,3.61,3.76,85922
11,ok,2008-08-19,3.66,3.91,3.51,3.66,104324
12,ok,2008-08-20,3.96,3.96,3.46,3.51,94612
13,ok,2008-08-21,3.46,3.61,3.36,3.51,108690
14,ok,2008-08-24,3.71,3.71,3.46,3.46,46128
15,ok,2008-08-25,3.46,3.46,3.31,3.36,38484
16,ok,2008-08-26,3.46,3.46,3.31,3.31,43178
17,ok,2008-08-27,3.36,3.46,3.27,3.31,42583
18,ok,2008-08-28,3.81,3.81,3.07,3.31,55059
19,ok,2008-08-31,3.66,3.66,3.17,3.27,74625
20,ok,2008-09-01,3.22,3.46,3.22,3.36,128159
21,ok,2008-09-03,3.27,3.41,3.27,3.31,42593
22,ok,2008-09-04,3.46,3.46,2.77,3.22,35869
23,ok,2008-09-07,3.61,3.76,3.27,3.31,35342
24,ok,2008-09-08,3.36,3.41,3.22,3.31,31197
25,ok,2008-09-09,3.17,3.36,3.17,3.27,35714
26,ok,2008-09-10,3.22,3.36,3.07,3.22,47596
27,ok,2008-09-11,3.46,3.46,3.12,3.12,45459
28,ok,2008-09-14,2.97,3.07,2.77,2.92,50503
29,ok,2008-09-15,2.87,2.97,2.62,2.82,64817
30,ok,2008-09-16,2.82,2.82,2.67,2.72,33424
31,ok,2008-09-17,2.72,2.72,2.57,2.67,39055
32,ok,2008-09-18,2.97,2.97,2.72,2.77,27088
33,ok,2008-09-21,2.92,2.92,2.67,2.77,53509
34,ok,2008-09-22,2.72,2.82,2.67,2.77,34497
35,ok,2008-09-23,2.62,2.82,2.62,2.72,18922
36,ok,2008-09-24,2.77,2.77,2.52,2.57,58740
37,ok,2008-09-25,2.77,2.77,2.23,2.37,51280
38,ok,2008-09-28,2.33,2.37,2.08,2.28,40018
39,ok,2008-09-29,2.37,2.37,1.83,2.23,43825
40,ok,2008-09-30,2.42,2.42,2.13,2.28,50541
41,ok,2008-10-02,2.33,2.62,2.18,2.28,91552
42,ok,2008-10-05,2.28,2.33,1.98,1.98,65646
43,ok,2008-10-06,1.98,2.18,1.58,1.63,160540
44,ok,2008-10-07,1.63,1.68,1.39,1.58,160956
45,ok,2008-10-09,1.68,1.88,1.43,1.88,148387
46,ok,2008-10-12,1.88,2.13,1.58,1.93,103817
47,ok,2008-10-13,2.23,2.28,1.88,1.93,129531
48,ok,2008-10-14,1.73,2.08,1.73,1.93,76850
49,ok,2008-10-15,1.83,1.83,1.63,1.73,55733
50,ok,2008-10-16,2.03,2.03,1.73,1.83,39724
51,ok,2008-10-19,1.63,1.93,1.63,1.88,65742
52,ok,2008-10-20,1.78,1.98,1.73,1.83,154749
53,ok,2008-10-21,1.83,1.93,1.73,1.78,207719
54,ok,2008-10-22,1.88,1.88,1.68,1.68,109034
55,ok,2008-10-23,1.68,1.73,1.58,1.63,103499
56,ok,2008-10-26,1.53,1.88,1.43,1.73,191675
57,ok,2008-10-27,1.68,1.93,1.68,1.83,8064
58,ok,2008-10-28,1.98,2.08,1.68,1.73,201978
59,ok,2008-10-30,1.88,1.93,1.68,1.93,207131
60,ok,2008-11-02,1.83,1.98,1.58,1.83,106383
61,ok,2008-11-03,1.73,1.88,1.68,1.78,145338
62,ok,2008-11-04,1.93,1.93,1.73,1.73,33011
63,ok,2008-11-05,1.73,1.83,1.73,1.78,29916
64,ok,2008-11-06,1.88,1.88,1.68,1.78,66060
65,ok,2008-11-09,1.83,1.83,1.68,1.83,9695
66,ok,2008-11-10,1.68,1.78,1.68,1.73,10883
67,ok,2008-11-11,1.78,1.78,1.43,1.53,208880
68,ok,2008-11-13,1.63,1.63,1.43,1.53,94763
69,ok,2008-11-16,1.48,1.63,1.48,1.53,17807
70,ok,2008-11-17,1.48,1.58,1.48,1.53,15888
71,ok,2008-11-18,1.63,1.63,1.48,1.48,40621
72,ok,2008-11-19,1.53,1.53,1.39,1.48,52103
73,ok,2008-11-20,1.48,1.53,1.24,1.53,36559
74,ok,2008-11-23,1.58,1.58,1.48,1.58,11801
75,ok,2008-11-24,1.63,1.63,1.43,1.48,36089
76,ok,2008-11-25,1.58,1.63,1.43,1.58,25760
77,ok,2008-11-27,1.63,1.88,1.53,1.78,26006
78,ok,2008-11-30,1.58,1.83,1.58,1.68,8757
79,ok,2008-12-01,1.58,1.83,1.58,1.63,6193
80,ok,2008-12-02,1.78,1.78,1.58,1.68,12220
81,ok,2008-12-03,1.53,1.78,1.53,1.73,21054
82,ok,2008-12-04,1.73,1.83,1.63,1.78,16685
83,ok,2008-12-07,1.78,1.88,1.63,1.78,25812
84,ok,2008-12-09,1.88,1.88,1.63,1.83,46273
85,ok,2008-12-10,1.93,1.93,1.73,1.73,6331
86,ok,2008-12-11,1.73,1.98,1.73,1.83,18238
87,ok,2008-12-14,1.88,1.88,1.88,1.88,606
88,ok,2008-12-15,1.83,1.93,1.78,1.93,6095
89,ok,2008-12-16,1.93,1.93,1.83,1.83,7024
90,ok,2008-12-17,1.78,1.93,1.78,1.78,3377
91,ok,2008-12-18,1.73,1.88,1.73,1.78,10108
